GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.1_1,Anqing,Ānqìng,安庆市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.2_1,Bengbu,Bèngbù,蚌埠市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.3_1,Bozhou,Bózhōu,亳州市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.4_1,Chaohu,Cháohú,巢湖市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.5_1,Chizhou,Chízhōu,池州市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.6_1,Chuzhou,Chúzhōu,滁州市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.7_1,Fuyang,Fùyáng,阜阳市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.8_1,Hefei,Héféi,合肥市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.9_1,Huaibei,Huáiběi,淮北市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.10_1,Huainan,Huáinán,淮南市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.11_1,Huangshan,Huángshān,黄山市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.12_1,Lu'an,Lù'ān,六安市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.13_1,Ma'anshan,Mǎ'ānshān,马鞍山市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.14_1,Suzhou,Sùzhōu,宿州市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.15_1,Tongling,Tónglíng,铜陵市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.16_1,Wuhu,Wúhú,芜湖市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.1_1,Anhui,安徽|安徽,CHN.1.17_1,Xuancheng,Xuānchéng,宣城市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.2_1,Beijing,北京|北京,CHN.2.1_1,Beijing,Běijīng,北京|北京,Zhíxiáshì,Municipality,NA,NA
CHN,China,CHN.3_1,Chongqing,重慶|重庆,CHN.3.1_1,Chongqing,Chóngqìng,重慶|重庆,Zhíxiáshì,Municipality,NA,NA
CHN,China,CHN.4_1,Fujian,福建,CHN.4.1_1,Fuzhou,Fúzhōu,福州市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.4_1,Fujian,福建,CHN.4.2_1,Longyan,Lóngyán,龙岩市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.4_1,Fujian,福建,CHN.4.3_1,Nanping,Nánpíng,南平市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.4_1,Fujian,福建,CHN.4.4_1,Ningde,Níngdé,宁德市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.4_1,Fujian,福建,CHN.4.5_1,Putian,Pútián,莆田市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.4_1,Fujian,福建,CHN.4.6_1,Quanzhou,Quánzhōu,泉州市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.4_1,Fujian,福建,CHN.4.7_1,Sanming,Sānmíng,三明市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.4_1,Fujian,福建,CHN.4.8_1,Xiamen,Xiàmén,厦门市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.4_1,Fujian,福建,CHN.4.9_1,Zhangzhou,Zhāngzhōu,漳州市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.5_1,Gansu,甘肅|甘肃,CHN.5.1_1,Baiyin,Báiyín,白银市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.5_1,Gansu,甘肅|甘肃,CHN.5.2_1,Dingxi,Dìngxī,定西市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.5_1,Gansu,甘肅|甘肃,CHN.5.3_1,Gannan Tibetan,Gānnán Zàngzú,甘南藏族自治州,Zìzhìzhou,Autonomous Prefecture,NA,NA
CHN,China,CHN.5_1,Gansu,甘肅|甘肃,CHN.5.4_1,Jiayuguan,Jiāyùguān,嘉峪关市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.5_1,Gansu,甘肅|甘肃,CHN.5.5_1,Jinchang,Jīnchāng,金昌市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.5_1,Gansu,甘肅|甘肃,CHN.5.6_1,Jiuquan,Jiǔquán,酒泉市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.5_1,Gansu,甘肅|甘肃,CHN.5.7_1,Lanzhou,Lánzhōu,兰州市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.5_1,Gansu,甘肅|甘肃,CHN.5.8_1,Linxia Hui,Línxià Huizù,临夏回族自治州,Zìzhìzhou,Autonomous Prefecture,NA,NA
CHN,China,CHN.5_1,Gansu,甘肅|甘肃,CHN.5.9_1,Longnan,Lǒngnán,陇南市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.5_1,Gansu,甘肅|甘肃,CHN.5.10_1,Pingliang,Píngliáng,平凉市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.5_1,Gansu,甘肅|甘肃,CHN.5.11_1,Qingyang,Qìngyáng,庆阳市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.5_1,Gansu,甘肅|甘肃,CHN.5.12_1,Tianshui,Tiānshuǐ,天水市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.5_1,Gansu,甘肅|甘肃,CHN.5.13_1,Wuwei,Wǔwēi,武威市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.5_1,Gansu,甘肅|甘肃,CHN.5.14_1,Zhangye,Zhāngyè,张掖市,Dìjíshì,Prefecture City,NA,NA
CHN,China,CHN.6_1,Guangdong,廣東|广东,CHN.6.1_1,Chaozhou,Cháozhōu,潮州市,Dìjíshì,Prefecture City,NA,NA
