GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
AUS,Australia,AUS.1_1,Ashmore and Cartier Islands,NA,AUS.1.1_1,Ashmore and Cartier Islands,NA,NA,Territory,Territory, ,NA
AUS,Australia,AUS.2_1,Australian Capital Territory,NA,AUS.2.1_1,Unincorporated Australian Capital Territory,NA,NA,Unincorporated Area,Unincorporated Area,89399,NA
AUS,Australia,AUS.3_1,Coral Sea Islands Territory,NA,AUS.3.1_1,Coral Sea Islands,NA,NA,Territory,Territory, ,NA
AUS,Australia,AUS.4_1,Jervis Bay Territory,NA,AUS.4.1_1,Jervis Bay,NA,NA,Territory,Territory,99399,NA
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.1_1,Albury,NA,NA,City,City,10050,AU.NS.AL
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.2_1,Armidale Dumaresq,NA,NA,Area,Area,10110,AU.NS.AD
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.3_1,Ashfield,NA,NA,Area,Area,10150,AU.NS.AS
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.4_1,Auburn,NA,NA,City,City,10200,AU.NS.AU
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.5_1,Ballina,NA,NA,Area,Area,10250,AU.NS.BA
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.6_1,Balranald,NA,NA,Area,Area,10300,AU.NS.BN
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.7_1,Bankstown,NA,NA,City,City,10350,AU.NS.BS
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.8_1,Bathurst,NA,NA,Region,Region,10470,AU.NS.BT
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.9_1,Bega Valley,NA,NA,Area,Area,10550,AU.NS.BV
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.10_1,Bellingen,NA,NA,Area,Area,10600,AU.NS.BE
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.11_1,Berrigan,NA,NA,Area,Area,10650,AU.NS.BG
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.12_1,Blacktown,NA,NA,City,City,10750,AU.NS.BC
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.13_1,Bland,NA,NA,Area,Area,10800,AU.NS.BD
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.14_1,Blayney,NA,NA,Area,Area,10850,AU.NS.BL
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.15_1,Blue Mountains,NA,NA,City,City,10900,AU.NS.BM
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.16_1,Bogan,NA,NA,Area,Area,10950,AU.NS.BX
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.17_1,Bombala,NA,NA,Area,Area,11000,AU.NS.BO
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.18_1,Boorowa,NA,NA,Area,Area,11050,AU.NS.BW
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.19_1,Botany Bay,NA,NA,City,City,11100,AU.NS.BB
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.20_1,Bourke,NA,NA,Area,Area,11150,AU.NS.BQ
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.21_1,Brewarrina,NA,NA,Area,Area,11200,AU.NS.BR
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.22_1,Broken Hill,NA,NA,City,City,11250,AU.NS.BH
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.23_1,Burwood,NA,NA,Area,Area,11300,AU.NS.BU
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.24_1,Byron,NA,NA,Area,Area,11350,AU.NS.BY
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.25_1,Cabonne,NA,NA,Area,Area,11400,AU.NS.CE
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.26_1,Camden,NA,NA,Area,Area,11450,AU.NS.CN
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.27_1,Campbelltown,NA,NA,City,City,11500,AU.SA.CA
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.28_1,Canada Bay,NA,NA,Area,Area,11520,AU.NS.CC
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.29_1,Canterbury,NA,NA,City,City,11550,AU.NS.CA
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.30_1,Carrathool,NA,NA,Area,Area,11600,AU.NS.CH
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.31_1,Central Darling,NA,NA,Area,Area,11700,AU.NS.CD
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.32_1,Cessnock,NA,NA,City,City,11720,AU.NS.CS
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.33_1,Clarence Valley,NA,NA,Area,Area,11730,NA
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.34_1,Cobar,NA,NA,Area,Area,11750,AU.NS.CR
AUS,Australia,AUS.5_1,New South Wales,NA,AUS.5.35_1,Coffs Harbour,NA,NA,City,City,11800,AU.NS.CF
