"","GID_0","NAME_0","GID_1","NAME_1","NL_NAME_1","GID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2"
"1","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.1_1","Barnsley",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.BX"
"31","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.2_1","Bath and North East Somerset",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.BN"
"42","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.3_1","Bedfordshire",NA,NA,"Administrative County",NA,NA,"GB.CB"
"53","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.4_1","Birmingham",NA,NA,"Metropolitan Borough (City)","Metropolitan Borough (City)",NA,"GB.BI"
"64","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.5_1","Blackburn with Darwen","Blackburn, Blackburn and Darwen",NA,"Unitary Authority","Unitary Authority",NA,"GB.BW"
"75","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.6_1","Blackpool",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.BP"
"86","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.7_1","Bolton",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.BT"
"97","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.8_1","Bournemouth",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.BM"
"108","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.9_1","Bracknell Forest",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.BC"
"2","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.10_1","Bradford",NA,NA,"Metropolitan Borough (City)","Metropolitan Borough (City)",NA,"GB.BV"
"13","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.11_1","Brighton and Hove",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.BH"
"23","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.12_1","Bristol",NA,NA,"Unitary Authority (City)","Unitary Authority (City)",NA,"GB.BS"
"24","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.13_1","Buckinghamshire",NA,NA,"Administrative County","Administrative County",NA,"GB.BU"
"25","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.14_1","Bury",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.BR"
"26","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.15_1","Calderdale",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.CX"
"27","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.16_1","Cambridgeshire",NA,NA,"Administrative County","Administrative County",NA,"GB.CM"
"28","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.17_1","Central Bedfordshire",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.CB"
"29","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.18_1","Cheshire East",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.CQ"
"30","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.19_1","Cheshire West and Chester",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.CZ"
"32","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.20_1","Cornwall","Cornouailles|Cornovaglia|Cornualha|Cornualles|Cornwall and Isles of Scilly",NA,"Unitary Authority","Unitary Authority",NA,"GB.CO"
"33","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.21_1","Coventry",NA,NA,"Metropolitan Borough (City)","Metropolitan Borough (City)",NA,"GB.CT"
"34","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.22_1","Cumbria",NA,NA,"Administrative County","Administrative County",NA,"GB.CU"
"35","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.23_1","Darlington",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.DA"
"36","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.24_1","Derby",NA,NA,"Unitary Authority (City)","Unitary Authority (City)",NA,"GB.DE"
"37","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.25_1","Derbyshire",NA,NA,"Administrative County","Administrative County",NA,"GB.DB"
"38","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.26_1","Devon",NA,NA,"Administrative County","Administrative County",NA,"GB.DO"
"39","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.27_1","Doncaster",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.DC"
"40","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.28_1","Dorset",NA,NA,"Administrative County","Administrative County",NA,"GB.DS"
"41","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.29_1","Dudley",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.DY"
"43","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.30_1","Durham","County Durham",NA,"Unitary Authority","Unitary Authority",NA,"GB.DH"
"44","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.31_1","East Riding of Yorkshire","East Riding, East Yorkshire",NA,"Unitary Authority","Unitary Authority",NA,"GB.EY"
"45","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.32_1","East Sussex",NA,NA,"Administrative County","Administrative County",NA,"GB.ES"
"46","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.33_1","Essex",NA,NA,"Administrative County","Administrative County",NA,"GB.EX"
"47","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.34_1","Gateshead",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.GH"
"48","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.35_1","Gloucestershire",NA,NA,"Administrative County","Administrative County",NA,"GB.GC"
"49","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.36_1","Greater London",NA,NA,"Region","Region",NA,"GB.GL"
"50","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.37_1","Halton",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.HL"
"51","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.38_1","Hampshire","Southampton",NA,"Administrative County","Administrative County",NA,"GB.HA"
"52","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.39_1","Hartlepool",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.HP"
"54","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.40_1","Herefordshire",NA,NA,"Unitary Authority (County)","Unitary Authority (County)",NA,"GB.HE"
"55","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.41_1","Hertfordshire",NA,NA,"Administrative County","Administrative County",NA,"GB.HT"
"56","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.42_1","Isle of Wight",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.IW"
"57","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.43_1","Isles of Scilly",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.IS"
"58","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.44_1","Kent",NA,NA,"Administrative County","Administrative County",NA,"GB.KE"
"59","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.45_1","Kingston upon Hull","Hull",NA,"Unitary Authority (City)","Unitary Authority (City)",NA,"GB.KH"
"60","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.46_1","Kirklees",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.KK"
"61","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.47_1","Knowsley",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.KN"
"62","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.48_1","Lancashire",NA,NA,"Administrative County","Administrative County",NA,"GB.LA"
"63","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.49_1","Leeds",NA,NA,"Metropolitan Borough (City)","Metropolitan Borough (City)",NA,"GB.LS"
"65","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.50_1","Leicester",NA,NA,"Unitary Authority (City)","Unitary Authority (City)",NA,"GB.LC"
"66","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.51_1","Leicestershire",NA,NA,"Administrative County","Administrative County",NA,"GB.LE"
"67","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.52_1","Lincolnshire",NA,NA,"Administrative County","Administrative County",NA,"GB.LI"
"68","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.53_1","Luton",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.LU"
"69","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.54_1","Manchester",NA,NA,"Metropolitan Borough (City)","Metropolitan Borough (City)",NA,"GB.MN"
"70","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.55_1","Medway","Medway Towns",NA,"Unitary Authority","Unitary Authority",NA,"GB.MW"
"71","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.56_1","Middlesbrough",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.MB"
"72","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.57_1","Milton Keynes",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.MK"
"73","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.58_1","Newcastle upon Tyne",NA,NA,"Metropolitan Borough (City)","Metropolitan Borough (City)",NA,"GB.NU"
"74","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.59_1","Norfolk",NA,NA,"Administrative County","Administrative County",NA,"GB.NF"
"76","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.60_1","North Lincolnshire",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.NL"
"77","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.61_1","North Somerset","North West Somerset",NA,"Unitary Authority","Unitary Authority",NA,"GB.NS"
"78","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.62_1","North Tyneside",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.NI"
"79","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.63_1","North Yorkshire",NA,NA,"Administrative County","Administrative County",NA,"GB.NY"
"80","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.64_1","Northamptonshire",NA,NA,"Administrative County","Administrative County",NA,"GB.NA"
"81","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.65_1","Northumberland",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.NB"
"82","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.66_1","Nottingham",NA,NA,"Unitary Authority (City)","Unitary Authority (City)",NA,"GB.NG"
"83","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.67_1","Nottinghamshire",NA,NA,"Administrative County","Administrative County",NA,"GB.NT"
"84","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.68_1","Oldham",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.OL"
"85","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.69_1","Oxfordshire",NA,NA,"Administrative County","Administrative County",NA,"GB.OX"
"87","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.70_1","Peterborough",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.PB"
"88","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.71_1","Plymouth",NA,NA,"Unitary Authority (City)","Unitary Authority (City)",NA,"GB.PM"
"89","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.72_1","Poole",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.PL"
"90","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.73_1","Portsmouth",NA,NA,"Unitary Authority (City)","Unitary Authority (City)",NA,"GB.PS"
"91","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.74_1","Reading",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.RG"
"92","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.75_1","Redcar and Cleveland",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.RC"
"93","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.76_1","Rochdale",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.RD"
"94","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.77_1","Rotherham",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.RH"
"95","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.78_1","Rutland",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.RL"
"96","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.79_1","Saint Helens",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.SZ"
"98","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.80_1","Salford",NA,NA,"Metropolitan Borough (City)","Metropolitan Borough (City)",NA,"GB.ZF"
"99","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.81_1","Sandwell",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.ZW"
"100","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.82_1","Sefton",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.SE"
"101","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.83_1","Sheffield",NA,NA,"Metropolitan Borough (City)","Metropolitan Borough (City)",NA,"GB.SV"
"102","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.84_1","Shropshire","Salop",NA,"Unitary Authority","Unitary Authority",NA,"GB.SP"
"103","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.85_1","Slough",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.ZL"
"104","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.86_1","Solihull",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.SI"
"105","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.87_1","Somerset",NA,NA,"Administrative County","Administrative County",NA,"GB.SM"
"106","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.88_1","South Gloucestershire",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.SJ"
"107","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.89_1","South Tyneside",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.SX"
"109","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.90_1","Southampton",NA,NA,"Unitary Authority (City)","Unitary Authority (City)",NA,"GB.ZH"
"110","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.91_1","Southend-on-Sea","Southend",NA,"Unitary Authority","Unitary Authority",NA,"GB.SS"
"111","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.92_1","Staffordshire",NA,NA,"Administrative County","Administrative County",NA,"GB.ST"
"112","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.93_1","Stockport",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.SK"
"113","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.94_1","Stockton-on-Tees","Stockton",NA,"Unitary Authority","Unitary Authority",NA,"GB.ZT"
"114","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.95_1","Stoke-on-Trent",NA,NA,"Unitary Authority (City)","Unitary Authority (City)",NA,"GB.SO"
"115","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.96_1","Suffolk",NA,NA,"Administrative County","Administrative County",NA,"GB.SF"
"116","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.97_1","Sunderland",NA,NA,"Metropolitan Borough (City)","Metropolitan Borough (City)",NA,"GB.SD"
"117","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.98_1","Surrey",NA,NA,"Administrative County","Administrative County",NA,"GB.SR"
"118","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.99_1","Swindon","Thamesdown",NA,"Unitary Authority","Unitary Authority",NA,"GB.SN"
"3","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.100_1","Tameside",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.TM"
"4","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.101_1","Telford and Wrekin","The Wrekin, Wrekin",NA,"Unitary Authority","Unitary Authority",NA,"GB.TK"
"5","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.102_1","Thurrock",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.TR"
"6","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.103_1","Torbay",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.TB"
"7","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.104_1","Trafford",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.TD"
"8","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.105_1","Wakefield",NA,NA,"Metropolitan Borough (City)","Metropolitan Borough (City)",NA,"GB.WK"
"9","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.106_1","Walsall",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.WZ"
"10","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.107_1","Warrington",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.WT"
"11","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.108_1","Warwickshire",NA,NA,"Administrative County","Administrative County",NA,"GB.WR"
"12","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.109_1","West Berkshire",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.WB"
"14","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.110_1","West Sussex",NA,NA,"Administrative County","Administrative County",NA,"GB.WS"
"15","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.111_1","Wigan",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.WN"
"16","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.112_1","Wiltshire",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.WL"
"17","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.113_1","Windsor and Maidenhead",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.WA"
"18","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.114_1","Wirral",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.WQ"
"19","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.115_1","Wokingham",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.WO"
"20","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.116_1","Wolverhampton",NA,NA,"Metropolitan Borough","Metropolitan Borough",NA,"GB.WV"
"21","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.117_1","Worcestershire",NA,NA,"Administrative County","Administrative County",NA,"GB.WC"
"22","GBR","United Kingdom","GBR.1_1","England",NA,"GBR.1.118_1","York",NA,NA,"Unitary Authority (City)","Unitary Authority (City)",NA,"GB.YK"
"119","GBR","United Kingdom","GBR.2_1","Northern Ireland",NA,"GBR.2.1_1","Antrim and Newtownabbey",NA,NA,"District","District",NA,"GB.AT"
