GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.11_1,Division No. 1,NA,NA,Census Division,Census Division,01,CA.AB.ON
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.1_1,Division No. 10,NA,NA,Census Division,Census Division,10,CA.AB.TE
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.2_1,Division No. 11,NA,NA,Census Division,Census Division,11,CA.AB.EL
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.3_1,Division No. 12,NA,NA,Census Division,Census Division,12,CA.AB.TV
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.4_1,Division No. 13,NA,NA,Census Division,Census Division,13,CA.AB.TN
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.5_1,Division No. 14,NA,NA,Census Division,Census Division,14,CA.AB.FT
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.6_1,Division No. 15,NA,NA,Census Division,Census Division,15,CA.AB.FN
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.7_1,Division No. 16,NA,NA,Census Division,Census Division,16,CA.AB.ST
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.8_1,Division No. 17,NA,NA,Census Division,Census Division,17,CA.AB.SN
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.9_1,Division No. 18,NA,NA,Census Division,Census Division,18,CA.AB.ET
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.10_1,Division No. 19,NA,NA,Census Division,Census Division,19,CA.AB.NT
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.12_1,Division No. 2,NA,NA,Census Division,Census Division,02,CA.AB.TW
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.13_1,Division No. 3,NA,NA,Census Division,Census Division,03,CA.AB.TR
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.14_1,Division No. 4,NA,NA,Census Division,Census Division,04,CA.AB.FO
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.15_1,Division No. 5,NA,NA,Census Division,Census Division,05,CA.AB.FI
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.16_1,Division No. 6,NA,NA,Census Division,Census Division,06,CA.AB.SI
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.17_1,Division No. 7,NA,NA,Census Division,Census Division,07,CA.AB.SE
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.18_1,Division No. 8,NA,NA,Census Division,Census Division,08,CA.AB.EI
CAN,Canada,CAN.1_1,Alberta,NA,CAN.1.19_1,Division No. 9,NA,NA,Census Division,Census Division,09,CA.AB.NI
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.1_1,Alberni-Clayoquot,NA,NA,Regional District,Regional District,23,CA.BC.AC
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.2_1,Bulkley-Nechako,NA,NA,Regional District,Regional District,51,CA.BC.BN
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.3_1,Capital,NA,NA,Regional District,Regional District,17,CA.BC.CP
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.4_1,Cariboo,NA,NA,Regional District,Regional District,41,CA.BC.CR
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.5_1,Central Coast,NA,NA,Regional District,Regional District,45,CA.BC.CC
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.6_1,Central Kootenay,NA,NA,Regional District,Regional District,03,CA.BC.CK
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.7_1,Central Okanagan,NA,NA,Regional District,Regional District,35,CA.BC.CO
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.8_1,Columbia-Shuswap,NA,NA,Regional District,Regional District,39,CA.BC.CS
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.9_1,Comox-Strathcona,NA,NA,Regional District,Regional District,25,CA.BC.CX
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.10_1,Cowichan Valley,NA,NA,Regional District,Regional District,19,CA.BC.CV
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.11_1,East Kootenay,NA,NA,Regional District,Regional District,01,CA.BC.EK
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.12_1,Fraser-Fort George,NA,NA,Regional District,Regional District,53,CA.BC.FF
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.13_1,Fraser Valley,NA,NA,Regional District,Regional District,09,CA.BC.FV
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.14_1,Greater Vancouver,NA,NA,Regional District,Regional District,15,CA.BC.GV
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.15_1,Kitimat-Stikine,NA,NA,Regional District,Regional District,49,CA.BC.KS
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.16_1,Kootenay Boundary,NA,NA,Regional District,Regional District,05,CA.BC.KB
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.17_1,Mount Waddington,NA,NA,Regional District,Regional District,43,CA.BC.MW
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.18_1,Nanaimo,NA,NA,Regional District,Regional District,21,CA.BC.NA
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.19_1,North Okanagan,NA,NA,Regional District,Regional District,37,CA.BC.NO
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.20_1,Northern Rockies,NA,NA,Regional District,Regional District,59,CA.BC.NR
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.21_1,Okanagan-Similkameen,NA,NA,Regional District,Regional District,07,CA.BC.OS
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.22_1,Peace River,NA,NA,Regional District,Regional District,55,CA.BC.PC
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.23_1,Powell River,NA,NA,Regional District,Regional District,27,CA.BC.PW
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.24_1,Skeena-Queen Charlotte,NA,NA,Regional District,Regional District,47,CA.BC.SQ
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.25_1,Squamish-Lillooet,NA,NA,Regional District,Regional District,31,CA.BC.SL
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.26_1,Stikine,NA,NA,Region,Region,57,CA.BC.ST
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.27_1,Sunshine Coast,NA,NA,Regional District,Regional District,29,CA.BC.SC
CAN,Canada,CAN.2_1,British Columbia,NA,CAN.2.28_1,Thompson-Nicola,NA,NA,Regional District,Regional District,33,CA.BC.TN
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.11_1,Division No. 1,NA,NA,Census Division,Census Division,01,CA.MB.ON
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.1_1,Division No. 10,NA,NA,Census Division,Census Division,10,CA.MB.TE
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.2_1,Division No. 11,NA,NA,Census Division,Census Division,11,CA.MB.EL
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.3_1,Division No. 12,NA,NA,Census Division,Census Division,12,CA.MB.TV
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.4_1,Division No. 13,NA,NA,Census Division,Census Division,13,CA.MB.TN
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.5_1,Division No. 14,NA,NA,Census Division,Census Division,14,CA.MB.FT
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.6_1,Division No. 15,NA,NA,Census Division,Census Division,15,CA.MB.FN
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.7_1,Division No. 16,NA,NA,Census Division,Census Division,16,CA.MB.ST
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.8_1,Division No. 17,NA,NA,Census Division,Census Division,17,CA.MB.SN
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.9_1,Division No. 18,NA,NA,Census Division,Census Division,18,CA.MB.ET
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.10_1,Division No. 19,NA,NA,Census Division,Census Division,19,CA.MB.NT
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.16_1,Division No. 2,NA,NA,Census Division,Census Division,02,CA.MB.TW
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.12_1,Division No. 20,NA,NA,Census Division,Census Division,20,CA.MB.TT
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.13_1,Division No. 21,NA,NA,Census Division,Census Division,21,CA.MB.TO
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.14_1,Division No. 22,NA,NA,Census Division,Census Division,22,CA.MB.TY
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.15_1,Division No. 23,NA,NA,Census Division,Census Division,23,CA.MB.EE
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.17_1,Division No. 3,NA,NA,Census Division,Census Division,03,CA.MB.TR
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.18_1,Division No. 4,NA,NA,Census Division,Census Division,04,CA.MB.FO
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.19_1,Division No. 5,NA,NA,Census Division,Census Division,05,CA.MB.FI
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.20_1,Division No. 6,NA,NA,Census Division,Census Division,06,CA.MB.SI
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.21_1,Division No. 7,NA,NA,Census Division,Census Division,07,CA.MB.SE
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.22_1,Division No. 8,NA,NA,Census Division,Census Division,08,CA.MB.EI
CAN,Canada,CAN.3_1,Manitoba,NA,CAN.3.23_1,Division No. 9,NA,NA,Census Division,Census Division,09,CA.MB.NI
CAN,Canada,CAN.4_1,New Brunswick,NA,CAN.4.1_1,Albert,NA,NA,County,County,06,CA.NB.AL
CAN,Canada,CAN.4_1,New Brunswick,NA,CAN.4.2_1,Carleton,NA,NA,County,County,11,CA.NB.CA
CAN,Canada,CAN.4_1,New Brunswick,NA,CAN.4.3_1,Charlotte,NA,NA,County,County,02,CA.NB.CH
CAN,Canada,CAN.4_1,New Brunswick,NA,CAN.4.4_1,Gloucester,NA,NA,County,County,15,CA.NB.GL
CAN,Canada,CAN.4_1,New Brunswick,NA,CAN.4.5_1,Kent,NA,NA,County,County,08,CA.NB.KE
CAN,Canada,CAN.4_1,New Brunswick,NA,CAN.4.6_1,Kings,NA,NA,County,County,05,CA.NB.KI
CAN,Canada,CAN.4_1,New Brunswick,NA,CAN.4.7_1,Madawaska,NA,NA,County,County,13,CA.NB.MA
CAN,Canada,CAN.4_1,New Brunswick,NA,CAN.4.8_1,Northumberland,NA,NA,County,County,09,CA.NB.NO
CAN,Canada,CAN.4_1,New Brunswick,NA,CAN.4.9_1,Queens,NA,NA,County,County,04,CA.NB.QU
CAN,Canada,CAN.4_1,New Brunswick,NA,CAN.4.10_1,Restigouche,NA,NA,County,County,14,CA.NB.RE
CAN,Canada,CAN.4_1,New Brunswick,NA,CAN.4.11_1,Saint John,NA,NA,County,County,01,CA.NB.SJ
CAN,Canada,CAN.4_1,New Brunswick,NA,CAN.4.12_1,Sunbury,NA,NA,County,County,03,CA.NB.SU
CAN,Canada,CAN.4_1,New Brunswick,NA,CAN.4.13_1,Victoria,NA,NA,County,County,12,CA.NB.VI
CAN,Canada,CAN.4_1,New Brunswick,NA,CAN.4.14_1,Westmorland,NA,NA,County,County,07,CA.NB.WE
CAN,Canada,CAN.4_1,New Brunswick,NA,CAN.4.15_1,York,NA,NA,County,County,10,CA.NB.YO
CAN,Canada,CAN.5_1,Newfoundland and Labrador,NA,CAN.5.3_1,Division No. 1,NA,NA,Census Division,Census Division,01,CA.NF.ON
CAN,Canada,CAN.5_1,Newfoundland and Labrador,NA,CAN.5.1_1,Division No. 10,NA,NA,Census Division,Census Division,10,CA.NF.TE
CAN,Canada,CAN.5_1,Newfoundland and Labrador,NA,CAN.5.2_1,Division No. 11,NA,NA,Census Division,Census Division,11,CA.NF.TE
CAN,Canada,CAN.5_1,Newfoundland and Labrador,NA,CAN.5.4_1,Division No. 2,NA,NA,Census Division,Census Division,02,CA.NF.TW
CAN,Canada,CAN.5_1,Newfoundland and Labrador,NA,CAN.5.5_1,Division No. 3,NA,NA,Census Division,Census Division,03,CA.NF.TR
CAN,Canada,CAN.5_1,Newfoundland and Labrador,NA,CAN.5.6_1,Division No. 4,NA,NA,Census Division,Census Division,04,CA.NF.FO
CAN,Canada,CAN.5_1,Newfoundland and Labrador,NA,CAN.5.7_1,Division No. 5,NA,NA,Census Division,Census Division,05,CA.NF.FI
CAN,Canada,CAN.5_1,Newfoundland and Labrador,NA,CAN.5.8_1,Division No. 6,NA,NA,Census Division,Census Division,06,CA.NF.SI
CAN,Canada,CAN.5_1,Newfoundland and Labrador,NA,CAN.5.9_1,Division No. 7,NA,NA,Census Division,Census Division,07,CA.NF.SE
CAN,Canada,CAN.5_1,Newfoundland and Labrador,NA,CAN.5.10_1,Division No. 8,NA,NA,Census Division,Census Division,08,CA.NF.EI
CAN,Canada,CAN.5_1,Newfoundland and Labrador,NA,CAN.5.11_1,Division No. 9,NA,NA,Census Division,Census Division,09,CA.NF.NI
CAN,Canada,CAN.6_1,Northwest Territories,NA,CAN.6.1_1,Fort Smith,NA,NA,Region,Region,06,CA.NT.FS
CAN,Canada,CAN.6_1,Northwest Territories,NA,CAN.6.2_1,Inuvik,NA,NA,Region,Region,07,CA.NT.IN
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.1_1,Annapolis,NA,NA,County,County,05,CA.NS.AP
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.2_1,Antigonish,NA,NA,County,County,14,CA.NS.AG
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.3_1,Cape Breton,NA,NA,County,County,17,CA.NS.CB
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.4_1,Colchester,NA,NA,County,County,10,CA.NS.CO
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.5_1,Cumberland,NA,NA,County,County,11,CA.NS.CU
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.6_1,Digby,NA,NA,County,County,03,CA.NS.DI
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.7_1,Guysborough,NA,NA,County,County,13,CA.NS.GU
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.8_1,Halifax,NA,NA,County,County,09,CA.NS.HL
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.9_1,Hants,NA,NA,County,County,08,CA.NS.HN
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.10_1,Inverness,NA,NA,County,County,15,CA.NS.IN
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.11_1,Kings,NA,NA,County,County,07,CA.NS.KI
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.12_1,Lunenburg,NA,NA,County,County,06,CA.NS.LU
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.13_1,Pictou,NA,NA,County,County,12,CA.NS.PI
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.14_1,Queens,NA,NA,County,County,04,CA.NS.QU
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.15_1,Richmond,NA,NA,County,County,16,CA.NS.RI
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.16_1,Shelburne,NA,NA,County,County,01,CA.NS.SH
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.17_1,Victoria,NA,NA,County,County,18,CA.NS.VI
CAN,Canada,CAN.7_1,Nova Scotia,NA,CAN.7.18_1,Yarmouth,NA,NA,County,County,02,CA.NS.YA
CAN,Canada,CAN.8_1,Nunavut,NA,CAN.8.1_1,Baffin,Qikiqtaaluk,NA,Region,Region,04,CA.NU.QK
CAN,Canada,CAN.8_1,Nunavut,NA,CAN.8.2_1,Keewatin,Kivalliq,NA,Region,Region,05,CA.NU.KV
CAN,Canada,CAN.8_1,Nunavut,NA,CAN.8.3_1,Kitikmeot,NA,NA,Region,Region,08,CA.NU.KT
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.1_1,Algoma,NA,NA,District,District,57,CA.ON.AL
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.2_1,Brant,NA,NA,County,County,29,CA.ON.BN
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.3_1,Bruce,NA,NA,County,County,41,CA.ON.BC
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.4_1,Chatham-Kent,NA,NA,Census Division,Census Division,36,CA.ON.KT
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.5_1,Cochrane,NA,NA,District,District,56,CA.ON.CO
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.6_1,Dufferin,NA,NA,County,County,22,CA.ON.DF
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.7_1,Durham,NA,NA,Regional Municipality,Regional Municipality,18,CA.ON.DR
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.8_1,Elgin,NA,NA,County,County,34,CA.ON.EL
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.9_1,Essex,NA,NA,County,County,37,CA.ON.ES
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.10_1,Frontenac,NA,NA,County,County,10,CA.ON.FR
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.11_1,Greater Sudbury,NA,NA,Census Division,Census Division,53,CA.ON.SU
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.12_1,Grey,NA,NA,County,County,42,CA.ON.GR
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.13_1,Haldimand-Norfolk,NA,NA,Regional Municipality,Regional Municipality,28,CA.ON.HN
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.14_1,Haliburton,NA,NA,County,County,46,CA.ON.HB
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.15_1,Halton,NA,NA,Regional Municipality,Regional Municipality,24,CA.ON.HT
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.16_1,Hamilton,NA,NA,Census Division,Census Division,25,CA.ON.HA
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.17_1,Hastings,NA,NA,County,County,12,CA.ON.HS
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.18_1,Huron,NA,NA,County,County,40,CA.ON.HU
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.19_1,Kawartha Lakes,Victoria,NA,Census Division,Census Division,16,CA.ON.VI
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.20_1,Kenora,NA,NA,District,District,60,CA.ON.KR
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.21_1,Lake Erie,NA,NA,Water body,Water body,NA,CA.ON.WB
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.22_1,Lake Hurron,NA,NA,Water body,Water body,NA,CA.ON.WB
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.23_1,Lake Ontario,NA,NA,Water body,Water body,NA,CA.ON.WB
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.24_1,Lake Superior,NA,NA,Water body,Water body,NA,CA.ON.WB
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.25_1,Lambton,NA,NA,County,County,38,CA.ON.LM
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.26_1,Lanark,NA,NA,County,County,09,CA.ON.LN
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.27_1,Leeds and Grenville,NA,NA,United County,United County,07,CA.ON.LG
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.28_1,Lennox and Addington,NA,NA,County,County,11,CA.ON.LA
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.29_1,Manitoulin,NA,NA,District,District,51,CA.ON.MA
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.30_1,Middlesex,NA,NA,County,County,39,CA.ON.MI
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.31_1,Muskoka,NA,NA,District Municipality,District Municipality,44,CA.ON.MU
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.32_1,Niagara,NA,NA,Regional Municipality,Regional Municipality,26,CA.ON.NG
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.33_1,Nipissing,NA,NA,District,District,48,CA.ON.NP
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.34_1,Northumberland,NA,NA,County,County,14,CA.ON.NU
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.35_1,Ottawa,NA,NA,Census Division,Census Division,06,CA.ON.OT
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.36_1,Oxford,NA,NA,County,County,32,CA.ON.OX
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.37_1,Parry Sound,NA,NA,District,District,49,CA.ON.PS
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.38_1,Peel,NA,NA,Regional Municipality,Regional Municipality,21,CA.ON.PL
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.39_1,Perth,NA,NA,County,County,31,CA.ON.PT
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.40_1,Peterborough,NA,NA,County,County,15,CA.ON.PB
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.41_1,Prescott and Russell,NA,NA,United Counties,United Counties,02,CA.ON.PR
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.42_1,Prince Edward,NA,NA,Census Division,Census Division,13,CA.ON.PE
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.43_1,Rainy River,NA,NA,District,District,59,CA.ON.RR
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.44_1,Renfrew,NA,NA,County,County,47,CA.ON.RE
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.45_1,Simcoe,NA,NA,County,County,43,CA.ON.SC
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.46_1,"Stormont, Dundas and Glengarry",NA,NA,United Counties,United Counties,01,CA.ON.SD
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.47_1,Sudbury,NA,NA,District,District,52,CA.ON.SB
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.48_1,Thunder Bay,NA,NA,District,District,58,CA.ON.TB
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.49_1,Timiskaming,NA,NA,District,District,54,CA.ON.TI
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.50_1,Toronto,NA,NA,Census Division,Census Division,20,CA.ON.TO
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.51_1,Waterloo,NA,NA,Regional Municipality,Regional Municipality,30,CA.ON.WT
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.52_1,Wellington,NA,NA,County,County,23,CA.ON.WL
CAN,Canada,CAN.9_1,Ontario,NA,CAN.9.53_1,York,NA,NA,Regional Municipality,Regional Municipality,19,CA.ON.YO
CAN,Canada,CAN.10_1,Prince Edward Island,NA,CAN.10.1_1,Kings,NA,NA,County,County,01,CA.PE.KI
CAN,Canada,CAN.10_1,Prince Edward Island,NA,CAN.10.2_1,Prince,NA,NA,County,County,03,CA.PE.PR
CAN,Canada,CAN.10_1,Prince Edward Island,NA,CAN.10.3_1,Queens,NA,NA,County,County,02,CA.PE.QU
