Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change
Story	4	0	0	0	4.077e-05	0.0	20	8	5	0.00020385	8.154e-05	5.09625e-05	0	0	-100	0
Jackson	1	0	0	0	5.146e-05	0.0	5	2	1.25	0.0002573	0.00010292	6.4325e-05	0	0	100	0
Kossuth	1	0	0	0	6.708e-05	0.0	5	2	1.25	0.0003354	0.00013416	8.385e-05	0	0	100	0
Dallas	31	0	0	0	0.00034376	0.0	155	62	38.75	0.0017188	0.00068752	0.0004297	4	0	100	0
Washington	36	2	0	0	0.00162594	9.033e-05	666.666666667	307.692307692	200	0.03011	0.0138969230769	0.009033	2	0	-80	0
Delaware	1	0	0	0	5.859e-05	0.0	5	2	1.25	0.00029295	0.00011718	7.32375e-05	NA	NA	100	0
Montgomery	1	0	0	0	9.997e-05	0.0	5	2	1.25	0.00049985	0.00019994	0.0001249625	0	0	100	0
Bremer	1	0	0	0	4.008e-05	0.0	5	2	1.25	0.0002004	8.016e-05	5.01e-05	NA	NA	100	0
Jefferson	1	0	0	0	5.44e-05	0.0	5	2	1.25	0.000272	0.0001088	6.8e-05	NA	NA	100	0
Woodbury	7	0	0	0	6.827e-05	0.0	35	14	8.75	0.00034135	0.00013654	8.53375e-05	3	0	100	0
Dickinson	1	0	0	0	5.83e-05	0.0	5	2	1.25	0.0002915	0.0001166	7.2875e-05	0	0	100	0
Butler	1	0	0	0	6.878e-05	0.0	5	2	1.25	0.0003439	0.00013756	8.5975e-05	0	0	100	0
Wapello	1	0	0	0	2.841e-05	0.0	5	2	1.25	0.00014205	5.682e-05	3.55125e-05	0	0	100	0
Crawford	1	0	0	0	5.828e-05	0.0	5	2	1.25	0.0002914	0.00011656	7.285e-05	0	0	100	0
Allamakee	15	1	0	0	0.00108444	7.23e-05	333.333333333	153.846153846	100	0.0241	0.0111230769231	0.00723	8	0	100	0
Iowa	5	0	0	0	0.00030977	0.0	25	10	6.25	0.00154885	0.00061954	0.0003872125	0	0	-100	0
Poweshiek	7	1	0	0	0.00037435	5.348e-05	333.333333333	153.846153846	100	0.0178266666667	0.00822769230769	0.005348	1	0	0	0
Linn	103	4	0	0	0.00045594	1.771e-05	1333.33333333	615.384615385	400	0.00590333333333	0.00272461538462	0.001771	9	2	125	0
Wright	1	0	0	0	7.88e-05	0.0	5	2	1.25	0.000394	0.0001576	9.85e-05	0	0	100	0
Guthrie	1	0	0	0	9.328e-05	0.0	5	2	1.25	0.0004664	0.00018656	0.0001166	0	0	100	0
Van Buren	3	0	0	0	0.00042735	0.0	15	6	3.75	0.00213675	0.0008547	0.0005341875	1	0	0	0
Fayette	2	0	0	0	0.00010173	0.0	10	4	2.5	0.00050865	0.00020346	0.0001271625	0	0	100	0
Dubuque	22	1	0	0	0.00022715	1.032e-05	333.333333333	153.846153846	100	0.00344	0.00158769230769	0.001032	0	0	-100	0
Clayton	2	0	0	0	0.00011392	0.0	10	4	2.5	0.0005696	0.00022784	0.0001424	0	0	-100	0
Unassigned	0	1	0	0	N/A	N/A	333.333333333	153.846153846	100	N/A	N/A	N/A	0	0	-100	0
Cedar	11	0	0	0	0.00059054	0.0	55	22	13.75	0.0029527	0.00118108	0.000738175	2	0	100	0
O'Brien	2	0	0	0	0.00014451	0.0	10	4	2.5	0.00072255	0.00028902	0.0001806375	NA	NA	100	0
Keokuk	1	0	0	0	9.78e-05	0.0	5	2	1.25	0.000489	0.0001956	0.00012225	0	0	-100	0
Henry	5	0	0	0	0.00024917	0.0	25	10	6.25	0.00124585	0.00049834	0.0003114625	0	0	-100	0
Mahaska	3	0	0	0	0.00013636	0.0	15	6	3.75	0.0006818	0.00027272	0.00017045	1	0	100	0
Jones	5	0	0	0	0.00024103	0.0	25	10	6.25	0.00120515	0.00048206	0.0003012875	1	0	100	0
Black Hawk	8	0	0	0	6.042e-05	0.0	40	16	10	0.0003021	0.00012084	7.5525e-05	1	0	100	0
Tama	17	0	0	0	0.00100568	0.0	85	34	21.25	0.0050284	0.00201136	0.0012571	3	0	0	0
Hardin	1	0	0	0	5.928e-05	0.0	5	2	1.25	0.0002964	0.00011856	7.41e-05	0	0	100	0
Sioux	4	0	0	0	0.00011458	0.0	20	8	5	0.0005729	0.00022916	0.000143225	0	0	-100	0
Johnson	80	0	0	0	0.00052889	0.0	400	160	100	0.00264445	0.00105778	0.0006611125	4	0	33.3	0
Adair	1	0	0	0	0.00014158	0.0	5	2	1.25	0.0007079	0.00028316	0.000176975	0	0	100	0
Hancock	3	0	0	0	0.00028006	0.0	15	6	3.75	0.0014003	0.00056012	0.000350075	0	0	100	0
Benton	7	0	0	0	0.00027299	0.0	35	14	8.75	0.00136495	0.00054598	0.0003412375	0	0	100	0
Boone	2	0	0	0	7.591e-05	0.0	10	4	2.5	0.00037955	0.00015182	9.48875e-05	1	0	100	0
Clay	2	0	0	0	0.00012396	0.0	10	4	2.5	0.0006198	0.00024792	0.00015495	1	0	100	0
Webster	1	0	0	0	2.757e-05	0.0	5	2	1.25	0.00013785	5.514e-05	3.44625e-05	0	0	100	0
Mitchell	2	0	0	0	0.00018923	0.0	10	4	2.5	0.00094615	0.00037846	0.0002365375	0	0	100	0
Page	2	0	0	0	0.00013116	0.0	10	4	2.5	0.0006558	0.00026232	0.00016395	0	0	100	0
Pottawattamie	5	0	0	0	5.346e-05	0.0	25	10	6.25	0.0002673	0.00010692	6.6825e-05	0	0	-100	0
Madison	1	0	0	0	6.154e-05	0.0	5	2	1.25	0.0003077	0.00012308	7.6925e-05	0	0	100	0
Taylor	1	0	0	0	0.00016152	0.0	5	2	1.25	0.0008076	0.00032304	0.0002019	0	0	100	0
Clinton	9	0	0	0	0.00019347	0.0	45	18	11.25	0.00096735	0.00038694	0.0002418375	3	0	200	0
Audubon	1	0	0	0	0.00018162	0.0	5	2	1.25	0.0009081	0.00036324	0.000227025	0	0	100	0
Winneshiek	4	0	0	0	0.00019971	0.0	20	8	5	0.00099855	0.00039942	0.0002496375	1	0	100	0
Polk	87	1	0	0	0.00017857	2.05e-06	333.333333333	153.846153846	100	0.000683333333333	0.000315384615385	0.000205	6	0	20	0
Buchanan	3	0	0	0	0.00014152	0.0	15	6	3.75	0.0007076	0.00028304	0.0001769	1	0	100	0
Shelby	3	0	0	0	0.00025911	0.0	15	6	3.75	0.00129555	0.00051822	0.0003238875	0	0	100	0
Carroll	1	0	0	0	4.962e-05	0.0	5	2	1.25	0.0002481	9.924e-05	6.2025e-05	0	0	100	0
Appanoose	1	0	0	0	8.041e-05	0.0	5	2	1.25	0.00040205	0.00016082	0.0001005125	0	0	100	0
Scott	25	0	0	0	0.00014427	0.0	125	50	31.25	0.00072135	0.00028854	0.0001803375	4	0	33.3	0
Jasper	7	0	0	0	0.00018844	0.0	35	14	8.75	0.0009422	0.00037688	0.00023555	0	0	-100	0
Harrison	10	0	0	0	0.00070751	0.0	50	20	12.5	0.00353755	0.00141502	0.0008843875	0	0	-100	0
Des Moines	1	0	0	0	2.555e-05	0.0	5	2	1.25	0.00012775	5.11e-05	3.19375e-05	-1	0	-200	0
Warren	6	0	0	0	0.00011752	0.0	30	12	7.5	0.0005876	0.00023504	0.0001469	2	0	100	0
Monona	5	0	0	0	0.0005761	0.0	25	10	6.25	0.0028805	0.0011522	0.000720125	0	0	100	0
Marshall	9	0	0	0	0.00022511	0.0	45	18	11.25	0.00112555	0.00045022	0.0002813875	1	0	100	0
Muscatine	19	0	0	0	0.00044259	0.0	95	38	23.75	0.00221295	0.00088518	0.0005532375	1	0	-50	0
Cerro Gordo	10	0	0	0	0.00023448	0.0	50	20	12.5	0.0011724	0.00046896	0.0002931	2	0	100	0
