Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change
Saint Martin	13	3	0	0	0.00024244	5.595e-05	1000	461.538461538	300	0.01865	0.00860769230769	0.005595	0	0	-100	0
Orleans	1350	73	0	0	0.00345263	0.0001867	24333.3333333	11230.7692308	7300	0.0622333333333	0.0287230769231	0.01867	52	3	-59.4	0
Red River	1	0	0	0	0.00011797	0.0	5	2	1.25	0.00058985	0.00023594	0.0001474625	1	0	100	0
Jackson	2	0	0	0	0.00012577	0.0	10	4	2.5	0.00062885	0.00025154	0.0001572125	0	0	-100	0
Richland	2	0	0	0	9.905e-05	0.0	10	4	2.5	0.00049525	0.0001981	0.0001238125	0	0	100	0
Saint Helena	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	100	0
Grant	2	0	0	0	8.896e-05	0.0	10	4	2.5	0.0004448	0.00017792	0.0001112	1	0	100	0
Caldwell	1	0	0	0	0.0001004	0.0	5	2	1.25	0.000502	0.0002008	0.0001255	1	0	100	0
Plaquemines	20	2	0	0	0.00085434	8.543e-05	666.666666667	307.692307692	200	0.0284766666667	0.0131430769231	0.008543	1	0	-66.7	0
Tangipahoa	10	0	0	0	7.475e-05	0.0	50	20	12.5	0.00037375	0.0001495	9.34375e-05	0	0	-100	0
Winn	1	0	0	0	7.075e-05	0.0	5	2	1.25	0.00035375	0.0001415	8.84375e-05	0	0	100	0
Assumption	14	0	0	0	0.0006278	0.0	70	28	17.5	0.003139	0.0012556	0.00078475	6	0	100	0
Evangeline	4	0	0	0	0.00011961	0.0	20	8	5	0.00059805	0.00023922	0.0001495125	0	0	100	0
Jefferson Davis	2	0	0	0	6.333e-05	0.0	10	4	2.5	0.00031665	0.00012666	7.91625e-05	1	0	100	0
Union	9	0	0	0	0.00040305	0.0	45	18	11.25	0.00201525	0.0008061	0.0005038125	2	0	-33.3	0
Saint Landry	10	0	0	0	0.00012083	0.0	50	20	12.5	0.00060415	0.00024166	0.0001510375	0	0	100	0
Desoto	25	1	0	0	0.00091121	3.645e-05	333.333333333	153.846153846	100	0.01215	0.00560769230769	0.003645	4	0	-50	0
Concordia	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	100	0
La Salle	2	0	0	0	0.00013408	0.0	10	4	2.5	0.0006704	0.00026816	0.0001676	0	0	-100	0
West Carroll	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	100	0
Sabine	1	0	0	0	4.161e-05	0.0	5	2	1.25	0.00020805	8.322e-05	5.20125e-05	1	0	100	0
Morehouse	2	0	0	0	7.875e-05	0.0	10	4	2.5	0.00039375	0.0001575	9.84375e-05	0	0	100	0
