Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change	Tests	Tests_per_capita
Madagascar	70	0	0	70	2.67e-6	0	350	140	87.5	1.335e-5	5.34e-6	3.3375e-6	11	0	450	0	NA	NA
Swaziland	9	0	0	9	7.92e-6	0	45	18	11.25	3.96e-5	1.584e-5	9.9e-6	0	0	100	0	NA	NA
Liberia	7	0	0	7	1.45e-6	0	35	14	8.75	7.25e-6	2.9e-6	1.8125e-6	1	0	100	0	NA	NA
Sudan	10	2	2	6	2.4e-7	5e-8	666.666666667	307.692307692	200	1.66666666667e-5	7.69230769231e-6	5e-6	2	0	100	0	NA	NA
Guinea	73	0	2	71	5.88e-6	0	365	146	91.25	2.94e-5	1.176e-5	7.35e-6	21	0	-4.5	0	NA	NA
United Republic of Tanzania	20	1	3	16	3.6e-7	2e-8	333.333333333	153.846153846	100	6.66666666667e-6	3.07692307692e-6	2e-6	0	0	100	0	NA	NA
Republic of the Congo	22	2	2	18	4.19e-6	3.8e-7	666.666666667	307.692307692	200	1.26666666667e-4	5.84615384615e-5	3.8e-5	0	0	-100	0	NA	NA
Democratic Republic of the Congo	134	13	3	118	1.59e-6	1.5e-7	4333.33333333	2000	1300	5e-5	2.30769230769e-5	1.5e-5	0	0	-100	0	NA	NA
Rwanda	89	0	0	89	7.23e-6	0	445	178	111.25	3.615e-5	1.446e-5	9.0375e-6	5	0	150	0	NA	NA
Somalia	7	0	1	6	4.7e-7	0	35	14	8.75	2.35e-6	9.4e-7	5.875e-7	2	0	100	0	NA	NA
Ivory Coast	218	1	19	198	8.7e-6	4e-8	333.333333333	153.846153846	100	1.33333333333e-5	6.15384615385e-6	4e-6	24	0	500	0	NA	NA
Nigeria	210	4	25	181	1.07e-6	2e-8	1333.33333333	615.384615385	400	6.66666666667e-6	3.07692307692e-6	2e-6	26	2	160	0	NA	NA
Cameroon	509	8	17	484	2.019e-5	3.2e-7	2666.66666667	1230.76923077	800	1.06666666667e-4	4.92307692308e-5	3.2e-5	203	1	178.1	0	NA	NA
Burkina Faso	302	16	50	236	1.529e-5	8.1e-7	5333.33333333	2461.53846154	1600	2.7e-4	1.24615384615e-4	8.1e-5	14	0	133.3	0	NA	NA
