state	Percentvote
Alabama	90.91
Alaska	70.55
Arizona	66.57
Arkansas	63.35%
California	62.70%
Colorado	61.97%
Connecticut	60.65%
Delaware	60.24%
D.C.	58.61%
Florida	58.38%
Georgia	58.06%
Hawaii	57.60%
Idaho	56.27%
Illinois	56.16%
Indiana	54.24%
Iowa	54.21%
Kansas	52.99%
Kentucky	52.83%
Louisiana	52.65%
Maine	52.36%
Maryland	51.99%
Massachusetts	51.98%
Michigan	51.97%
Minnesota	51.49%
Mississippi	51.16%
Missouri	50.67%
Montana	50.01%
Nebraska	48.35%
Nevada	45.48%
New Hampshire	44.59%
New Jersey	44.38%
New Mexico	44.09%
New York	43.93%
North Carolina	43.79%
North Dakota	41.70%
Ohio	41.38%
Oklahoma	40.81%
Oregon	40.58%
Pennsylvania	39.87%
Rhode Island	39.08%
South Carolina	38.69%
South Dakota	38.36%
Tennessee	38.03%
Texas	37.99%
Utah	37.80%
Vermont	36.88%
Virginia	35.54%
Washington	33.23%
West Virginia	32.62%
Wisconsin	27.82%
Wyoming	24.75%
