Name	Predicted_New_Cases	Total_Predicted_New_Cases
Linn	0.0	0.0
Cherokee	0.0	0.0
Montgomery	0.0	0.0
Harvey	0.0	0.0
Ford	0.0	0.0
Pratt	0.0	0.0
Riley	0.085	169.006
Mitchell	0.0	0.0
Wyandotte	0.019	458.001
Shawnee	3.43	2438.293
Jewell	0.0	0.0
Finney	0.685	594.044
Osborne	0.42	450.452
Jefferson	0.0	0.0
Reno	1.058	452.097
Gove	0.0	0.0
Geary	0.0	0.0
Lyon	4.233	1807.404
Marion	0.839	900.908
Leavenworth	0.002	95.207
Labette	0.307	296.314
Doniphan	0.0	0.0
Neosho	0.0	0.0
Stafford	0.0	0.0
Saline	0.685	594.044
Sumner	0.0	0.0
Osage	0.0	0.0
Woodson	0.0	0.0
Atchison	0.0	0.0
Clay	0.0	0.0
Franklin	0.0	1.0
Butler	0.0	0.0
Bourbon	2.116	906.203
Anderson	0.0	0.0
Greenwood	0.0	0.0
Miami	0.0	0.0
Johnson	0.006	334.163
Ottawa	1.631	908.928
Crawford	0.0	-2.0
Pottawatomie	0.0	1.0
Sedgwick	0.013	418.744
McPherson	0.915	596.139
Wabaunsee	0.0	0.0
