Date	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-03-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-16	0.032	0.0	0.032	0.0	0.0	0.0	0.0	0.0
2020-03-17	0.032	0.0	0.063	1e-08	0.0	0.0	0.0	0.0
2020-03-18	0.032	0.0	0.095	1e-08	0.0	0.0	0.001	0.0
2020-03-19	0.063	1e-08	0.158	1e-08	0.0	0.0	0.001	0.0
2020-03-20	0.158	1e-08	0.315	3e-08	0.001	0.0	0.002	0.0
2020-03-21	0.252	2e-08	0.568	5e-08	0.002	0.0	0.003	0.0
2020-03-22	0.347	3e-08	0.915	7e-08	0.002	0.0	0.005	0.0
2020-03-23	0.473	4e-08	1.388	1.1e-07	0.003	0.0	0.008	0.0
2020-03-24	0.757	6e-08	2.145	1.7e-07	0.005	0.0	0.013	0.0
2020-03-25	1.136	9e-08	3.281	2.7e-07	0.007	0.0	0.02	0.0
2020-03-26	1.577	1.3e-07	4.858	3.9e-07	0.009	0.0	0.029	0.0
2020-03-27	1.924	1.6e-07	6.783	5.5e-07	0.012	0.0	0.041	0.0
2020-03-28	2.177	1.8e-07	8.959	7.3e-07	0.013	0.0	0.054	0.0
2020-03-29	2.335	1.9e-07	11.294	9.2e-07	0.014	0.0	0.068	1e-08
2020-03-30	2.461	2e-07	13.755	1.12e-06	0.015	0.0	0.083	1e-08
2020-03-31	2.492	2e-07	16.247	1.32e-06	0.015	0.0	0.097	1e-08
2020-04-01	2.524	2.1e-07	18.771	1.53e-06	0.015	0.0	0.113	1e-08
2020-04-02	2.555	2.1e-07	21.326	1.73e-06	0.015	0.0	0.128	1e-08
2020-04-03	2.524	2.1e-07	23.85	1.94e-06	0.015	0.0	0.143	1e-08
2020-04-04	2.492	2e-07	26.342	2.14e-06	0.015	0.0	0.158	1e-08
2020-04-05	2.461	2e-07	28.803	2.34e-06	0.015	0.0	0.173	1e-08
2020-04-06	2.303	1.9e-07	31.106	2.53e-06	0.014	0.0	0.187	2e-08
2020-04-07	2.24	1.8e-07	33.346	2.71e-06	0.013	0.0	0.2	2e-08
2020-04-08	2.114	1.7e-07	35.459	2.88e-06	0.013	0.0	0.213	2e-08
2020-04-09	1.83	1.5e-07	37.289	3.03e-06	0.011	0.0	0.224	2e-08
2020-04-10	1.577	1.3e-07	38.866	3.16e-06	0.009	0.0	0.233	2e-08
2020-04-11	1.357	1.1e-07	40.223	3.27e-06	0.008	0.0	0.241	2e-08
2020-04-12	1.167	9e-08	41.39	3.36e-06	0.007	0.0	0.248	2e-08
2020-04-13	0.978	8e-08	42.368	3.44e-06	0.006	0.0	0.254	2e-08
2020-04-14	0.789	6e-08	43.157	3.51e-06	0.005	0.0	0.259	2e-08
2020-04-15	0.631	5e-08	43.788	3.56e-06	0.004	0.0	0.263	2e-08
2020-04-16	0.536	4e-08	44.324	3.6e-06	0.003	0.0	0.266	2e-08
2020-04-17	0.473	4e-08	44.797	3.64e-06	0.003	0.0	0.269	2e-08
2020-04-18	0.41	3e-08	45.207	3.67e-06	0.002	0.0	0.271	2e-08
2020-04-19	0.347	3e-08	45.554	3.7e-06	0.002	0.0	0.273	2e-08
2020-04-20	0.284	2e-08	45.838	3.73e-06	0.002	0.0	0.275	2e-08
2020-04-21	0.221	2e-08	46.059	3.74e-06	0.001	0.0	0.276	2e-08
2020-04-22	0.158	1e-08	46.217	3.76e-06	0.001	0.0	0.277	2e-08
2020-04-23	0.126	1e-08	46.343	3.77e-06	0.001	0.0	0.278	2e-08
2020-04-24	0.095	1e-08	46.438	3.77e-06	0.001	0.0	0.279	2e-08
2020-04-25	0.063	1e-08	46.501	3.78e-06	0.0	0.0	0.279	2e-08
2020-04-26	0.032	0.0	46.532	3.78e-06	0.0	0.0	0.279	2e-08
2020-04-27	46.532	3.78e-06	93.065	7.57e-06	0.279	2e-08	0.558	5e-08
