Date	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-03-01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-03	4.873	4.6e-07	4.873	4.6e-07	0.0	0.0	0.0	0.0
2020-03-04	4.873	4.6e-07	9.746	9.2e-07	0.0	0.0	0.0	0.0
2020-03-05	4.873	4.6e-07	14.619	1.38e-06	0.0	0.0	0.0	0.0
2020-03-06	9.746	9.2e-07	24.364	2.29e-06	0.0	0.0	0.0	0.0
2020-03-07	24.364	2.29e-06	48.728	4.59e-06	0.0	0.0	0.0	0.0
2020-03-08	38.983	3.67e-06	87.711	8.25e-06	0.0	0.0	0.0	0.0
2020-03-09	53.601	5.04e-06	141.313	1.33e-05	0.0	0.0	0.0	0.0
2020-03-10	73.093	6.88e-06	214.405	2.018e-05	0.0	0.0	0.0	0.0
2020-03-11	116.948	1.1e-05	331.354	3.118e-05	0.0	0.0	0.0	0.0
2020-03-12	175.423	1.651e-05	506.776	4.769e-05	0.0	0.0	0.0	0.0
2020-03-13	243.642	2.293e-05	750.418	7.061e-05	0.029	0.0	0.029	0.0
2020-03-14	297.244	2.797e-05	1047.662	9.858e-05	0.029	0.0	0.058	1e-08
2020-03-15	336.226	3.164e-05	1383.889	0.00013022	0.029	0.0	0.088	1e-08
2020-03-16	360.591	3.393e-05	1744.479	0.00016415	0.058	1e-08	0.146	1e-08
2020-03-17	380.082	3.577e-05	2124.561	0.00019992	0.146	1e-08	0.292	3e-08
2020-03-18	384.955	3.622e-05	2509.516	0.00023614	0.234	2e-08	0.526	5e-08
2020-03-19	389.828	3.668e-05	2899.344	0.00027282	0.322	3e-08	0.848	8e-08
2020-03-20	394.701	3.714e-05	3294.045	0.00030996	0.439	4e-08	1.286	1.2e-07
2020-03-21	389.828	3.668e-05	3683.873	0.00034665	0.702	7e-08	1.988	1.9e-07
2020-03-22	384.955	3.622e-05	4068.827	0.00038287	1.053	1e-07	3.041	2.9e-07
2020-03-23	380.082	3.577e-05	4448.91	0.00041864	1.462	1.4e-07	4.503	4.2e-07
2020-03-24	355.718	3.347e-05	4804.627	0.00045211	1.783	1.7e-07	6.286	5.9e-07
2020-03-25	345.972	3.256e-05	5150.6	0.00048466	2.017	1.9e-07	8.303	7.8e-07
2020-03-26	326.481	3.072e-05	5477.08	0.00051538	2.164	2e-07	10.467	9.8e-07
2020-03-27	282.625	2.659e-05	5759.705	0.00054198	2.28	2.1e-07	12.747	1.2e-06
2020-03-28	243.642	2.293e-05	6003.348	0.00056491	2.31	2.2e-07	15.057	1.42e-06
2020-03-29	209.532	1.972e-05	6212.88	0.00058462	2.339	2.2e-07	17.396	1.64e-06
2020-03-30	180.295	1.697e-05	6393.176	0.00060159	2.368	2.2e-07	19.764	1.86e-06
2020-03-31	151.058	1.421e-05	6544.234	0.0006158	2.339	2.2e-07	22.103	2.08e-06
2020-04-01	121.821	1.146e-05	6666.055	0.00062727	2.31	2.2e-07	24.413	2.3e-06
2020-04-02	97.457	9.17e-06	6763.512	0.00063644	2.28	2.1e-07	26.693	2.51e-06
2020-04-03	82.838	7.79e-06	6846.35	0.00064423	2.134	2e-07	28.828	2.71e-06
2020-04-04	73.093	6.88e-06	6919.443	0.00065111	2.076	2e-07	30.904	2.91e-06
2020-04-05	63.347	5.96e-06	6982.79	0.00065707	1.959	1.8e-07	32.862	3.09e-06
2020-04-06	53.601	5.04e-06	7036.391	0.00066211	1.696	1.6e-07	34.558	3.25e-06
2020-04-07	43.856	4.13e-06	7080.247	0.00066624	1.462	1.4e-07	36.02	3.39e-06
2020-04-08	34.11	3.21e-06	7114.357	0.00066945	1.257	1.2e-07	37.277	3.51e-06
2020-04-09	24.364	2.29e-06	7138.721	0.00067174	1.082	1e-07	38.359	3.61e-06
2020-04-10	19.491	1.83e-06	7158.213	0.00067358	0.906	9e-08	39.265	3.69e-06
2020-04-11	14.619	1.38e-06	7172.831	0.00067495	0.731	7e-08	39.996	3.76e-06
2020-04-12	9.746	9.2e-07	7182.577	0.00067587	0.585	6e-08	40.581	3.82e-06
2020-04-13	4.873	4.6e-07	7187.45	0.00067633	0.497	5e-08	41.078	3.87e-06
2020-04-14	0.0	0.0	7187.45	0.00067633	0.439	4e-08	41.517	3.91e-06
2020-04-15	0.0	0.0	7187.45	0.00067633	0.38	4e-08	41.897	3.94e-06
2020-04-16	0.0	0.0	7187.45	0.00067633	0.322	3e-08	42.218	3.97e-06
2020-04-17	0.0	0.0	7187.45	0.00067633	0.263	2e-08	42.481	4e-06
2020-04-18	0.0	0.0	7187.45	0.00067633	0.205	2e-08	42.686	4.02e-06
2020-04-19	0.0	0.0	7187.45	0.00067633	0.146	1e-08	42.832	4.03e-06
2020-04-20	0.0	0.0	7187.45	0.00067633	0.117	1e-08	42.949	4.04e-06
2020-04-21	0.0	0.0	7187.45	0.00067633	0.088	1e-08	43.037	4.05e-06
2020-04-22	0.0	0.0	7187.45	0.00067633	0.058	1e-08	43.095	4.06e-06
2020-04-23	0.0	0.0	7187.45	0.00067633	0.029	0.0	43.125	4.06e-06
