Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Date
Brazil	162	0	0	N/A	7.7e-7	0	810	324	202.5	3.85e-6	1.54e-6	9.625e-7	NA	NA	2020-03-15
Brazil	200	0	1	N/A	9.5e-7	0	1000	400	250	4.75e-6	1.9e-6	1.1875e-6	38	0	NA	NA	2020-03-16
Brazil	321	1	2	N/A	1.53e-6	0	333.333333333	153.846153846	100	7.65e-6	3.06e-6	1.9125e-6	121	1	218.4	100	NA	NA	2020-03-17
Brazil	372	3	2	N/A	1.78e-6	1e-8	1000	461.538461538	300	3.33333333333e-6	1.53846153846e-6	1e-6	51	2	-57.9	100	45708	2.18e-4	2020-03-18
Brazil	621	6	2	N/A	2.96e-6	3e-8	2000	923.076923077	600	1e-5	4.61538461538e-6	3e-6	249	3	388.2	50	NA	NA	2020-03-19
Brazil	793	11	2	N/A	3.79e-6	5e-8	3666.66666667	1692.30769231	1100	1.66666666667e-5	7.69230769231e-6	5e-6	172	5	-30.9	66.7	NA	NA	2020-03-20
Brazil	1021	15	2	N/A	4.87e-6	7e-8	5000	2307.69230769	1500	2.33333333333e-5	1.07692307692e-5	7e-6	228	4	32.6	-20	NA	NA	2020-03-21
Brazil	1546	25	2	1519	7.38e-6	1.2e-7	8333.33333333	3846.15384615	2500	4e-5	1.84615384615e-5	1.2e-5	525	10	130.3	150	NA	NA	2020-03-22
Brazil	1924	34	2	1888	9.19e-6	1.6e-7	11333.3333333	5230.76923077	3400	5.33333333333e-5	2.46153846154e-5	1.6e-5	378	9	-28	-10	NA	NA	2020-03-23
Brazil	2247	46	2	2199	1.073e-5	2.2e-7	15333.3333333	7076.92307692	4600	7.33333333333e-5	3.38461538462e-5	2.2e-5	323	12	-14.6	33.3	NA	NA	2020-03-24
Brazil	2554	59	2	2493	1.219e-5	2.8e-7	19666.6666667	9076.92307692	5900	9.33333333333e-5	4.30769230769e-5	2.8e-5	307	13	-5	8.3	NA	NA	2020-03-25
Brazil	2985	77	6	2902	1.425e-5	3.7e-7	25666.6666667	11846.1538462	7700	1.23333333333e-4	5.69230769231e-5	3.7e-5	431	18	40.4	38.5	NA	NA	2020-03-26
Brazil	3417	92	6	3319	1.631e-5	4.4e-7	30666.6666667	14153.8461538	9200	1.46666666667e-4	6.76923076923e-5	4.4e-5	432	15	0.2	-16.7	NA	NA	2020-03-27
Brazil	3904	111	6	3787	1.864e-5	5.3e-7	37000	17076.9230769	11100	1.76666666667e-4	8.15384615385e-5	5.3e-5	487	19	12.7	26.7	NA	NA	2020-03-28
Brazil	4256	136	6	4114	2.032e-5	6.5e-7	45333.3333333	20923.0769231	13600	2.16666666667e-4	1e-4	6.5e-5	352	25	-27.7	31.6	NA	NA	2020-03-29
Brazil	4579	159	120	4300	2.186e-5	7.6e-7	53000	24461.5384615	15900	2.53333333333e-4	1.16923076923e-4	7.6e-5	323	23	-8.2	-8	NA	NA	2020-03-30
Brazil	5717	201	127	5389	2.729e-5	9.6e-7	67000	30923.0769231	20100	3.2e-4	1.47692307692e-4	9.6e-5	1138	42	252.3	82.6	NA	NA	2020-03-31
Brazil	6836	240	127	6469	3.263e-5	1.15e-6	80000	36923.0769231	24000	3.83333333333e-4	1.76923076923e-4	1.15e-4	1119	39	-1.7	-7.1	54824	2.18e-4	2020-04-01
Brazil	8044	324	127	7593	3.84e-5	1.55e-6	108000	49846.1538462	32400	5.16666666667e-4	2.38461538462e-4	1.55e-4	1208	84	8	115.4	54824	2.61e-4	2020-04-02
Brazil	9056	359	127	8570	4.323e-5	1.71e-6	119666.666667	55230.7692308	35900	5.7e-4	2.63076923077e-4	1.71e-4	1012	35	-16.2	-58.3	NA	NA	2020-04-03
Brazil	10360	445	127	9788	4.946e-5	2.12e-6	148333.333333	68461.5384615	44500	7.06666666667e-4	3.26153846154e-4	2.12e-4	1304	86	28.9	145.7	54824	2.58e-4	2020-04-04
Brazil	11130	486	127	10517	5.313e-5	2.32e-6	162000	74769.2307692	48600	0.00077333333333300005	3.56923076923e-4	2.32e-4	770	41	-41	-52.3	54824	5.2e-5	2020-04-05
