Colombia	34.0	0.0	0.0	N/A	6.8e-07	0.0	170.0	68.0	42.5	3.4e-06	1.36e-06	8.5e-07	2020-03-15
Colombia	54.0	0.0	0.0	N/A	1.09e-06	0.0	270.0	108.0	67.5	5.45e-06	2.18e-06	1.3625e-06	2020-03-16
Colombia	65.0	0.0	1.0	N/A	1.31e-06	0.0	325.0	130.0	81.25	6.55e-06	2.62e-06	1.6375e-06	2020-03-17
Colombia	93.0	0.0	1.0	N/A	1.87e-06	0.0	465.0	186.0	116.25	9.35e-06	3.74e-06	2.3375e-06	2020-03-18
Colombia	102.0	0.0	1.0	N/A	2.05e-06	0.0	510.0	204.0	127.5	1.025e-05	4.1e-06	2.5625e-06	2020-03-19
Colombia	128.0	0.0	1.0	N/A	2.58e-06	0.0	640.0	256.0	160.0	1.29e-05	5.16e-06	3.225e-06	2020-03-20
Colombia	196.0	0.0	1.0	N/A	3.95e-06	0.0	980.0	392.0	245.0	1.975e-05	7.9e-06	4.9375e-06	2020-03-21
Colombia	231.0	2.0	3.0	226.0	4.65e-06	4e-08	666.666666667	307.692307692	200.0	1.33333333333e-05	6.15384615385e-06	4e-06	2020-03-22
Colombia	277.0	3.0	3.0	271.0	5.58e-06	6e-08	1000.0	461.538461538	300.0	2e-05	9.23076923077e-06	6e-06	2020-03-23
Colombia	378.0	3.0	6.0	369.0	7.61e-06	6e-08	1000.0	461.538461538	300.0	2e-05	9.23076923077e-06	6e-06	2020-03-24
Colombia	470.0	4.0	8.0	458.0	9.47e-06	8e-08	1333.33333333	615.384615385	400.0	2.66666666667e-05	1.23076923077e-05	8e-06	2020-03-25
Colombia	491.0	6.0	8.0	477.0	9.89e-06	1.2e-07	2000.0	923.076923077	600.0	4e-05	1.84615384615e-05	1.2e-05	2020-03-26
Colombia	539.0	6.0	10.0	523.0	1.086e-05	1.2e-07	2000.0	923.076923077	600.0	4e-05	1.84615384615e-05	1.2e-05	2020-03-27
Colombia	608.0	6.0	10.0	592.0	1.225e-05	1.2e-07	2000.0	923.076923077	600.0	4e-05	1.84615384615e-05	1.2e-05	2020-03-28
Colombia	702.0	10.0	10.0	682.0	1.414e-05	2e-07	3333.33333333	1538.46153846	1000.0	6.66666666667e-05	3.07692307692e-05	2e-05	2020-03-29
Colombia	798.0	12.0	15.0	771.0	1.607e-05	2.4e-07	4000.0	1846.15384615	1200.0	8e-05	3.69230769231e-05	2.4e-05	2020-03-30
Colombia	906.0	16.0	31.0	859.0	1.825e-05	3.2e-07	5333.33333333	2461.53846154	1600.0	0.000106666666667	4.92307692308e-05	3.2e-05	2020-03-31
Colombia	1065.0	17.0	39.0	1009.0	2.145e-05	3.4e-07	5666.66666667	2615.38461538	1700.0	0.000113333333333	5.23076923077e-05	3.4e-05	2020-04-01
Colombia	1161.0	19.0	55.0	1087.0	2.338e-05	3.8e-07	6333.33333333	2923.07692308	1900.0	0.000126666666667	5.84615384615e-05	3.8e-05	2020-04-02
Colombia	1267.0	25.0	55.0	1187.0	2.552e-05	5e-07	8333.33333333	3846.15384615	2500.0	0.000166666666667	7.69230769231e-05	5e-05	2020-04-03
