Name	Confirmed	Deaths	Recovered	Active
Alachua	57	0	0	0
Osceola	53	0	0	0
Okaloosa	23	0	0	0
Jackson	1	0	0	0
Seminole	49	0	0	0
Gulf	0	0	0	0
Lake	29	0	0	0
Volusia	39	0	0	0
Duval	90	3	0	0
Sumter	29	0	0	0
Calhoun	0	0	0	0
Liberty	0	0	0	0
Hillsborough	167	1	0	0
Orange	156	4	0	0
Brevard	16	0	0	0
Miami-Dade	763	1	0	0
Santa Rosa	11	1	0	0
Flagler	11	0	0	0
Desoto	6	0	0	0
Pasco	23	1	0	0
Indian River	14	0	0	0
Levy	0	0	0	0
Columbia	3	0	0	0
Lee	76	4	0	0
Walton	13	0	0	0
Citrus	11	1	0	0
Martin	16	0	0	0
Okeechobee	0	0	0	0
Manatee	28	1	0	0
Union	0	0	0	0
Hernando	10	0	0	0
Hamilton	0	0	0	0
Nassau	6	0	0	0
Broward	614	5	0	0
Putnam	12	0	0	0
Saint Lucie	14	1	0	0
Suwannee	1	0	0	0
Bradford	1	0	0	0
Hendry	0	0	0	0
Highlands	5	1	0	0
Gadsden	1	0	0	0
Baker	7	0	0	0
Bay	3	0	0	0
Gilchrist	0	0	0	0
Taylor	0	0	0	0
Glades	0	0	0	0
Franklin	0	0	0	0
Pinellas	77	1	0	0
Clay	22	4	0	0
Hardee	0	0	0	0
Saint Johns	36	1	0	0
Holmes	0	0	0	0
Charlotte	5	0	0	0
Madison	0	0	0	0
Palm Beach	194	3	0	0
Dixie	0	0	0	0
Polk	26	0	0	0
Washington	1	0	0	0
Leon	14	0	0	0
Sarasota	40	2	0	0
Jefferson	0	0	0	0
Marion	8	0	0	0
Wakulla	0	0	0	0
Escambia	22	0	0	0
Collier	81	0	0	0
Lafayette	0	0	0	0
Monroe	16	0	0	0
