Alachua,269956
Baker,28355
Bay,185287
Bradford,27732
Brevard,596849
Broward,1951260
Calhoun,14587
Charlotte,184998
Citrus,147929
Clay,216072
Collier,378488
Columbia,70503
Desoto,37489
Dixie,16700
Duval,950181
Escambia,315534
Flagler,112067
Franklin,11736
Gadsden,45894
Gilchrist,18256
Glades,13724
Gulf,16164
Hamilton,14310
Hardee,27245
Hendry,41556
Hernando,190865
Highlands,105424
Hillsborough,1436888
Holmes,19477
Indian River,157413
Jackson,48305
Jefferson,14288
Lafayette,8732
Lake,356495
Lee,754610
Leon,292502
Levy,40770
Liberty,8457
Madison,18529
Manatee,394855
Marion,359977
Martin,160912
Miami-Dade,2761581
Monroe,75027
Nassau,85832
Okaloosa,207269
Okeechobee,41537
Orange,1380645
Osceola,367990
Palm Beach,1485941
Pasco,539630
Pinellas,975280
Polk,708009
Putnam,74163
Saint Johns,254261
Saint Lucie,321128
Santa Rosa,179349
Sarasota,426718
Seminole,467832
Sumter,128754
Suwannee,44191
Taylor,21623
Union,14940
Volusia,547538
Wakulla,32461
Walton,71375
Washington,24880
