Name	Predicted_New_Cases	Total_Predicted_New_Cases
Highlands	4.873	218.315
Dixie	0.0	0.0
Hillsborough	33.959	1911.643
Collier	15.62	836.014
Indian River	24.488	825.921
Santa Rosa	0.777	65.98
Citrus	12.467	500.155
Palm Beach	128.52	5826.985
Hamilton	0.0	0.0
Lee	34.217	1725.731
Washington	0.0	0.0
Sumter	0.439	56.122
Levy	0.0	0.0
Hardee	0.0	0.0
Miami-Dade	951.958	38372.775
Saint Lucie	14.542	743.787
Desoto	45.407	865.824
Bradford	34.056	648.869
Jefferson	7.922	319.089
Bay	28.316	621.922
Nassau	1.711	89.387
Marion	3.739	209.607
Leon	2.18	131.561
Columbia	68.111	1295.739
Madison	0.223	25.786
Alachua	1.355	146.615
Brevard	11.12	564.012
Walton	56.759	1080.78
Calhoun	0.05	5.636
Gadsden	22.704	432.912
Charlotte	24.942	674.013
Seminole	7.281	445.433
Hernando	26.412	751.686
Lake	4.044	237.594
Unassigned	0.371	41.224
Osceola	16.253	821.174
Broward	42.673	3538.291
Clay	6.099	290.715
Wakulla	11.684	393.237
Sarasota	10.281	579.158
Pinellas	32.284	1369.79
Putnam	22.704	431.912
Franklin	8.258	313.315
Hendry	0.168	18.43
Gulf	0.0	0.0
Escambia	3.757	260.053
Union	0.0	0.0
Pasco	7.516	464.705
Okaloosa	1.017	80.625
Flagler	0.178	22.781
Holmes	0.0	0.0
Glades	0.0	0.0
Saint Johns	24.044	965.73
Duval	249.156	7940.294
Polk	167.465	4490.792
Okeechobee	0.045	5.154
Manatee	32.628	1237.389
Orange	17.668	1337.649
Suwannee	70.079	1987.943
Volusia	28.277	1065.47
Jackson	0.0	0.0
