Name	Predicted_New_Cases	Total_Predicted_New_Cases
Georgetown	0.205	27.812
McCormick	0.0	0.0
Richland	31.897	1897.516
Berkeley	0.645	74.084
Clarendon	84.675	2892.87
Cherokee	0.031	5.336
Beaufort	11.009	695.554
Fairfield	1.994	141.158
Barnwell	0.0	0.0
Horry	3.933	301.202
Abbeville	0.0	0.0
Lee	49.782	1343.589
Laurens	0.0	0.0
Sumter	22.452	877.478
Marlboro	0.0	0.0
Saluda	0.0	0.0
Chesterfield	19.43	556.466
Lexington	23.778	1411.822
Marion	0.0	0.0
Oconee	0.0	0.0
Newberry	9.956	268.518
Calhoun	19.913	537.036
Florence	2.326	165.353
Greenville	6.978	505.059
Kershaw	2.507	226.608
Dorchester	34.64	1189.81
Edgefield	9.956	268.518
Chester	29.869	807.555
Colleton	19.913	539.036
Hampton	0.063	10.675
Anderson	6.374	358.327
Union	29.21	998.624
Lancaster	55.886	1695.646
Darlington	39.826	1082.072
Greenwood	19.913	538.036
Allendale	0.0	0.0
Aiken	24.838	752.729
Williamsburg	0.159	22.466
Charleston	3.872	434.505
Spartanburg	6.001	476.864
Jasper	19.913	539.036
York	5.338	402.488
Orangeburg	0.116	19.79
Pickens	0.312	33.548
