Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Tests	Tests_per_capita
Turkey	1529	37	0	1492	1.857e-05	4.5e-07	12333.3333333	5692.30769231	3700	0.00015	6.92307692308e-05	4.5e-05	293	7	NA	NA
Italy	63927	6077	7432	50418	0.00105785	0.00010056	2025666.66667	934923.076923	607700	0.03352	0.0154707692308	0.010056	4789	601	275468	0.004567
Czech Republic	1236	1	7	1228	0.00011632	9e-08	333.333333333	153.846153846	100	3e-05	1.38461538462e-05	9e-06	116	0	19624	0.001843
Monaco	23	0	1	22	0.00059459	0.0	115	46	28.75	0.00297295	0.00118918	0.0007432375	0	0	NA	NA
Lithuania	179	1	1	177	6.417e-05	3.6e-07	333.333333333	153.846153846	100	0.00012	5.53846153846e-05	3.6e-05	50	0	2734	9.78e-4
Luxembourg	875	8	6	861	0.00143979	1.316e-05	2666.66666667	1230.76923077	800	0.00438666666667	0.00202461538462	0.001316	77	0	NA	NA
France	20123	862	2207	17054	0.0003004	1.287e-05	287333.333333	132615.384615	86200	0.00429	0.00198	0.001287	3909	186	NA	NA
Andorra	133	1	1	131	0.00172714	1.299e-05	333.333333333	153.846153846	100	0.00433	0.00199846153846	0.001299	20	0	NA	NA
Switzerland	8795	120	131	8544	0.0010327	1.409e-05	40000	18461.5384615	12000	0.00469666666667	0.00216769230769	0.001409	1321	22	NA	NA
Georgia	61	0	8	53	1.635e-05	0.0	305	122	76.25	8.175e-05	3.27e-05	2.04375e-05	7	0	NA	NA
Slovakia	186	0	7	179	3.415e-05	0.0	930	372	232.5	0.00017075	6.83e-05	4.26875e-05	1	0	3940	7.23e-4
Ireland	1125	6	5	1114	0.00023179	1.24e-06	2000	923.076923077	600	0.000413333333333	0.000190769230769	0.000124	219	2	NA	NA
Norway	2621	10	6	2605	0.00049319	1.88e-06	3333.33333333	1538.46153846	1000	0.000626666666667	0.000289230769231	0.000188	358	3	70608	0.013155
Israel	1442	1	41	1400	0.00016232	1.1e-07	333.333333333	153.846153846	100	3.66666666667e-05	1.69230769231e-05	1.1e-05	371	0	27054	0.002949
Belarus	81	0	22	59	8.54e-06	0.0	405	162	101.25	4.27e-05	1.708e-05	1.0675e-05	5	0	21000	0.002212
Iceland	588	1	51	536	0.00166302	2.83e-06	333.333333333	153.846153846	100	0.000943333333333	0.000435384615385	0.000283	20	0	NA	NA
Montenegro	27	1	0	26	4.338e-05	1.61e-06	333.333333333	153.846153846	100	0.000536666666667	0.000247692307692	0.000161	6	1	NA	NA
Slovenia	442	3	0	439	0.0002138	1.45e-06	1000	461.538461538	300	0.000483333333333	0.000223076923077	0.000145	28	1	NA	NA
Germany	29056	123	453	28480	0.00035038	1.48e-06	41000	18923.0769231	12300	0.000493333333333	0.000227692307692	0.000148	4183	29	NA	NA
Bosnia and Herzegovina	132	1	2	129	3.971e-05	3e-07	333.333333333	153.846153846	100	0.0001	4.61538461538e-05	3e-05	6	0	NA	NA
Armenia	235	0	2	233	7.961e-05	0.0	1175	470	293.75	0.00039805	0.00015922	9.95125e-05	41	0	NA	NA
Belgium	3743	88	401	3254	0.0003277	7.7e-06	29333.3333333	13538.4615385	8800	0.00256666666667	0.00118461538462	0.00077	342	13	NA	NA
Spain	35136	2311	3355	29470	0.00075199	4.946e-05	770333.333333	355538.461538	231100	0.0164866666667	0.00760923076923	0.004946	6533	555	NA	NA
Ukraine	73	3	1	69	1.64e-06	7e-08	1000	461.538461538	300	2.33333333333e-05	1.07692307692e-05	7e-06	0	0	756	1.8e-5
San Marino	187	20	4	163	0.005535	0.00059198	6666.66666667	3076.92307692	2000	0.197326666667	0.0910738461538	0.059198	12	0	NA	NA
Netherlands	4764	214	3	4547	0.00027648	1.242e-05	71333.3333333	32923.0769231	21400	0.00414	0.00191076923077	0.001242	547	34	NA	NA
Denmark	1572	24	24	1524	0.00027115	4.14e-06	8000	3692.30769231	2400	0.00138	0.000636923076923	0.000414	58	11	NA	NA
Poland	749	8	13	728	1.972e-05	2.1e-07	2666.66666667	1230.76923077	800	7e-05	3.23076923077e-05	2.1e-05	115	1	NA	NA
Finland	700	1	10	689	0.00012686	1.8e-07	333.333333333	153.846153846	100	6e-05	2.76923076923e-05	1.8e-05	74	0	NA	NA
Macedonia	136	2	1	133	6.529e-05	9.6e-07	666.666666667	307.692307692	200	0.00032	0.000147692307692	9.6e-05	21	1	NA	NA
Moldova	109	1	2	106	3.074e-05	2.8e-07	333.333333333	153.846153846	100	9.33333333333e-05	4.30769230769e-05	2.8e-05	15	0	NA	NA
Liechtenstein	51	0	0	51	0.00134529	0.0	255	102	63.75	0.00672645	0.00269058	0.0016816125	14	0	NA	NA
Latvia	180	0	1	179	9.343e-05	0.0	900	360	225	0.00046715	0.00018686	0.0001167875	41	0	NA	NA
Croatia	315	1	5	309	7.703e-05	2.4e-07	333.333333333	153.846153846	100	8e-05	3.69230769231e-05	2.4e-05	61	0	NA	NA
Malta	107	0	2	105	0.00022129	0.0	535	214	133.75	0.00110645	0.00044258	0.0002766125	17	0	NA	NA
Vatican	1	0	0	1	0.00124844	0.0	5	2	1.25	0.0062422	0.00249688	0.00156055	0	0	NA	NA
Sweden	2046	25	16	2005	0.00020092	2.46e-06	8333.33333333	3846.15384615	2500	0.00082	0.000378461538462	0.000246	115	4	NA	NA
Russia	438	1	17	420	3.03e-06	1e-08	333.333333333	153.846153846	100	3.33333333333e-06	1.53846153846e-06	1e-06	71	0	185918	0.001267
