Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Tests	Tests_per_capita
Turkey	2433	59	26	2348	2.956e-5	7.2e-7	19666.6666667	9076.92307692	5900	2.4e-4	1.10769230769e-4	7.2e-5	561	15	33004	3.97e-4
Italy	74386	7503	9362	57521	0.00123092	1.2416e-4	2501000	1154307.69231	750300	0.0413866666667	0.0191015384615	0.012416	5210	683	324445	0.005379
Czech Republic	1654	6	10	1638	1.5566e-4	5.6e-7	2000	923.076923077	600	1.86666666667e-4	8.61538461538e-5	5.6e-5	260	3	22600	0.002122
Monaco	31	0	1	30	8.0141e-4	0	155	62	38.75	0.00400705	0.00160282	0.0010017625	8	0	NA	NA
Lithuania	274	4	1	269	9.822e-5	1.43e-6	1333.33333333	615.384615385	400	4.76666666667e-4	2.2e-4	1.43e-4	65	2	3471	0.001242
Luxembourg	1333	8	6	1319	0.00219342	1.316e-5	2666.66666667	1230.76923077	800	0.00438666666667	0.00202461538462	0.001316	234	0	NA	NA
France	25600	1333	3907	20360	3.8216e-4	1.99e-5	444333.333333	205076.923077	133300	0.00663333333333	0.00306153846154	0.00199	2978	231	NA	NA
Andorra	188	1	1	186	0.00244137	1.299e-5	333.333333333	153.846153846	100	0.00433	0.00199846153846	0.001299	24	0	NA	NA
Switzerland	10897	153	131	10613	0.00127951	1.797e-5	51000	23538.4615385	15300	0.00599	0.00276461538462	0.001797	1020	31	NA	NA
Georgia	75	0	10	65	2.01e-5	0	375	150	93.75	1.005e-4	4.02e-5	2.5125e-5	5	0	NA	NA
Slovakia	216	0	7	209	3.965e-5	0	1080	432	270	1.9825e-4	7.93e-5	4.95625e-5	12	0	NA	NA
Ireland	1564	9	5	1550	3.2224e-4	1.85e-6	3000	1384.61538462	900	6.16666666667e-4	2.84615384615e-4	1.85e-4	235	2	NA	NA
Norway	3084	14	6	3064	5.8032e-4	2.63e-6	4666.66666667	2153.84615385	1400	8.76666666667e-4	4.04615384615e-4	2.63e-4	221	2	73089	0.013617
Israel	2369	5	58	2306	2.6667e-4	5.6e-7	1666.66666667	769.230769231	500	1.86666666667e-4	8.61538461538e-5	5.6e-5	439	2	37586	0.004097
Belarus	86	0	29	57	9.07e-6	0	430	172	107.5	4.535e-5	1.814e-5	1.13375e-5	5	0	23000	0.002423
Iceland	737	2	56	679	0.00208443	5.66e-6	666.666666667	307.692307692	200	0.00188666666667	8.70769230769e-4	5.66e-4	89	0	NA	NA
Montenegro	52	1	0	51	8.355e-5	1.61e-6	333.333333333	153.846153846	100	5.36666666667e-4	2.47692307692e-4	1.61e-4	5	0	NA	NA
Slovenia	528	5	10	513	2.554e-4	2.42e-6	1666.66666667	769.230769231	500	8.06666666667e-4	3.72307692308e-4	2.42e-4	48	1	16113	0.007695
Germany	37323	206	3547	33570	4.5007e-4	2.48e-6	68666.6666667	31692.3076923	20600	8.26666666667e-4	3.81538461538e-4	2.48e-4	4337	49	NA	NA
Bosnia and Herzegovina	176	3	2	171	5.295e-5	9e-7	1000	461.538461538	300	3e-4	1.38461538462e-4	9e-5	10	0	1133	3.29e-4
Armenia	265	0	16	249	8.978e-5	0	1325	530	331.25	4.489e-4	1.7956e-4	1.12225e-4	16	0	1580	5.35e-4
Belgium	4937	178	547	4212	4.3223e-4	1.558e-5	59333.3333333	27384.6153846	17800	0.00519333333333	0.00239692307692	0.001558	668	56	NA	NA
Spain	49515	3647	5367	40501	0.00105974	7.805e-5	1215666.66667	561076.923077	364700	0.0260166666667	0.0120076923077	0.007805	9630	839	NA	NA
Ukraine	145	5	1	139	3.25e-6	1.1e-7	1666.66666667	769.230769231	500	3.66666666667e-5	1.69230769231e-5	1.1e-5	48	2	NA	NA
San Marino	208	21	4	183	0.00615658	6.2158e-4	7000	3230.76923077	2100	0.207193333333	0.0956276923077	0.062158	21	0	NA	NA
Netherlands	6438	357	4	6077	3.7363e-4	2.072e-5	119000	54923.0769231	35700	0.00690666666667	0.00318769230769	0.002072	858	80	NA	NA
Denmark	1862	34	41	1787	3.2118e-4	5.86e-6	11333.3333333	5230.76923077	3400	0.00195333333333	9.01538461538e-4	5.86e-4	144	2	17891	0.003017
Poland	1051	14	7	1030	2.767e-5	3.7e-7	4666.66666667	2153.84615385	1400	1.23333333333e-4	5.69230769231e-5	3.7e-5	150	4	26244	6.84e-4
Finland	880	3	10	867	1.5948e-4	5.4e-7	1000	461.538461538	300	1.8e-4	8.30769230769e-5	5.4e-5	88	2	NA	NA
Macedonia	177	3	1	173	8.498e-5	1.44e-6	1000	461.538461538	300	4.8e-4	2.21538461538e-4	1.44e-4	29	1	NA	NA
Moldova	149	1	2	146	4.202e-5	2.8e-7	333.333333333	153.846153846	100	9.33333333333e-5	4.30769230769e-5	2.8e-5	24	0	NA	NA
Liechtenstein	51	0	0	51	0.00134529	0	255	102	63.75	0.00672645	0.00269058	0.0016816125	0	0	NA	NA
Latvia	221	0	1	220	1.1471e-4	0	1105	442	276.25	5.7355e-4	2.2942e-4	1.433875e-4	24	0	9796	0.005102
Croatia	442	1	22	419	1.0808e-4	2.4e-7	333.333333333	153.846153846	100	8e-5	3.69230769231e-5	2.4e-5	60	0	NA	NA
Malta	129	0	2	127	2.6679e-4	0	645	258	161.25	0.00133395	5.3358e-4	3.334875e-4	19	0	NA	NA
Vatican	4	0	0	4	0.00499376	0	20	8	5	0.0249688	0.00998752	0.0062422	0	0	NA	NA
Sweden	2526	62	16	2448	2.4806e-4	6.09e-6	20666.6666667	9538.46153846	6200	0.00203	9.36923076923e-4	6.09e-4	240	26	24500	0.002859
Russia	658	3	29	626	4.55e-6	2e-8	1000	461.538461538	300	6.66666666667e-6	3.07692307692e-6	2e-6	163	2	192824	0.001314
Bulgaria	242	3	4	235	3.445e-5	4.3e-7	1000	461.538461538	300	1.43333333333e-4	6.61538461538e-5	4.3e-5	24	0	NA	NA
Romania	906	17	86	803	4.652e-5	8.7e-7	5666.66666667	2615.38461538	1700	2.9e-4	1.33846153846e-4	8.7e-5	112	6	NA	NA
Albania	146	5	17	124	5.094e-5	1.74e-6	1666.66666667	769.230769231	500	5.8e-4	2.67692307692e-4	1.74e-4	23	0	NA	NA
Portugal	2995	43	22	2930	2.9129e-4	4.18e-6	14333.3333333	6615.38461538	4300	0.00139333333333	6.43076923077e-4	4.18e-4	633	10	NA	NA
Estonia	404	1	8	395	3.0586e-4	7.6e-7	333.333333333	153.846153846	100	2.53333333333e-4	1.16923076923e-4	7.6e-5	35	1	NA	NA
Azerbaijan	93	2	10	81	9.35e-6	2e-7	666.666666667	307.692307692	200	6.66666666667e-5	3.07692307692e-5	2e-5	6	1	NA	NA
United Kingdom	9640	466	140	9034	1.4499e-4	7.01e-6	155333.333333	71692.3076923	46600	0.00233666666667	0.00107846153846	7.01e-4	1476	43	97019	0.001436
Austria	5588	30	9	5549	6.3162e-4	3.39e-6	10000	4615.38461538	3000	0.00113	5.21538461538e-4	3.39e-4	305	2	32407	0.00364
Republic of Serbia	384	4	15	365	5.5e-5	5.7e-7	1333.33333333	615.384615385	400	1.9e-4	8.76923076923e-5	5.7e-5	81	1	NA	NA
Greece	821	22	36	763	7.653e-5	2.05e-6	7333.33333333	3384.61538462	2200	6.83333333333e-4	3.15384615385e-4	2.05e-4	78	2	NA	NA
Hungary	226	10	21	195	2.313e-5	1.02e-6	3333.33333333	1538.46153846	1000	3.4e-4	1.56923076923e-4	1.02e-4	39	1	6817	6.98e-4
Cyprus	132	3	3	126	1.1282e-4	2.56e-6	1000	461.538461538	300	8.53333333333e-4	3.93846153846e-4	2.56e-4	8	0	NA	NA
