Date	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-01-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-29	10.97	6.8e-07	10.97	6.8e-07	0.066	0.0	0.066	0.0
2020-01-30	10.97	6.8e-07	21.94	1.35e-06	0.066	0.0	0.132	1e-08
2020-01-31	10.97	6.8e-07	32.909	2.03e-06	0.066	0.0	0.197	1e-08
2020-02-01	21.94	1.35e-06	54.849	3.38e-06	0.132	1e-08	0.329	2e-08
2020-02-02	54.849	3.38e-06	109.698	6.75e-06	0.329	2e-08	0.658	4e-08
2020-02-03	87.759	5.4e-06	197.457	1.215e-05	0.527	3e-08	1.185	7e-08
2020-02-04	120.668	7.43e-06	318.125	1.958e-05	0.724	4e-08	1.909	1.2e-07
2020-02-05	164.547	1.013e-05	482.673	2.97e-05	0.987	6e-08	2.896	1.8e-07
2020-02-06	263.276	1.62e-05	745.948	4.591e-05	1.58	1e-07	4.476	2.8e-07
2020-02-07	394.914	2.43e-05	1140.862	7.021e-05	2.369	1.5e-07	6.845	4.2e-07
2020-02-08	548.492	3.375e-05	1689.354	0.00010396	3.291	2e-07	10.136	6.2e-07
2020-02-09	669.16	4.118e-05	2358.513	0.00014514	4.015	2.5e-07	14.151	8.7e-07
2020-02-10	756.918	4.658e-05	3115.432	0.00019172	4.542	2.8e-07	18.693	1.15e-06
2020-02-11	811.767	4.996e-05	3927.199	0.00024168	4.871	3e-07	23.563	1.45e-06
2020-02-12	855.647	5.266e-05	4782.846	0.00029433	5.134	3.2e-07	28.697	1.77e-06
2020-02-13	866.617	5.333e-05	5649.463	0.00034766	5.2	3.2e-07	33.897	2.09e-06
2020-02-14	877.586	5.401e-05	6527.049	0.00040167	5.266	3.2e-07	39.162	2.41e-06
2020-02-15	888.556	5.468e-05	7415.605	0.00045635	5.331	3.3e-07	44.494	2.74e-06
2020-02-16	877.586	5.401e-05	8293.192	0.00051036	5.266	3.2e-07	49.759	3.06e-06
2020-02-17	866.617	5.333e-05	9159.808	0.00056369	5.2	3.2e-07	54.959	3.38e-06
2020-02-18	855.647	5.266e-05	10015.455	0.00061634	5.134	3.2e-07	60.093	3.7e-06
2020-02-19	800.798	4.928e-05	10816.253	0.00066562	4.805	3e-07	64.898	3.99e-06
2020-02-20	778.858	4.793e-05	11595.111	0.00071355	4.673	2.9e-07	69.571	4.28e-06
2020-02-21	734.979	4.523e-05	12330.089	0.00075878	4.41	2.7e-07	73.981	4.55e-06
2020-02-22	636.25	3.915e-05	12966.339	0.00079794	3.818	2.3e-07	77.798	4.79e-06
2020-02-23	548.492	3.375e-05	13514.831	0.00083169	3.291	2e-07	81.089	4.99e-06
2020-02-24	471.703	2.903e-05	13986.534	0.00086072	2.83	1.7e-07	83.919	5.16e-06
2020-02-25	405.884	2.498e-05	14392.417	0.0008857	2.435	1.5e-07	86.355	5.31e-06
2020-02-26	340.065	2.093e-05	14732.482	0.00090663	2.04	1.3e-07	88.395	5.44e-06
2020-02-27	274.246	1.688e-05	15006.728	0.0009235	1.645	1e-07	90.04	5.54e-06
2020-02-28	219.397	1.35e-05	15226.124	0.000937	1.316	8e-08	91.357	5.62e-06
2020-02-29	186.487	1.148e-05	15412.611	0.00094848	1.119	7e-08	92.476	5.69e-06
2020-03-01	164.547	1.013e-05	15577.159	0.00095861	0.987	6e-08	93.463	5.75e-06
2020-03-02	142.608	8.78e-06	15719.767	0.00096738	0.856	5e-08	94.319	5.8e-06
2020-03-03	120.668	7.43e-06	15840.435	0.00097481	0.724	4e-08	95.043	5.85e-06
2020-03-04	98.728	6.08e-06	15939.163	0.00098088	0.592	4e-08	95.635	5.89e-06
2020-03-05	76.789	4.73e-06	16015.952	0.00098561	0.461	3e-08	96.096	5.91e-06
2020-03-06	54.849	3.38e-06	16070.801	0.00098898	0.329	2e-08	96.425	5.93e-06
2020-03-07	43.879	2.7e-06	16114.681	0.00099168	0.263	2e-08	96.688	5.95e-06
2020-03-08	32.909	2.03e-06	16147.59	0.00099371	0.197	1e-08	96.886	5.96e-06
2020-03-09	21.94	1.35e-06	16169.53	0.00099506	0.132	1e-08	97.017	5.97e-06
2020-03-10	10.97	6.8e-07	16180.5	0.00099574	0.066	0.0	97.083	5.97e-06
