Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita
Madagascar	72	0	2	70	2.74e-6	0	360	144	90	1.37e-5	5.48e-6	3.425e-6	NA	NA
Swaziland	9	0	0	9	7.92e-6	0	45	18	11.25	3.96e-5	1.584e-5	9.9e-6	NA	NA
Liberia	13	3	3	7	2.7e-6	6.2e-7	1000	461.538461538	300	2.06666666667e-4	9.53846153846e-5	6.2e-5	NA	NA
Sudan	12	2	2	8	2.9e-7	5e-8	666.666666667	307.692307692	200	1.66666666667e-5	7.69230769231e-6	5e-6	NA	NA
Guinea	121	0	5	116	9.75e-6	0	605	242	151.25	4.875e-5	1.95e-5	1.21875e-5	NA	NA
United Republic of Tanzania	22	1	3	18	3.9e-7	2e-8	333.333333333	153.846153846	100	6.66666666667e-6	3.07692307692e-6	2e-6	NA	NA
Republic of the Congo	45	5	2	38	8.58e-6	9.5e-7	1666.66666667	769.230769231	500	3.16666666667e-4	1.46153846154e-4	9.5e-5	NA	NA
Democratic Republic of the Congo	154	18	3	133	1.83e-6	2.1e-7	6000	2769.23076923	1800	7e-5	3.23076923077e-5	2.1e-5	NA	NA
Rwanda	104	0	4	100	8.45e-6	0	520	208	130	4.225e-5	1.69e-5	1.05625e-5	NA	NA
Somalia	7	0	1	6	4.7e-7	0	35	14	8.75	2.35e-6	9.4e-7	5.875e-7	NA	NA
Ivory Coast	261	3	37	221	1.041e-5	1.2e-7	1000	461.538461538	300	4e-5	1.84615384615e-5	1.2e-5	NA	NA
Nigeria	232	5	33	194	1.18e-6	3e-8	1666.66666667	769.230769231	500	1e-5	4.61538461538e-6	3e-6	4000	1.9e-5
Cameroon	650	9	17	624	2.578e-5	3.6e-7	3000	1384.61538462	900	1.2e-4	5.53846153846e-5	3.6e-5	NA	NA
Burkina Faso	345	17	90	238	1.747e-5	8.6e-7	5666.66666667	2615.38461538	1700	2.86666666667e-4	1.32307692308e-4	8.6e-5	NA	NA
Benin	22	0	5	17	1.92e-6	0	110	44	27.5	9.6e-6	3.84e-6	2.4e-6	NA	NA
Ghana	214	5	31	178	7.19e-6	1.7e-7	1666.66666667	769.230769231	500	5.66666666667e-5	2.61538461538e-5	1.7e-5	NA	NA
Algeria	1320	152	90	1078	3.126e-5	3.6e-6	50666.6666667	23384.6153846	15200	0.0012	5.53846153846e-4	3.6e-4	3359	7.7e-5
Zambia	39	1	3	35	2.25e-6	6e-8	333.333333333	153.846153846	100	2e-5	9.23076923077e-6	6e-6	619	3.4e-5
Cape Verde	7	1	0	6	1.287e-5	1.84e-6	333.333333333	153.846153846	100	6.13333333333e-4	2.83076923077e-4	1.84e-4	NA	NA
Malawi	4	0	0	4	2.2e-7	0	20	8	5	1.1e-6	4.4e-7	2.75e-7	NA	NA
Togo	44	3	20	21	5.58e-6	3.8e-7	1000	461.538461538	300	1.26666666667e-4	5.84615384615e-5	3.8e-5	NA	NA
Zimbabwe	9	1	0	8	6.2e-7	7e-8	333.333333333	153.846153846	100	2.33333333333e-5	1.07692307692e-5	7e-6	316	2.1e-5
Senegal	222	2	82	138	1.4e-5	1.3e-7	666.666666667	307.692307692	200	4.33333333333e-5	2e-5	1.3e-5	NA	NA
Sierra Leone	6	0	0	6	7.8e-7	0	30	12	7.5	3.9e-6	1.56e-6	9.75e-7	NA	NA
Eritrea	29	0	0	29	6.48e-6	0	145	58	36.25	3.24e-5	1.296e-5	8.1e-6	NA	NA
Libya	18	1	0	17	2.7e-6	1.5e-7	333.333333333	153.846153846	100	5e-5	2.30769230769e-5	1.5e-5	294	4.3e-5
Gambia	4	1	2	1	1.75e-6	4.4e-7	333.333333333	153.846153846	100	1.46666666667e-4	6.76923076923e-5	4.4e-5	NA	NA
Central African Republic	8	0	0	8	1.71e-6	0	40	16	10	8.55e-6	3.42e-6	2.1375e-6	NA	NA
Mauritius	227	7	7	213	1.794e-4	5.53e-6	2333.33333333	1076.92307692	700	0.00184333333333	8.50769230769e-4	5.53e-4	NA	NA
Morocco	1021	70	76	875	2.834e-5	1.94e-6	23333.3333333	10769.2307692	7000	6.46666666667e-4	2.98461538462e-4	1.94e-4	4848	1.31e-4
Mauritania	6	1	2	3	1.36e-6	2.3e-7	333.333333333	153.846153846	100	7.66666666667e-5	3.53846153846e-5	2.3e-5	67	1.4e-5
Gabon	21	1	1	19	9.91e-6	4.7e-7	333.333333333	153.846153846	100	1.56666666667e-4	7.23076923077e-5	4.7e-5	NA	NA
South Sudan	1	0	0	1	9e-8	0	5	2	1.25	4.5e-7	1.8e-7	1.125e-7	NA	NA
Guinea-Bissau	18	0	0	18	9.6e-6	0	90	36	22.5	4.8e-5	1.92e-5	1.2e-5	NA	NA
Mali	45	5	1	39	2.36e-6	2.6e-7	1666.66666667	769.230769231	500	8.66666666667e-5	4e-5	2.6e-5	NA	NA
Namibia	16	0	3	13	6.54e-6	0	80	32	20	3.27e-5	1.308e-5	8.175e-6	301	1.18e-4
Seychelles	10	0	0	10	1.0335e-4	0	50	20	12.5	5.1675e-4	2.067e-4	1.291875e-4	NA	NA
Angola	14	2	2	10	4.5e-7	6e-8	666.666666667	307.692307692	200	2e-5	9.23076923077e-6	6e-6	NA	NA
Chad	9	0	0	9	5.8e-7	0	45	18	11.25	2.9e-6	1.16e-6	7.25e-7	NA	NA
Ethiopia	43	2	4	37	3.9e-7	2e-8	666.666666667	307.692307692	200	6.66666666667e-6	3.07692307692e-6	2e-6	1843	1.6e-5
Egypt	1173	78	247	848	1.192e-5	7.9e-7	26000	12000	7800	2.63333333333e-4	1.21538461538e-4	7.9e-5	25000	2.44e-4
