Anderson,76482
Bedford,49038
Benton,16184
Bledsoe,14755
Blount,131349
Bradley,106727
Campbell,39583
Cannon,14462
Carroll,28020
Carter,56351
Cheatham,40439
Chester,17276
Claiborne,31756
Clay,7717
Cocke,35774
Coffee,55700
Crockett,14328
Cumberland,59673
Davidson,692587
Decatur,11706
De Kalb,20138
Dickson,53446
Dyer,37320
Fayette,40507
Fentress,18217
Franklin,41890
Gibson,49045
Giles,29503
Grainger,23145
Greene,69087
Grundy,13346
Hamblen,64569
Hamilton,364286
Hancock,6549
Hardeman,25220
Hardin,25776
Hawkins,56530
Haywood,17335
Henderson,27847
Henry,32358
Hickman,25063
Houston,8263
Humphreys,18486
Jackson,11758
Jefferson,54012
Johnson,17778
Knox,465289
Lake,7411
Lauderdale,25825
Lawrence,43734
Lewis,12086
Lincoln,34117
Loudon,53054
McMinn,53285
McNairy,25832
Macon,24265
Madison,97605
Marion,28575
Marshall,33683
Maury,94340
Meigs,12306
Monroe,46357
Montgomery,205950
Moore,6411
Morgan,21579
Obion,30267
Overton,22068
Perry,8064
Pickett,5082
Polk,16898
Putnam,78843
Rhea,33044
Roane,53140
Robertson,71012
Rutherford,324890
Scott,22039
Sequatchie,14876
Sevier,97892
Shelby,935764
Smith,19942
Stewart,13561
Sullivan,157668
Sumner,187149
Tipton,61581
Trousdale,11012
Unicoi,17761
Union,19688
Van Buren,5765
Warren,40878
Washington,128607
Wayne,16558
Weakley,33415
White,27107
Williamson,231729
Wilson,140625
