Date	Predicted Daily Cases	Predicted Total Cases	Predicted Daily Deaths	Predicted Total Deaths
2020-04-15	0.0	7.0	0.245	0.245
2020-04-16	0.0	7.0	0.266	0.511
2020-04-17	0.0	7.0	0.289	0.8
2020-04-18	0.0	7.0	0.312	1.112
2020-04-19	0.0	7.0	0.335	1.447
2020-04-20	0.0	7.0	0.354	1.801
2020-04-21	0.0	7.0	0.368	2.169
2020-04-22	0.0	7.0	0.377	2.546
2020-04-23	0.0	7.0	0.382	2.928
2020-04-24	0.0	7.0	0.383	3.311
2020-04-25	0.0	7.0	0.382	3.693
2020-04-26	0.0	7.0	0.379	4.072
2020-04-27	0.0	7.0	0.374	4.446
2020-04-28	0.0	7.0	0.368	4.814
2020-04-29	0.0	7.0	0.361	5.175
2020-04-30	0.0	7.0	0.353	5.528
2020-05-01	0.0	7.0	0.344	5.872
2020-05-02	0.0	7.0	0.334	6.206
2020-05-03	0.0	7.0	0.325	6.531
2020-05-04	0.0	7.0	0.317	6.848
2020-05-05	0.0	7.0	0.309	7.157
2020-05-06	0.0	7.0	0.301	7.458
2020-05-07	0.0	7.0	0.293	7.751
2020-05-08	0.0	7.0	0.283	8.034
2020-05-09	0.0	7.0	0.273	8.307
2020-05-10	0.0	7.0	0.263	8.57
2020-05-11	0.0	7.0	0.252	8.822
2020-05-12	0.0	7.0	0.241	9.063
2020-05-13	0.0	7.0	0.231	9.294
2020-05-14	0.0	7.0	0.22	9.514
2020-05-15	0.0	7.0	0.21	9.724
2020-05-16	0.0	7.0	0.2	9.924
2020-05-17	0.0	7.0	0.191	10.115
2020-05-18	0.0	7.0	0.181	10.296
2020-05-19	0.0	7.0	0.172	10.468
2020-05-20	0.0	7.0	0.163	10.631
2020-05-21	0.0	7.0	0.155	10.786
2020-05-22	0.0	7.0	0.147	10.933
2020-05-23	0.0	7.0	0.139	11.072
2020-05-24	0.0	7.0	0.132	11.204
2020-05-25	0.0	7.0	0.125	11.329
2020-05-26	0.0	7.0	0.118	11.447
2020-05-27	0.0	7.0	0.111	11.558
2020-05-28	0.0	7.0	0.105	11.663
2020-05-29	0.0	7.0	0.098	11.761
2020-05-30	0.0	7.0	0.091	11.852
2020-05-31	0.0	7.0	0.084	11.936
2020-06-01	0.0	7.0	0.078	12.014
2020-06-02	0.0	7.0	0.073	12.087
2020-06-03	0.0	7.0	0.068	12.155
2020-06-04	0.0	7.0	0.064	12.219
2020-06-05	0.0	7.0	0.061	12.28
2020-06-06	0.0	7.0	0.058	12.338
2020-06-07	0.0	7.0	0.054	12.392
2020-06-08	0.0	7.0	0.051	12.443
2020-06-09	0.0	7.0	0.048	12.491
2020-06-10	0.0	7.0	0.045	12.536
2020-06-11	0.0	7.0	0.041	12.577
2020-06-12	0.0	7.0	0.039	12.616
2020-06-13	0.0	7.0	0.036	12.652
2020-06-14	0.0	7.0	0.034	12.686
2020-06-15	0.0	7.0	0.032	12.718
2020-06-16	0.0	7.0	0.03	12.748
2020-06-17	0.0	7.0	0.028	12.776
2020-06-18	0.0	7.0	0.026	12.802
2020-06-19	0.0	7.0	0.024	12.826
2020-06-20	0.0	7.0	0.022	12.848
2020-06-21	0.0	7.0	0.02	12.868
2020-06-22	0.0	7.0	0.018	12.886
2020-06-23	0.0	7.0	0.017	12.903
2020-06-24	0.0	7.0	0.015	12.918
2020-06-25	0.0	7.0	0.013	12.931
2020-06-26	0.0	7.0	0.012	12.943
2020-06-27	0.0	7.0	0.011	12.954
2020-06-28	0.0	7.0	0.009	12.963
2020-06-29	0.0	7.0	0.008	12.971
2020-06-30	0.0	7.0	0.007	12.978
2020-07-01	0.0	7.0	0.006	12.984
2020-07-02	0.0	7.0	0.004	12.988
2020-07-03	0.0	7.0	0.003	12.991
2020-07-04	0.0	7.0	0.002	12.993
2020-07-05	0.0	7.0	0.0	12.993
2020-07-06	0.0	7.0	0.0	12.993
2020-07-07	0.0	7.0	0.0	12.993
2020-07-08	0.0	7.0	0.0	12.993
2020-07-09	0.0	7.0	0.0	12.993
2020-07-10	0.0	7.0	0.0	12.993
2020-07-11	0.0	7.0	0.0	12.993
2020-07-12	0.0	7.0	0.0	12.993
2020-07-13	0.0	7.0	0.0	12.993
2020-07-14	0.0	7.0	0.0	12.993
2020-07-15	0.0	7.0	0.0	12.993
2020-07-16	0.0	7.0	0.0	12.993
2020-07-17	0.0	7.0	0.0	12.993
2020-07-18	0.0	7.0	0.0	12.993
2020-07-19	0.0	7.0	0.0	12.993
2020-07-20	0.0	7.0	0.0	12.993
2020-07-21	0.0	7.0	0.0	12.993
2020-07-22	0.0	7.0	0.0	12.993
2020-07-23	0.0	7.0	0.0	12.993
2020-07-24	0.0	7.0	0.0	12.993
2020-07-25	0.0	7.0	0.0	12.993
2020-07-26	0.0	7.0	0.0	12.993
2020-07-27	0.0	7.0	0.0	12.993
2020-07-28	0.0	7.0	0.0	12.993
2020-07-29	0.0	7.0	0.0	12.993
2020-07-30	0.0	7.0	0.0	12.993
2020-07-31	0.0	7.0	0.0	12.993
2020-08-01	0.0	7.0	0.0	12.993
2020-08-02	0.0	7.0	0.0	12.993
2020-08-03	0.0	7.0	0.0	12.993
2020-08-04	0.0	7.0	0.0	12.993
2020-08-05	0.0	7.0	0.0	12.993
2020-08-06	0.0	7.0	0.0	12.993
2020-08-07	0.0	7.0	0.0	12.993
2020-08-08	0.0	7.0	0.0	12.993
2020-08-09	0.0	7.0	0.0	12.993
2020-08-10	0.0	7.0	0.0	12.993
2020-08-11	0.0	7.0	0.0	12.993
2020-08-12	0.0	7.0	0.0	12.993
2020-08-13	0.0	7.0	0.0	12.993
2020-08-14	0.0	7.0	0.0	12.993
2020-08-15	0.0	7.0	0.0	12.993
2020-08-16	0.0	7.0	0.0	12.993
2020-08-17	0.0	7.0	0.0	12.993
2020-08-18	0.0	7.0	0.0	12.993
2020-08-19	0.0	7.0	0.0	12.993
2020-08-20	0.0	7.0	0.0	12.993
2020-08-21	0.0	7.0	0.0	12.993
2020-08-22	0.0	7.0	0.0	12.993
2020-08-23	0.0	7.0	0.0	12.993
2020-08-24	0.0	7.0	0.0	12.993
2020-08-25	0.0	7.0	0.0	12.993
2020-08-26	0.0	7.0	0.0	12.993
2020-08-27	0.0	7.0	0.0	12.993
2020-08-28	0.0	7.0	0.0	12.993
2020-08-29	0.0	7.0	0.0	12.993
