Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change	Tests	Tests_per_capita
Turkey	18135	356	415	17364	2.203e-4	4.32e-6	118666.666667	54769.2307692	35600	0.00144	6.64615384615e-4	4.32e-4	2456	79	14.3	25.4	125556	0.00151
Italy	115242	13915	18278	83049	0.00190699	2.3026e-4	4638333.33333	2140769.23077	1391500	0.0767533333333	0.0354246153846	0.023026	4668	760	-2.4	4.5	581232	0.009636
Czech Republic	3858	44	67	3747	3.6308e-4	4.14e-6	14666.6666667	6769.23076923	4400	0.00138	6.36923076923e-4	4.14e-4	350	5	75	-37.5	67281	0.006318
Monaco	60	1	2	57	0.00155111	2.585e-5	333.333333333	153.846153846	100	0.00861666666667	0.00397692307692	0.002585	5	0	66.7	100	NA	NA
Lithuania	649	9	7	633	2.3266e-4	3.23e-6	3000	1384.61538462	900	0.00107666666667	4.96923076923e-4	3.23e-4	68	1	54.5	100	15635	0.005595
Luxembourg	2487	30	80	2377	0.00409229	4.936e-5	10000	4615.38461538	3000	0.0164533333333	0.00759384615385	0.004936	168	1	19.1	-83.3	NA	NA
France	59929	5398	12548	41983	8.9463e-4	8.058e-5	1799333.33333	830461.538462	539800	0.02686	0.0123969230769	0.008058	2180	1355	-55.7	165.2	224254	0.003346
Andorra	428	15	10	403	0.00555801	1.9479e-4	5000	2307.69230769	1500	0.06493	0.0299676923077	0.019479	38	1	171.4	-50	NA	NA
Switzerland	18827	536	4013	14278	0.00221064	6.294e-5	178666.666667	82461.5384615	53600	0.02098	0.00968307692308	0.006294	1059	48	-8.9	-12.7	139330	0.016258
Georgia	134	0	26	108	3.592e-5	0	670	268	167.5	1.796e-4	7.184e-5	4.49e-5	17	0	142.9	100	NA	NA
Slovakia	426	1	5	420	7.821e-5	1.8e-7	333.333333333	153.846153846	100	6e-5	2.76923076923e-5	1.8e-5	26	0	-29.7	-100	NA	NA
