Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Schoolcraft	0.079	3.33	9.84e-06	0.0004128
Eaton	0.0	1.701	0.0	1.549e-05
Delta	0.0	0.033	0.0	9.1e-07
Wayne	4.673	3096.389	2.66e-06	0.00176544
Wexford	0.0	0.332	0.0	9.91e-06
Roscommon	0.256	9.429	1.073e-05	0.00039478
Antrim	0.109	4.402	4.68e-06	0.00018839
Saginaw	7.928	291.67	4.155e-05	0.00152867
Houghton	0.0	0.0	0.0	0.0
Berrien	1.965	72.289	1.275e-05	0.00046898
Alpena	0.0	0.0	0.0	0.0
Van Buren	0.276	10.464	3.66e-06	0.0001387
Macomb	41.345	1884.358	4.726e-05	0.00215415
Lapeer	3.231	120.672	3.671e-05	0.00137084
Kalkaska	0.178	6.654	1e-05	0.0003733
Branch	0.565	22.742	1.295e-05	0.00052135
Ogemaw	0.044	1.674	2.08e-06	7.991e-05
Tuscola	1.188	43.688	2.261e-05	0.00083189
Allegan	0.0	0.0	0.0	0.0
Mecosta	0.239	9.208	5.5e-06	0.00021146
Grand Traverse	0.0	0.372	0.0	4.01e-06
Kalamazoo	0.943	42.889	3.56e-06	0.00016192
Sanilac	0.391	14.825	9.5e-06	0.00035998
Manistee	0.219	8.166	8.91e-06	0.00033292
Cass	0.196	7.534	3.79e-06	0.00014586
Missaukee	0.327	12.557	2.161e-05	0.00083085
Ontonagon	0.0	0.0	0.0	0.0
Bay	1.452	53.431	1.398e-05	0.00051414
Hillsdale	1.774	66.234	3.877e-05	0.00144776
Muskegon	1.546	56.888	8.91e-06	0.00032772
Monroe	4.554	167.522	3.027e-05	0.00111355
Gratiot	0.103	4.012	2.53e-06	9.883e-05
Chippewa	-0.008	-0.302	-2.2e-07	-8.06e-06
Dickinson	0.055	2.201	2.15e-06	8.671e-05
Washtenaw	10.449	384.389	2.817e-05	0.00103619
Isabella	1.344	50.205	1.905e-05	0.0007115
Livingston	4.178	153.693	2.185e-05	0.00080373
Mackinac	0.068	2.799	6.32e-06	0.00025944
Marquette	0.0	0.28	0.0	4.21e-06
Oscoda	0.091	3.668	1.101e-05	0.00044323
Lenawee	0.736	27.905	7.49e-06	0.00028398
Benzie	0.0	0.0	0.0	0.0
Cheboygan	0.0	0.0	0.0	0.0
Iosco	0.0	0.0	0.0	0.0
Kent	6.04	222.21	9.24e-06	0.00033988
Emmet	0.521	19.172	1.565e-05	0.00057561
Ionia	0.305	11.72	4.75e-06	0.00018252
Midland	0.683	25.144	8.21e-06	0.00030218
Calhoun	1.743	64.117	1.296e-05	0.00047675
Gladwin	0.0	0.008	0.0	3.2e-07
Oceana	0.0	0.0	0.0	0.0
Lake	0.0	0.0	0.0	0.0
Unassigned	-21.35	-785.435	N/A	N/A
Osceola	0.039	1.536	1.66e-06	6.58e-05
Gogebic	0.041	1.605	2.73e-06	0.00010631
Mason	0.0	0.0	0.0	0.0
Shiawassee	0.718	27.625	1.054e-05	0.0004051
Barry	0.0	0.075	0.0	1.23e-06
Montcalm	0.377	14.725	5.9e-06	0.00023019
Leelanau	0.145	5.343	6.67e-06	0.0002455
Ingham	4.494	165.322	1.535e-05	0.00056475
Charlevoix	0.118	5.4	4.52e-06	0.00020576
Arenac	0.073	2.934	4.85e-06	0.0001951
Clare	0.103	3.772	3.33e-06	0.00012263
Luce	0.0	0.0	0.0	0.0
Otsego	0.393	14.458	1.593e-05	0.00058617
Out of MI	0.458	59.631	N/A	N/A
Ottawa	1.307	48.088	4.5e-06	0.00016554
Huron	0.062	2.407	1.98e-06	7.724e-05
Clinton	2.119	77.946	2.671e-05	0.00098253
Crawford	0.288	11.234	2.071e-05	0.00080816
Presque Isle	0.617	24.073	4.844e-05	0.00188988
Menominee	0.0	0.0	0.0	0.0
Newaygo	0.12	4.4	2.45e-06	9e-05
Saint Joseph	0.383	15.406	6.27e-06	0.00025238
Genesee	23.435	862.124	5.759e-05	0.0021188
Oakland	102.06	3754.626	8.105e-05	0.00298175
Saint Clair	5.861	215.61	3.678e-05	0.00135317
Jackson	3.896	143.321	2.453e-05	0.00090239
