Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Tests	Tests_per_capita
Madagascar	23	0	0	23	8.8e-7	0	115	46	28.75	4.4e-6	1.76e-6	1.1e-6	4	0	NA	NA
Swaziland	6	0	0	6	5.28e-6	0	30	12	7.5	2.64e-5	1.056e-5	6.6e-6	2	0	NA	NA
Liberia	3	0	0	3	6.2e-7	0	15	6	3.75	3.1e-6	1.24e-6	7.75e-7	0	0	NA	NA
Sudan	3	1	0	2	7e-8	2e-8	333.333333333	153.846153846	100	6.66666666667e-6	3.07692307692e-6	2e-6	0	0	NA	NA
Guinea	4	0	0	4	3.2e-7	0	20	8	5	1.6e-6	6.4e-7	4e-7	0	0	NA	NA
United Republic of Tanzania	13	0	0	13	2.3e-7	0	65	26	16.25	1.15e-6	4.6e-7	2.875e-7	1	0	NA	NA
Republic of the Congo	4	0	0	4	7.6e-7	0	20	8	5	3.8e-6	1.52e-6	9.5e-7	0	0	NA	NA
Democratic Republic of the Congo	51	3	0	48	6.1e-7	4e-8	1000	461.538461538	300	1.33333333333e-5	6.15384615385e-6	4e-6	3	1	NA	NA
Rwanda	50	0	0	50	4.06e-6	0	250	100	62.5	2.03e-5	8.12e-6	5.075e-6	9	0	NA	NA
Somalia	2	0	0	2	1.3e-7	0	10	4	2.5	6.5e-7	2.6e-7	1.625e-7	1	0	NA	NA
Ivory Coast	96	0	3	93	3.83e-6	0	480	192	120	1.915e-5	7.66e-6	4.7875e-6	16	0	NA	NA
Nigeria	65	1	2	62	3.3e-7	1e-8	333.333333333	153.846153846	100	3.33333333333e-6	1.53846153846e-6	1e-6	14	0	NA	NA
Cameroon	75	1	2	72	2.97e-6	4e-8	333.333333333	153.846153846	100	1.33333333333e-5	6.15384615385e-6	4e-6	0	0	NA	NA
Burkina Faso	152	7	10	135	7.7e-6	3.5e-7	2333.33333333	1076.92307692	700	1.16666666667e-4	5.38461538462e-5	3.5e-5	6	3	NA	NA
Benin	6	0	0	6	5.2e-7	0	30	12	7.5	2.6e-6	1.04e-6	6.5e-7	0	0	NA	NA
Ghana	132	4	1	127	4.43e-6	1.3e-7	1333.33333333	615.384615385	400	4.33333333333e-5	2e-5	1.3e-5	39	0	NA	NA
Algeria	367	25	29	313	8.69e-6	5.9e-7	8333.33333333	3846.15384615	2500	1.96666666667e-4	9.07692307692e-5	5.9e-5	65	4	NA	NA
Zambia	16	0	0	16	9.2e-7	0	80	32	20	4.6e-6	1.84e-6	1.15e-6	4	0	NA	NA
Cape Verde	4	1	0	3	7.36e-6	1.84e-6	333.333333333	153.846153846	100	6.13333333333e-4	2.83076923077e-4	1.84e-4	0	0	NA	NA
Togo	23	0	1	22	2.92e-6	0	115	46	28.75	1.46e-5	5.84e-6	3.65e-6	0	0	NA	NA
Zimbabwe	3	1	0	2	2.1e-7	7e-8	333.333333333	153.846153846	100	2.33333333333e-5	1.07692307692e-5	7e-6	0	0	NA	NA
Senegal	105	0	9	96	6.62e-6	0	525	210	131.25	3.31e-5	1.324e-5	8.275e-6	6	0	NA	NA
Eritrea	6	0	0	6	1.34e-6	0	30	12	7.5	6.7e-6	2.68e-6	1.675e-6	2	0	NA	NA
Libya	1	0	0	1	1.5e-7	0	5	2	1.25	7.5e-7	3e-7	1.875e-7	0	0	NA	NA
Gambia	3	1	0	2	1.32e-6	4.4e-7	333.333333333	153.846153846	100	1.46666666667e-4	6.76923076923e-5	4.4e-5	0	0	NA	NA
Central African Republic	3	0	0	3	6.4e-7	0	15	6	3.75	3.2e-6	1.28e-6	8e-7	0	0	NA	NA
Mauritius	81	2	0	79	6.402e-5	1.58e-6	666.666666667	307.692307692	200	5.26666666667e-4	2.43076923077e-4	1.58e-4	33	0	NA	NA
Morocco	275	11	8	256	7.63e-6	3.1e-7	3666.66666667	1692.30769231	1100	1.03333333333e-4	4.76923076923e-5	3.1e-5	50	5	NA	NA
Mauritania	3	0	0	3	6.8e-7	0	15	6	3.75	3.4e-6	1.36e-6	8.5e-7	1	0	NA	NA
Gabon	7	1	0	6	3.3e-6	4.7e-7	333.333333333	153.846153846	100	1.56666666667e-4	7.23076923077e-5	4.7e-5	1	0	NA	NA
Guinea-Bissau	2	0	0	2	1.07e-6	0	10	4	2.5	5.35e-6	2.14e-6	1.3375e-6	0	0	NA	NA
Mali	4	0	0	4	2.1e-7	0	20	8	5	1.05e-6	4.2e-7	2.625e-7	2	0	NA	NA
Namibia	8	0	2	6	3.27e-6	0	40	16	10	1.635e-5	6.54e-6	4.0875e-6	1	0	NA	NA
Seychelles	7	0	0	7	7.234e-5	0	35	14	8.75	3.617e-4	1.4468e-4	9.0425e-5	0	0	NA	NA
Angola	4	0	0	4	1.3e-7	0	20	8	5	6.5e-7	2.6e-7	1.625e-7	1	0	NA	NA
Chad	3	0	0	3	1.9e-7	0	15	6	3.75	9.5e-7	3.8e-7	2.375e-7	0	0	NA	NA
Equatorial Guinea	12	0	0	12	9.17e-6	0	60	24	15	4.585e-5	1.834e-5	1.14625e-5	3	0	NA	NA
Egypt	495	24	102	369	5.03e-6	2.4e-7	8000	3692.30769231	2400	8e-5	3.69230769231e-5	2.4e-5	39	3	NA	NA
South Africa	927	0	12	915	1.604e-5	0	4635	1854	1158.75	8.02e-5	3.208e-5	2.005e-5	218	0	NA	NA
Tunisia	197	6	2	189	1.703e-5	5.2e-7	2000	923.076923077	600	1.73333333333e-4	8e-5	5.2e-5	24	1	NA	NA
Djibouti	11	0	0	11	1.147e-5	0	55	22	13.75	5.735e-5	2.294e-5	1.43375e-5	0	0	NA	NA
Mozambique	7	0	0	7	2.4e-7	0	35	14	8.75	1.2e-6	4.8e-7	3e-7	2	0	NA	NA
Uganda	14	0	0	14	3.3e-7	0	70	28	17.5	1.65e-6	6.6e-7	4.125e-7	0	0	NA	NA
Ethiopia	12	0	0	12	1.1e-7	0	60	24	15	5.5e-7	2.2e-7	1.375e-7	0	0	NA	NA
Kenya	31	1	1	29	6e-7	2e-8	333.333333333	153.846153846	100	6.66666666667e-6	3.07692307692e-6	2e-6	3	1	NA	NA
Niger	10	1	0	9	4.5e-7	4e-8	333.333333333	153.846153846	100	1.33333333333e-5	6.15384615385e-6	4e-6	3	0	NA	NA
