Date	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-03-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-17	45.119	1.37e-06	45.119	1.37e-06	0.271	1e-08	0.271	1e-08
2020-03-18	45.119	1.37e-06	90.238	2.74e-06	0.271	1e-08	0.541	2e-08
2020-03-19	45.119	1.37e-06	135.356	4.11e-06	0.271	1e-08	0.812	2e-08
2020-03-20	90.238	2.74e-06	225.594	6.85e-06	0.541	2e-08	1.354	4e-08
2020-03-21	225.594	6.85e-06	451.188	1.369e-05	1.354	4e-08	2.707	8e-08
2020-03-22	360.95	1.095e-05	812.138	2.464e-05	2.166	7e-08	4.873	1.5e-07
2020-03-23	496.306	1.506e-05	1308.444	3.97e-05	2.978	9e-08	7.851	2.4e-07
2020-03-24	676.781	2.054e-05	1985.225	6.024e-05	4.061	1.2e-07	11.911	3.6e-07
2020-03-25	1082.85	3.286e-05	3068.076	9.31e-05	6.497	2e-07	18.408	5.6e-07
2020-03-26	1624.275	4.929e-05	4692.351	0.00014238	9.746	3e-07	28.154	8.5e-07
2020-03-27	2255.938	6.845e-05	6948.289	0.00021084	13.536	4.1e-07	41.69	1.27e-06
2020-03-28	2752.244	8.351e-05	9700.533	0.00029435	16.513	5e-07	58.203	1.77e-06
2020-03-29	3113.194	9.447e-05	12813.728	0.00038882	18.679	5.7e-07	76.882	2.33e-06
2020-03-30	3338.788	0.00010131	16152.516	0.00049013	20.033	6.1e-07	96.915	2.94e-06
2020-03-31	3519.263	0.00010679	19671.779	0.00059692	21.116	6.4e-07	118.031	3.58e-06
2020-04-01	3564.382	0.00010816	23236.161	0.00070508	21.386	6.5e-07	139.417	4.23e-06
2020-04-02	3609.501	0.00010953	26845.662	0.00081461	21.657	6.6e-07	161.074	4.89e-06
2020-04-03	3654.619	0.0001109	30500.281	0.0009255	21.928	6.7e-07	183.002	5.55e-06
2020-04-04	3609.501	0.00010953	34109.782	0.00103503	21.657	6.6e-07	204.659	6.21e-06
2020-04-05	3564.382	0.00010816	37674.164	0.00114319	21.386	6.5e-07	226.045	6.86e-06
2020-04-06	3519.263	0.00010679	41193.427	0.00124998	21.116	6.4e-07	247.161	7.5e-06
2020-04-07	3293.669	9.994e-05	44487.097	0.00134992	19.762	6e-07	266.923	8.1e-06
2020-04-08	3203.432	9.721e-05	47690.528	0.00144712	19.221	5.8e-07	286.143	8.68e-06
2020-04-09	3022.957	9.173e-05	50713.485	0.00153885	18.138	5.5e-07	304.281	9.23e-06
2020-04-10	2616.888	7.941e-05	53330.373	0.00161826	15.701	4.8e-07	319.982	9.71e-06
2020-04-11	2255.938	6.845e-05	55586.311	0.00168671	13.536	4.1e-07	333.518	1.012e-05
2020-04-12	1940.107	5.887e-05	57526.418	0.00174558	11.641	3.5e-07	345.159	1.047e-05
2020-04-13	1669.394	5.066e-05	59195.812	0.00179624	10.016	3e-07	355.175	1.078e-05
2020-04-14	1398.682	4.244e-05	60594.494	0.00183868	8.392	2.5e-07	363.567	1.103e-05
2020-04-15	1127.969	3.423e-05	61722.463	0.00187291	6.768	2.1e-07	370.335	1.124e-05
2020-04-16	902.375	2.738e-05	62624.838	0.00190029	5.414	1.6e-07	375.749	1.14e-05
2020-04-17	767.019	2.327e-05	63391.857	0.00192357	4.602	1.4e-07	380.351	1.154e-05
2020-04-18	676.781	2.054e-05	64068.638	0.0019441	4.061	1.2e-07	384.412	1.166e-05
2020-04-19	586.544	1.78e-05	64655.182	0.0019619	3.519	1.1e-07	387.931	1.177e-05
2020-04-20	496.306	1.506e-05	65151.488	0.00197696	2.978	9e-08	390.909	1.186e-05
2020-04-21	406.069	1.232e-05	65557.557	0.00198928	2.436	7e-08	393.345	1.194e-05
2020-04-22	315.831	9.58e-06	65873.388	0.00199886	1.895	6e-08	395.24	1.199e-05
2020-04-23	225.594	6.85e-06	66098.982	0.00200571	1.354	4e-08	396.594	1.203e-05
2020-04-24	180.475	5.48e-06	66279.457	0.00201119	1.083	3e-08	397.677	1.207e-05
2020-04-25	135.356	4.11e-06	66414.813	0.00201529	0.812	2e-08	398.489	1.209e-05
2020-04-26	90.238	2.74e-06	66505.051	0.00201803	0.541	2e-08	399.03	1.211e-05
2020-04-27	45.119	1.37e-06	66550.17	0.0020194	0.271	1e-08	399.301	1.212e-05
2020-04-28	66550.17	0.0020194	133100.34	0.0040388	399.301	1.212e-05	798.602	2.423e-05
