Date	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-02-02	4.136	2.7e-07	4.136	2.7e-07	0.0	0.0	0.0	0.0
2020-02-03	8.273	5.3e-07	12.409	8e-07	0.0	0.0	0.0	0.0
2020-02-04	16.545	1.07e-06	28.954	1.87e-06	0.0	0.0	0.0	0.0
2020-02-05	33.09	2.14e-06	62.045	4.01e-06	0.0	0.0	0.0	0.0
2020-02-06	57.495	3.71e-06	119.539	7.72e-06	0.0	0.0	0.0	0.0
2020-02-07	114.989	7.43e-06	234.528	1.515e-05	0.0	0.0	0.0	0.0
2020-02-08	172.484	1.114e-05	407.012	2.63e-05	0.0	0.0	0.0	0.0
2020-02-09	344.967	2.229e-05	751.98	4.858e-05	0.0	0.0	0.0	0.0
2020-02-10	574.946	3.715e-05	1326.925	8.573e-05	0.0	0.0	0.0	0.0
2020-02-11	862.419	5.572e-05	2189.344	0.00014145	0.0	0.0	0.0	0.0
2020-02-12	1149.892	7.429e-05	3339.236	0.00021574	0.025	0.0	0.025	0.0
2020-02-13	1437.365	9.287e-05	4776.6	0.00030861	0.05	0.0	0.074	0.0
2020-02-14	1724.837	0.00011144	6501.438	0.00042005	0.099	1e-08	0.174	1e-08
2020-02-15	2012.31	0.00013001	8513.748	0.00055006	0.199	1e-08	0.372	2e-08
2020-02-16	2414.772	0.00015602	10928.521	0.00070608	0.345	2e-08	0.717	5e-08
2020-02-17	2874.729	0.00018573	13803.25	0.00089181	0.69	4e-08	1.407	9e-08
2020-02-18	3449.675	0.00022288	17252.925	0.00111469	1.035	7e-08	2.442	1.6e-07
2020-02-19	4139.61	0.00026746	21392.535	0.00138215	2.07	1.3e-07	4.512	2.9e-07
2020-02-20	5346.996	0.00034546	26739.531	0.00172761	3.45	2.2e-07	7.962	5.1e-07
2020-02-21	7531.79	0.00048662	34271.321	0.00221423	5.175	3.3e-07	13.136	8.5e-07
2020-02-22	10866.476	0.00070207	45137.797	0.0029163	6.899	4.5e-07	20.035	1.29e-06
2020-02-23	13403.904	0.00086601	58541.701	0.00378231	8.624	5.6e-07	28.66	1.85e-06
2020-02-24	16780.752	0.00108419	75322.453	0.0048665	10.349	6.7e-07	39.009	2.52e-06
2020-02-25	20433.575	0.00132019	95756.028	0.00618669	12.074	7.8e-07	51.082	3.3e-06
2020-02-26	24829.994	0.00160424	120586.022	0.00779093	14.489	9.4e-07	65.571	4.24e-06
2020-02-27	29885.684	0.00193088	150471.706	0.00972181	17.248	1.11e-06	82.819	5.35e-06
2020-02-28	36578.054	0.00236327	187049.76	0.01208507	20.698	1.34e-06	103.518	6.69e-06
2020-02-29	45175.41	0.00291873	232225.17	0.01500381	24.838	1.6e-06	128.355	8.29e-06
2020-03-01	55570.431	0.00359034	287795.601	0.01859415	32.082	2.07e-06	160.437	1.037e-05
2020-03-02	66912.196	0.00432312	354707.796	0.02291727	45.191	2.92e-06	205.628	1.329e-05
2020-03-03	80224.108	0.00518319	434931.904	0.02810046	65.199	4.21e-06	270.827	1.75e-05
2020-03-04	94225.955	0.00608783	529157.86	0.03418829	80.423	5.2e-06	351.25	2.269e-05
2020-03-05	109554.011	0.00707816	638711.871	0.04126645	100.685	6.51e-06	451.935	2.92e-05
2020-03-06	126664.399	0.00818364	765376.27	0.0494501	122.601	7.92e-06	574.536	3.712e-05
2020-03-07	146132.065	0.00944143	911508.335	0.05889152	148.98	9.63e-06	723.516	4.675e-05
2020-03-08	164971.123	0.0106586	1076479.458	0.06955012	179.314	1.159e-05	902.83	5.833e-05
2020-03-09	180709.307	0.01167542	1257188.764	0.08122555	219.468	1.418e-05	1122.299	7.251e-05
2020-03-10	195071.454	0.01260335	1452260.218	0.09382889	271.052	1.751e-05	1393.351	9.002e-05
2020-03-11	211790.878	0.01368357	1664051.097	0.10751246	333.423	2.154e-05	1726.774	0.00011156
2020-03-12	233474.002	0.01508449	1897525.099	0.12259695	401.473	2.594e-05	2128.247	0.0001375
2020-03-13	259446.222	0.01676253	2156971.32	0.13935948	481.345	3.11e-05	2609.591	0.0001686
2020-03-14	286211.866	0.01849183	2443183.187	0.1578513	565.356	3.653e-05	3174.947	0.00020513
2020-03-15	298971.831	0.01931623	2742155.018	0.17716754	657.324	4.247e-05	3832.271	0.0002476
2020-03-16	310470.747	0.02005916	3052625.765	0.1972267	759.986	4.91e-05	4592.258	0.0002967
2020-03-17	316220.206	0.02043063	3368845.97	0.21765733	876.792	5.665e-05	5469.05	0.00035335
2020-03-18	321969.664	0.0208021	3690815.635	0.23845943	989.827	6.395e-05	6458.877	0.0004173
2020-03-19	321969.664	0.0208021	4012785.299	0.25926152	1084.256	7.005e-05	7543.133	0.00048735
2020-03-20	319094.935	0.02061636	4331880.233	0.27987789	1170.429	7.562e-05	8713.561	0.00056297
2020-03-21	316220.206	0.02043063	4648100.439	0.30030852	1270.745	8.21e-05	9984.307	0.00064507
2020-03-22	313345.476	0.0202449	4961445.915	0.32055341	1400.844	9.051e-05	11385.151	0.00073558
2020-03-23	307596.018	0.01987343	5269041.934	0.34042684	1556.677	0.00010058	12941.828	0.00083616
2020-03-24	301846.56	0.01950197	5570888.494	0.35992881	1717.271	0.00011095	14659.099	0.00094711
2020-03-25	296097.102	0.0191305	5866985.595	0.37905931	1793.831	0.0001159	16452.93	0.00106301
2020-03-26	287472.914	0.0185733	6154458.51	0.39763261	1862.824	0.00012035	18315.755	0.00118336
2020-03-27	278848.727	0.0180161	6433307.236	0.41564871	1897.321	0.00012258	20213.076	0.00130594
2020-03-28	270224.539	0.0174589	6703531.776	0.43310761	1931.818	0.00012481	22144.894	0.00143076
2020-03-29	264475.081	0.01708744	6968006.857	0.45019505	1931.818	0.00012481	24076.712	0.00155557
2020-03-30	258725.623	0.01671597	7226732.48	0.46691102	1914.57	0.0001237	25991.281	0.00167927
2020-03-31	252976.165	0.0163445	7479708.644	0.48325552	1897.321	0.00012258	27888.603	0.00180185
2020-04-01	247226.706	0.01597304	7726935.351	0.49922856	1880.073	0.00012147	29768.675	0.00192332
