Date	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-02-02	0.236	2.7e-07	0.236	2.7e-07	0.001	0.0	0.001	0.0
2020-02-03	0.472	5.3e-07	0.708	8e-07	0.003	0.0	0.004	0.0
2020-02-04	0.944	1.07e-06	1.653	1.87e-06	0.006	1e-08	0.01	1e-08
2020-02-05	1.889	2.14e-06	3.542	4.01e-06	0.011	1e-08	0.021	2e-08
2020-02-06	3.282	3.71e-06	6.823	7.72e-06	0.02	2e-08	0.041	5e-08
2020-02-07	6.564	7.43e-06	13.387	1.515e-05	0.039	4e-08	0.08	9e-08
2020-02-08	9.846	1.114e-05	23.233	2.63e-05	0.059	7e-08	0.139	1.6e-07
2020-02-09	19.691	2.229e-05	42.924	4.858e-05	0.118	1.3e-07	0.258	2.9e-07
2020-02-10	32.818	3.715e-05	75.742	8.573e-05	0.197	2.2e-07	0.454	5.1e-07
2020-02-11	49.228	5.572e-05	124.97	0.00014145	0.295	3.3e-07	0.75	8.5e-07
2020-02-12	65.637	7.429e-05	190.606	0.00021574	0.394	4.5e-07	1.144	1.29e-06
2020-02-13	82.046	9.287e-05	272.652	0.00030861	0.492	5.6e-07	1.636	1.85e-06
2020-02-14	98.455	0.00011144	371.108	0.00042005	0.591	6.7e-07	2.227	2.52e-06
2020-02-15	114.864	0.00013001	485.972	0.00055006	0.689	7.8e-07	2.916	3.3e-06
2020-02-16	137.837	0.00015602	623.809	0.00070608	0.827	9.4e-07	3.743	4.24e-06
2020-02-17	164.092	0.00018573	787.901	0.00089181	0.985	1.11e-06	4.727	5.35e-06
2020-02-18	196.91	0.00022288	984.811	0.00111469	1.181	1.34e-06	5.909	6.69e-06
2020-02-19	236.292	0.00026746	1221.104	0.00138215	1.418	1.6e-06	7.327	8.29e-06
2020-02-20	305.211	0.00034546	1526.315	0.00172761	1.831	2.07e-06	9.158	1.037e-05
2020-02-21	429.921	0.00048662	1956.236	0.00221423	2.58	2.92e-06	11.737	1.329e-05
2020-02-22	620.268	0.00070207	2576.503	0.0029163	3.722	4.21e-06	15.459	1.75e-05
2020-02-23	765.106	0.00086601	3341.609	0.00378231	4.591	5.2e-06	20.05	2.269e-05
2020-02-24	957.859	0.00108419	4299.469	0.0048665	5.747	6.51e-06	25.797	2.92e-05
2020-02-25	1166.366	0.00132019	5465.834	0.00618669	6.998	7.92e-06	32.795	3.712e-05
2020-02-26	1417.317	0.00160424	6883.151	0.00779093	8.504	9.63e-06	41.299	4.675e-05
2020-02-27	1705.9	0.00193088	8589.051	0.00972181	10.235	1.159e-05	51.534	5.833e-05
2020-02-28	2087.906	0.00236327	10676.957	0.01208507	12.527	1.418e-05	64.062	7.251e-05
2020-02-29	2578.65	0.00291873	13255.607	0.01500381	15.472	1.751e-05	79.534	9.002e-05
