Name	Confirmed	Deaths	Recovered	Active
Shelby	0	0	0	0
Union	0	0	0	0
Story	1	0	0	0
Montgomery	0	0	0	0
Bremer	0	0	0	0
Wayne	0	0	0	0
Worth	0	0	0	0
Allamakee	6	0	0	0
Fremont	0	0	0	0
Keokuk	0	0	0	0
Black Hawk	3	0	0	0
Adair	1	0	0	0
Hancock	2	0	0	0
Chickasaw	0	0	0	0
Henry	1	0	0	0
Webster	0	0	0	0
Humboldt	0	0	0	0
Sac	0	0	0	0
Buchanan	0	0	0	0
Washington	3	0	0	0
Marion	0	0	0	0
Mahaska	0	0	0	0
Palo Alto	0	0	0	0
Polk	12	0	0	0
Cerro Gordo	2	0	0	0
Jackson	0	0	0	0
Howard	0	0	0	0
Mills	0	0	0	0
Wright	0	0	0	0
Jefferson	0	0	0	0
Butler	0	0	0	0
Wapello	1	0	0	0
Iowa	0	0	0	0
Lee	0	0	0	0
Dubuque	6	0	0	0
Linn	6	0	0	0
Hamilton	0	0	0	0
Pocahontas	0	0	0	0
Jasper	0	0	0	0
Sioux	1	0	0	0
Johnson	35	0	0	0
Greene	0	0	0	0
Clay	0	0	0	0
Davis	0	0	0	0
Pottawattamie	2	0	0	0
Madison	0	0	0	0
Taylor	0	0	0	0
Clinton	0	0	0	0
Winneshiek	1	0	0	0
Warren	0	0	0	0
Muscatine	3	0	0	0
Lyon	0	0	0	0
Cass	0	0	0	0
Dallas	6	0	0	0
Cherokee	0	0	0	0
Clarke	0	0	0	0
Delaware	0	0	0	0
Dickinson	0	0	0	0
Buena Vista	0	0	0	0
Poweshiek	1	0	0	0
Guthrie	0	0	0	0
Fayette	1	0	0	0
Floyd	0	0	0	0
Cedar	0	0	0	0
Emmet	0	0	0	0
Adams	0	0	0	0
Osceola	0	0	0	0
Franklin	0	0	0	0
Ringgold	0	0	0	0
Marshall	0	0	0	0
Carroll	1	0	0	0
O'Brien	0	0	0	0
Harrison	3	0	0	0
Grundy	0	0	0	0
Monona	0	0	0	0
Louisa	0	0	0	0
Kossuth	1	0	0	0
Tama	3	0	0	0
Calhoun	0	0	0	0
Crawford	0	0	0	0
Woodbury	2	0	0	0
Winnebago	0	0	0	0
Van Buren	0	0	0	0
Clayton	0	0	0	0
Decatur	0	0	0	0
Jones	0	0	0	0
Hardin	0	0	0	0
Lucas	0	0	0	0
Benton	0	0	0	0
Plymouth	0	0	0	0
Boone	0	0	0	0
Audubon	0	0	0	0
Mitchell	0	0	0	0
Page	0	0	0	0
Ida	0	0	0	0
Appanoose	0	0	0	0
Scott	1	0	0	0
Des Moines	0	0	0	0
Monroe	0	0	0	0
