Adams,65691
Alexander,6060
Bond,16630
Boone,53577
Brown,6556
Bureau,32993
Calhoun,4802
Carroll,14312
Cass,12260
Champaign,209983
Christian,32661
Clark,15596
Clay,13253
Clinton,37639
Coles,50885
Cook,5180493
Crawford,18807
Cumberland,10808
De Kalb,104143
Dewitt,15769
Douglas,19479
Dupage,928589
Edgar,17360
Edwards,6392
Effingham,34208
Fayette,21416
Ford,13264
Franklin,38701
Fulton,34844
Gallatin,5058
Greene,13044
Grundy,50972
Hamilton,8163
Hancock,17844
Hardin,3910
Henderson,6709
Henry,49090
Iroquois,27604
Jackson,57419
Jasper,9611
Jefferson,37820
Jersey,21847
Jo Daviess,21366
Johnson,12456
Kane,534216
Kankakee,110024
Kendall,127915
Knox,50112
Lake,700832
La Salle,109430
Lawrence,15765
Lee,34223
Livingston,35761
Logan,28925
McDonough,29955
McHenry,308570
McLean,172828
Macon,104712
Macoupin,45313
Madison,264461
Marion,37620
Marshall,11534
Mason,13565
Massac,14080
Menard,12288
Mercer,15601
Monroe,34335
Montgomery,28601
Morgan,33976
Moultrie,14717
Ogle,50923
Peoria,180621
Perry,21174
Piatt,16396
Pike,15611
Pope,4212
Pulaski,5463
Putnam,5740
Randolph,32106
Richland,15763
Rock Island,143477
Saint Clair,261059
Saline,23906
Sangamon,195348
Schuyler,6907
Scott,4926
Shelby,21741
Stark,5427
Stephenson,44753
Tazewell,132328
Union,16841
Vermilion,76806
Wabash,11549
Warren,17032
Washington,13995
Wayne,16332
White,13665
Whiteside,55626
Will,692310
Williamson,67056
Winnebago,284081
Woodford,38463
