Appling,18507
Atkinson,8297
Bacon,11185
Baker,3092
Baldwin,44823
Banks,18988
Barrow,80809
Bartow,106408
Ben Hill,16787
Berrien,19252
Bibb,153095
Bleckley,12838
Brantley,18897
Brooks,15513
Bryan,38109
Bulloch,77296
Burke,22423
Butts,24193
Calhoun,6352
Camden,53677
Candler,10836
Carroll,118121
Catoosa,67420
Charlton,12968
Chatham,289195
Chattahoochee,10684
Chattooga,24790
Cherokee,254149
Clarke,127330
Clay,2887
Clayton,289615
Clinch,6648
Cobb,756865
Coffee,43093
Colquitt,45592
Columbia,154291
Cook,17162
Coweta,145864
Crawford,12318
Crisp,22601
Dade,16226
Dawson,25083
Decatur,26575
De Kalb,756558
Dodge,20705
Dooly,13706
Dougherty,91243
Douglas,145331
Early,10247
Echols,4000
Effingham,62190
Elbert,19120
Emanuel,22612
Evans,10721
Fannin,25964
Fayette,113459
Floyd,97927
Forsyth,236612
Franklin,23023
Fulton,1050114
Gilmer,30816
Glascock,2995
Glynn,85219
Gordon,57685
Grady,24748
Greene,17698
Gwinnett,927781
Habersham,45388
Hall,202148
Hancock,8348
Haralson,29533
Harris,34475
Hart,26099
Heard,11879
Henry,230220
Houston,155469
Irwin,9398
Jackson,70422
Jasper,14040
Jeff Davis,15029
Jefferson,15430
Jenkins,8683
Johnson,9708
Jones,28616
Lamar,19000
Lanier,10340
Laurens,47325
Lee,29764
Liberty,61497
Lincoln,7915
Long,18998
Lowndes,116321
Lumpkin,32955
McDuffie,21531
McIntosh,14340
Macon,13143
Madison,29650
Marion,8351
Meriwether,21068
Miller,5686
Mitchell,22192
Monroe,27520
Montgomery,9193
Morgan,18853
Murray,39921
Muscogee,194160
Newton,109541
Oconee,39272
Oglethorpe,15054
Paulding,164044
Peach,27297
Pickens,31980
Pierce,19389
Pike,18634
Polk,42470
Pulaski,11069
Putnam,21809
Quitman,2279
Rabun,16867
Randolph,6833
Richmond,201554
Rockdale,90594
Schley,5236
Screven,13938
Seminole,8315
Spalding,66100
Stephens,26035
Stewart,6199
Sumter,29733
Talbot,6272
Taliaferro,1608
Tattnall,25391
Taylor,8039
Telfair,15876
Terrell,8611
Thomas,44448
Tift,40571
Toombs,26887
Towns,11852
Treutlen,6809
Troup,70034
Turner,7912
Twiggs,8188
Union,24001
Upson,26215
Walker,69410
Walton,93503
Ware,35680
Warren,5251
Washington,20386
Wayne,29808
Webster,2611
Wheeler,7879
White,29970
Whitfield,104062
Wilcox,8812
Wilkes,9876
Wilkinson,9036
Worth,20299
