Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Hillsborough	0.501	378.5	1.21e-06	0.00091151
Coos	0.0	0.0	0.0	0.0
Strafford	0.0	0.734	0.0	5.64e-06
Belknap	0.035	24.608	5.8e-07	0.00040327
Merrimack	0.122	85.482	8.1e-07	0.00056561
Unassigned	0.998	650.309	N/A	N/A
Rockingham	0.404	282.348	1.31e-06	0.00091323
Cheshire	0.026	18.132	3.4e-07	0.00023705
Carroll	0.03	20.723	6.1e-07	0.00042483
Sullivan	0.006	3.886	1.3e-07	9.006e-05
Grafton	0.0	1.589	0.0	1.769e-05
