Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change
Yalobusha	7	0	0	0	5.6488e-4	0	35	14	8.75	0.0028244	0.00112976	7.061e-4	0	0	-100	0
Panola	8	1	0	0	2.3407e-4	2.926e-5	333.333333333	153.846153846	100	0.00975333333333	0.00450153846154	0.002926	0	0	100	0
Jackson	75	1	0	0	5.2346e-4	6.98e-6	333.333333333	153.846153846	100	0.00232666666667	0.00107384615385	6.98e-4	18	0	260	0
Harrison	69	1	0	0	3.339e-4	4.84e-6	333.333333333	153.846153846	100	0.00161333333333	7.44615384615e-4	4.84e-4	16	0	300	0
Sunflower	13	1	0	0	5.0515e-4	3.886e-5	333.333333333	153.846153846	100	0.0129533333333	0.00597846153846	0.003886	1	0	100	0
Leake	7	0	0	0	3.0752e-4	0	35	14	8.75	0.0015376	6.1504e-4	3.844e-4	1	0	0	0
Perry	11	1	0	0	9.2197e-4	8.382e-5	333.333333333	153.846153846	100	0.02794	0.0128953846154	0.008382	5	0	400	0
Leflore	21	1	0	0	7.2617e-4	3.458e-5	333.333333333	153.846153846	100	0.0115266666667	0.00532	0.003458	1	0	100	0
Clarke	4	0	0	0	2.5634e-4	0	20	8	5	0.0012817	5.1268e-4	3.20425e-4	0	0	-100	0
Humphreys	4	1	0	0	4.8444e-4	1.2111e-4	333.333333333	153.846153846	100	0.04037	0.0186323076923	0.012111	0	0	100	0
Calhoun	4	0	0	0	2.7709e-4	0	20	8	5	0.00138545	5.5418e-4	3.463625e-4	0	-1	-100	0
Hinds	139	0	0	0	5.8629e-4	0	695	278	173.75	0.00293145	0.00117258	7.328625e-4	21	0	133.3	0
Bolivar	32	1	0	0	0.00102129	3.192e-5	333.333333333	153.846153846	100	0.01064	0.00491076923077	0.003192	5	0	150	0
Tishomingo	1	0	0	0	5.14e-5	0	5	2	1.25	2.57e-4	1.028e-4	6.425e-5	0	0	100	0
