Anhui,50500510
Tianjin,12938224
Shanghai,23019148
Xizang,	3002166
Nei Mongol,24706321
Gansu,25575254
Hebei,71854202
Hainan,9261518
Yunnan,45966239
Xinjiang Uygur,21813334
Hubei,57237740
Zhejiang,54426891
Heilongjiang,38312224
Jiangxi,44567475
Hong Kong,7061200	
Chongqing,28846170
Shaanxi,37327378
Jiangsu,78659903
Henan,94023567
Guizhou,35806468
Fujian,	36894216
Beijing,19612368
Shandong,100063065
Hunan,65683722
Guangxi,46026629
Qinghai,5626722
Macau,552503
Ningxia Hui,6176900
Sichuan,80418200
Liaoning,43746323
Guangdong,111690000
Jilin,27462297
Shanxi,36500000
