Name	Confirmed	Deaths	Recovered	Active
Anhui	990	6	984	0
Tianjin	174	3	133	38
Shanghai	498	5	338	155
Xizang	1	0	1	0
Nei Mongol	97	1	74	22
Gansu	138	2	125	11
Hebei	321	6	310	5
Hainan	168	6	168	-6
Yunnan	180	2	172	6
Xinjiang Uygur	76	3	73	0
Hubei	67801	3186	62889	1726
Zhejiang	1255	1	1225	29
Heilongjiang	484	13	469	2
Jiangxi	937	1	935	1
Hong Kong	682	4	123	555
Chongqing	579	6	570	3
Shaanxi	253	3	242	8
Jiangsu	645	0	631	14
Henan	1276	22	1251	3
Guizhou	146	2	144	0
Fujian	340	1	295	44
Hunan	1018	4	1014	0
Beijing	577	8	415	154
Shandong	773	7	753	13
Macau	38	0	10	28
Guangxi	254	2	250	2
Qinghai	18	0	18	0
Jilin	98	1	92	5
Sichuan	550	3	536	11
Liaoning	136	2	124	10
Guangdong	1484	8	1351	125
Ningxia Hui	75	0	75	0
Shanxi	136	0	133	3
