Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Tests	Tests_per_capita
Madagascar	3	0	0	3	1.1e-7	0	15	6	3.75	5.5e-7	2.2e-7	1.375e-7	0	0	NA	NA
Ivory Coast	14	0	1	13	5.6e-7	0	70	28	17.5	2.8e-6	1.12e-6	7e-7	0	0	NA	NA
Mauritania	2	0	0	2	4.5e-7	0	10	4	2.5	2.25e-6	9e-7	5.625e-7	0	0	NA	NA
Sudan	2	1	0	1	5e-8	2e-8	333.333333333	153.846153846	100	6.66666666667e-6	3.07692307692e-6	2e-6	0	0	NA	NA
Guinea	2	0	0	2	1.6e-7	0	10	4	2.5	8e-7	3.2e-7	2e-7	0	0	NA	NA
Republic of the Congo	3	0	0	3	5.7e-7	0	15	6	3.75	2.85e-6	1.14e-6	7.125e-7	0	0	NA	NA
Democratic Republic of the Congo	30	1	0	29	3.6e-7	1e-8	333.333333333	153.846153846	100	3.33333333333e-6	1.53846153846e-6	1e-6	7	0	NA	NA
Rwanda	19	0	0	19	1.54e-6	0	95	38	23.75	7.7e-6	3.08e-6	1.925e-6	2	0	NA	NA
Somalia	1	0	0	1	7e-8	0	5	2	1.25	3.5e-7	1.4e-7	8.75e-8	0	0	NA	NA
Swaziland	4	0	0	4	3.52e-6	0	20	8	5	1.76e-5	7.04e-6	4.4e-6	3	0	NA	NA
Nigeria	30	0	2	28	1.5e-7	0	150	60	37.5	7.5e-7	3e-7	1.875e-7	8	0	NA	NA
Cameroon	40	0	2	38	1.59e-6	0	200	80	50	7.95e-6	3.18e-6	1.9875e-6	13	0	NA	NA
Burkina Faso	75	4	5	66	3.8e-6	2e-7	1333.33333333	615.384615385	400	6.66666666667e-5	3.07692307692e-5	2e-5	11	2	NA	NA
Benin	2	0	0	2	1.7e-7	0	10	4	2.5	8.5e-7	3.4e-7	2.125e-7	0	0	NA	NA
Ghana	23	1	0	22	7.7e-7	3e-8	333.333333333	153.846153846	100	1e-5	4.61538461538e-6	3e-6	4	0	NA	NA
Algeria	201	17	65	119	4.76e-6	4e-7	5666.66666667	2615.38461538	1700	1.33333333333e-4	6.15384615385e-5	4e-5	62	2	NA	NA
Zambia	3	0	0	3	1.7e-7	0	15	6	3.75	8.5e-7	3.4e-7	2.125e-7	1	0	NA	NA
Cape Verde	3	0	0	3	5.52e-6	0	15	6	3.75	2.76e-5	1.104e-5	6.9e-6	2	0	NA	NA
Togo	16	0	0	16	2.03e-6	0	80	32	20	1.015e-5	4.06e-6	2.5375e-6	0	0	NA	NA
Eritrea	1	0	0	1	2.2e-7	0	5	2	1.25	1.1e-6	4.4e-7	2.75e-7	0	0	NA	NA
Zimbabwe	3	0	0	3	2.1e-7	0	15	6	3.75	1.05e-6	4.2e-7	2.625e-7	0	0	NA	NA
Djibouti	1	0	0	1	1.04e-6	0	5	2	1.25	5.2e-6	2.08e-6	1.3e-6	0	0	NA	NA
Liberia	3	0	0	3	6.2e-7	0	15	6	3.75	3.1e-6	1.24e-6	7.75e-7	0	0	NA	NA
Gambia	1	0	0	1	4.4e-7	0	5	2	1.25	2.2e-6	8.8e-7	5.5e-7	NA	NA	NA	NA
Central African Republic	3	0	0	3	6.4e-7	0	15	6	3.75	3.2e-6	1.28e-6	8e-7	0	0	NA	NA
Equatorial Guinea	6	0	0	6	4.58e-6	0	30	12	7.5	2.29e-5	9.16e-6	5.725e-6	0	0	NA	NA
Mauritius	28	2	0	26	2.213e-5	1.58e-6	666.666666667	307.692307692	200	5.26666666667e-4	2.43076923077e-4	1.58e-4	14	1	NA	NA
Morocco	115	4	3	108	3.19e-6	1.1e-7	1333.33333333	615.384615385	400	3.66666666667e-5	1.69230769231e-5	1.1e-5	19	1	NA	NA
Gabon	5	1	0	4	2.36e-6	4.7e-7	333.333333333	153.846153846	100	1.56666666667e-4	7.23076923077e-5	4.7e-5	1	0	NA	NA
United Republic of Tanzania	12	0	0	12	2.1e-7	0	60	24	15	1.05e-6	4.2e-7	2.625e-7	6	0	NA	NA
Namibia	3	0	0	3	1.23e-6	0	15	6	3.75	6.15e-6	2.46e-6	1.5375e-6	0	0	NA	NA
Seychelles	7	0	0	7	7.234e-5	0	35	14	8.75	3.617e-4	1.4468e-4	9.0425e-5	0	0	NA	NA
Angola	2	0	0	2	6e-8	0	10	4	2.5	3e-7	1.2e-7	7.5e-8	0	0	NA	NA
Chad	1	0	0	1	6e-8	0	5	2	1.25	3e-7	1.2e-7	7.5e-8	0	0	NA	NA
