Latitude	Longitude	Year
49.2811663	-123.1162367	2011
49.2796864	-123.1075819	2011
49.2811755	-123.1259815	2011
49.2849098	-123.0635398	2011
49.2662086	-123.0955326	2011
49.2812374	-123.1020531	2011
49.2770842	-123.0935802	2011
49.2345089	-123.1476693	2011
49.2586367	-123.1663531	2011
49.2553722	-123.0443118	2011
49.2721712	-123.0733313	2011
49.2714709	-123.0753539	2011
49.2787407	-123.112347	2011
49.2633467	-123.1266818	2011
49.2838562	-123.1065416	2011
49.2290711	-123.1629583	2011
49.2660242	-123.1312446	2011
49.2782443	-123.0364397	2011
49.265709	-123.0840968	2011
49.2804972	-123.131329	2011
49.2583969	-123.0982904	2011
49.2257492	-123.1094354	2011
49.268671	-123.0656692	2011
49.2606532	-123.1315742	2011
49.2613982	-123.0813628	2011
49.2565687	-123.101206	2011
49.2683296	-123.164636	2011
49.2683048	-123.104676	2011
49.2529373	-123.0986772	2011
	 	2011
49.2823937	-123.132165	2011
49.259664	-123.0832625	2011
49.2651618	-123.0929423	2011
49.2577273	-123.1220202	2011
49.2872868	-123.1137298	2011
49.260502	-123.1218318	2011
49.2340687	-123.0270049	2011
49.2567533	-123.0796286	2011
49.2651242	-123.1243445	2011
49.2790704	-123.0520739	2011
49.2812444	-123.1261033	2011
49.2620485	-123.1029993	2011
49.2616304	-123.1336643	2011
49.2695242	-123.1320132	2011
49.2663272	-123.0970052	2011
49.2632512	-123.1176145	2011
49.2764234	-123.1139765	2011
49.2720421	-123.0616844	2011
49.2538987	-123.112715	2011
49.2721712	-123.0733313	2011
49.2693981	-123.0522191	2011
49.2832005	-123.1269446	2011
49.2592742	-123.0985349	2011
49.2824231	-123.1279187	2011
49.2811663	-123.1162367	2011
49.2811663	-123.1162367	2011
49.2832115	-123.104203	2011
49.2729898	-123.063604	2011
49.2480368	-123.1580429	2011
49.2347935	-123.076956	2011
49.2592742	-123.0985349	2011
49.2487021	-123.0966998	2011
49.2555171	-123.0900921	2011
49.289457	-123.132302	2011
49.259686	-123.1316042	2011
49.2271069	-123.1162992	2011
49.2764821	-123.1156081	2011
49.2624739	-123.0890199	2011
49.2261271	-123.1163641	2011
49.2667221	-123.1193256	2011
49.2615935	-123.131537	2011
49.2600183	-123.1504663	2011
49.2565687	-123.101206	2011
49.2535076	-123.1273715	2011
49.260502	-123.1218318	2011
49.2804972	-123.131329	2011
49.2683296	-123.164636	2011
49.2812506	-123.1084226	2011
49.2697258	-123.1391236	2011
49.275519	-123.0998023	2011
49.2820134	-123.1208172	2011
49.2591834	-123.1011078	2011
49.2678017	-123.1175074	2011
49.26577	-123.1664849	2011
