Date	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-01-31	0.018	2.7e-07	0.018	2.7e-07	0.0	0.0	0.0	0.0
2020-02-01	0.036	5.3e-07	0.054	8e-07	0.0	0.0	0.0	0.0
2020-02-02	0.072	1.07e-06	0.125	1.87e-06	0.0	0.0	0.0	0.0
2020-02-03	0.143	2.14e-06	0.269	4.01e-06	0.0	0.0	0.0	0.0
2020-02-04	0.249	3.71e-06	0.518	7.72e-06	0.0	0.0	0.0	0.0
2020-02-05	0.498	7.43e-06	1.016	1.515e-05	0.0	0.0	0.0	0.0
2020-02-06	0.747	1.114e-05	1.763	2.63e-05	0.0	0.0	0.0	0.0
2020-02-07	1.494	2.229e-05	3.258	4.858e-05	0.0	0.0	0.0	0.0
2020-02-08	2.491	3.715e-05	5.748	8.573e-05	0.0	0.0	0.0	0.0
2020-02-09	3.736	5.572e-05	9.485	0.00014145	0.0	0.0	0.0	0.0
2020-02-10	4.982	7.429e-05	14.466	0.00021574	0.0	0.0	0.0	0.0
2020-02-11	6.227	9.287e-05	20.693	0.00030861	0.0	0.0	0.0	0.0
2020-02-12	7.472	0.00011144	28.165	0.00042005	0.0	1e-08	0.001	1e-08
2020-02-13	8.718	0.00013001	36.883	0.00055006	0.001	1e-08	0.002	2e-08
2020-02-14	10.461	0.00015602	47.344	0.00070608	0.001	2e-08	0.003	5e-08
2020-02-15	12.454	0.00018573	59.798	0.00089181	0.003	4e-08	0.006	9e-08
2020-02-16	14.945	0.00022288	74.742	0.00111469	0.004	7e-08	0.011	1.6e-07
2020-02-17	17.933	0.00026746	92.676	0.00138215	0.009	1.3e-07	0.02	2.9e-07
2020-02-18	23.164	0.00034546	115.84	0.00172761	0.015	2.2e-07	0.034	5.1e-07
2020-02-19	32.629	0.00048662	148.469	0.00221423	0.022	3.3e-07	0.057	8.5e-07
2020-02-20	47.075	0.00070207	195.544	0.0029163	0.03	4.5e-07	0.087	1.29e-06
2020-02-21	58.068	0.00086601	253.612	0.00378231	0.037	5.6e-07	0.124	1.85e-06
2020-02-22	72.697	0.00108419	326.308	0.0048665	0.045	6.7e-07	0.169	2.52e-06
2020-02-23	88.521	0.00132019	414.83	0.00618669	0.052	7.8e-07	0.221	3.3e-06
2020-02-24	107.567	0.00160424	522.397	0.00779093	0.063	9.4e-07	0.284	4.24e-06
2020-02-25	129.469	0.00193088	651.867	0.00972181	0.075	1.11e-06	0.359	5.35e-06
2020-02-26	158.462	0.00236327	810.328	0.01208507	0.09	1.34e-06	0.448	6.69e-06
2020-02-27	195.707	0.00291873	1006.035	0.01500381	0.108	1.6e-06	0.556	8.29e-06
2020-02-28	240.74	0.00359034	1246.775	0.01859415	0.139	2.07e-06	0.695	1.037e-05
2020-02-29	289.874	0.00432312	1536.649	0.02291727	0.196	2.92e-06	0.891	1.329e-05
2020-03-01	347.543	0.00518319	1884.192	0.02810046	0.282	4.21e-06	1.173	1.75e-05
2020-03-02	408.201	0.00608783	2292.393	0.03418829	0.348	5.2e-06	1.522	2.269e-05
2020-03-03	474.605	0.00707816	2766.998	0.04126645	0.436	6.51e-06	1.958	2.92e-05
2020-03-04	548.73	0.00818364	3315.728	0.0494501	0.531	7.92e-06	2.489	3.712e-05
2020-03-05	633.067	0.00944143	3948.794	0.05889152	0.645	9.63e-06	3.134	4.675e-05
2020-03-06	714.68	0.0106586	4663.475	0.06955012	0.777	1.159e-05	3.911	5.833e-05
2020-03-07	782.861	0.01167542	5446.335	0.08122555	0.951	1.418e-05	4.862	7.251e-05
2020-03-08	845.08	0.01260335	6291.415	0.09382889	1.174	1.751e-05	6.036	9.002e-05
2020-03-09	917.511	0.01368357	7208.926	0.10751246	1.444	2.154e-05	7.481	0.00011156
2020-03-10	1011.445	0.01508449	8220.371	0.12259695	1.739	2.594e-05	9.22	0.0001375
2020-03-11	1123.961	0.01676253	9344.332	0.13935948	2.085	3.11e-05	11.305	0.0001686
2020-03-12	1239.914	0.01849183	10584.246	0.1578513	2.449	3.653e-05	13.754	0.00020513
2020-03-13	1295.192	0.01931623	11879.438	0.17716754	2.848	4.247e-05	16.602	0.0002476
2020-03-14	1345.007	0.02005916	13224.445	0.1972267	3.292	4.91e-05	19.894	0.0002967
2020-03-15	1369.915	0.02043063	14594.359	0.21765733	3.798	5.665e-05	23.693	0.00035335
2020-03-16	1394.822	0.0208021	15989.181	0.23845943	4.288	6.395e-05	27.981	0.0004173
2020-03-17	1394.822	0.0208021	17384.004	0.25926152	4.697	7.005e-05	32.678	0.00048735
2020-03-18	1382.368	0.02061636	18766.372	0.27987789	5.07	7.562e-05	37.748	0.00056297
2020-03-19	1369.915	0.02043063	20136.287	0.30030852	5.505	8.21e-05	43.254	0.00064507
2020-03-20	1357.461	0.0202449	21493.747	0.32055341	6.069	9.051e-05	49.322	0.00073558
2020-03-21	1332.553	0.01987343	22826.301	0.34042684	6.744	0.00010058	56.066	0.00083616
2020-03-22	1307.646	0.01950197	24133.947	0.35992881	7.439	0.00011095	63.505	0.00094711
2020-03-23	1282.738	0.0191305	25416.685	0.37905931	7.771	0.0001159	71.277	0.00106301
2020-03-24	1245.377	0.0185733	26662.062	0.39763261	8.07	0.00012035	79.347	0.00118336
2020-03-25	1208.016	0.0180161	27870.077	0.41564871	8.219	0.00012258	87.566	0.00130594
2020-03-26	1170.654	0.0174589	29040.732	0.43310761	8.369	0.00012481	95.935	0.00143076
2020-03-27	1145.747	0.01708744	30186.478	0.45019505	8.369	0.00012481	104.304	0.00155557
2020-03-28	1120.839	0.01671597	31307.318	0.46691102	8.294	0.0001237	112.598	0.00167927
2020-03-29	1095.932	0.0163445	32403.249	0.48325552	8.219	0.00012258	120.818	0.00180185
2020-03-30	1071.024	0.01597304	33474.273	0.49922856	8.145	0.00012147	128.962	0.00192332
2020-03-31	1033.663	0.01541584	34507.936	0.5146444	7.995	0.00011924	136.958	0.00204256
2020-04-01	996.302	0.01485864	35504.238	0.52950304	7.846	0.00011701	144.804	0.00215957
2020-04-02	958.94	0.01430144	36463.178	0.54380448	7.696	0.00011478	152.5	0.00227436
2020-04-03	921.579	0.01374424	37384.757	0.55754872	7.472	0.00011144	159.972	0.0023858
2020-04-04	884.218	0.01318704	38268.975	0.57073577	7.248	0.0001081	167.22	0.00249389
2020-04-05	846.856	0.01262984	39115.831	0.58336561	7.024	0.00010475	174.244	0.00259865
2020-04-06	809.495	0.01207265	39925.326	0.59543825	6.874	0.00010252	181.119	0.00270117
2020-04-07	772.134	0.01151545	40697.46	0.6069537	6.725	0.0001003	187.844	0.00280147
2020-04-08	739.754	0.01103254	41437.213	0.61798624	6.576	9.807e-05	194.419	0.00289953
2020-04-09	707.374	0.01054963	42144.588	0.62853588	6.426	9.584e-05	200.846	0.00299537
2020-04-10	672.504	0.01002958	42817.091	0.63856546	6.202	9.25e-05	207.048	0.00308787
2020-04-11	637.633	0.00950953	43454.724	0.64807499	5.978	8.915e-05	213.025	0.00317702
2020-04-12	607.744	0.00906377	44062.468	0.65713876	5.754	8.581e-05	218.779	0.00326283
2020-04-13	577.855	0.00861801	44640.323	0.66575677	5.529	8.247e-05	224.309	0.00334529
