Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Date
Parnu	22	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	2020-03-20
Parnu	22	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	2020-03-21
Parnu	22	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	2020-03-22
Parnu	22	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	2020-03-23
Parnu	22	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	2020-03-24
Parnu	24	NA	NA	0.28	NA	NA	NA	NA	NA	NA	NA	2020-03-25
Parnu	36	NA	NA	0.41	NA	NA	NA	NA	NA	NA	NA	2020-03-27
Parnu	40	NA	NA	0.46	NA	NA	NA	NA	NA	NA	NA	2020-03-28
Parnu	42	NA	NA	0.48	NA	NA	NA	NA	NA	NA	NA	2020-03-29
Parnu	42	NA	NA	0.48	NA	NA	NA	NA	NA	NA	NA	2020-03-30
Parnu	44	NA	NA	0.51	NA	NA	NA	NA	NA	NA	NA	2020-03-31
Parnu	1.198	1.198	2020-04-06
Parnu	1.198	1.198	2020-04-06
Parnu	1.198	1.198	2020-04-06
Parnu	1.198	1.198	1.198	N/A	2020-04-06
Parnu	1.198	1.198	1.198	N/A	2020-04-06
Parnu	1.198	1.198	1.198	N/A	2020-04-06
Parnu	1.198	1.198	1.198	N/A	2020-04-06
Parnu	1.198	1.198	1.198	N/A	2020-04-06
Parnu	1.198	1.198	1.198	N/A	2020-04-06
Parnu	1.198	1.198	1.198	N/A	2020-04-06
Parnu	1.166	1.166	N/A	N/A	2020-04-07
Parnu	0.0	0.0	N/A	N/A	2020-04-08
Parnu	0.0	0.0	N/A	N/A	2020-04-09
Parnu	-0.001	-0.001	N/A	N/A	2020-04-10
Parnu	-0.027	-0.027	N/A	N/A	2020-04-11
Parnu	-0.026	-0.053	N/A	N/A	2020-04-12
Parnu	-0.155	-0.155	N/A	N/A	2020-04-13
