Adams,2294
Barnes,10542
Benson,6962
Billings,919
Bottineau,6411
Bowman,3076
Burke,2100
Burleigh,95273
Cass,181516
Cavalier,3829
Dickey,4903
Divide,2283
Dunn,4332
Eddy,2313
Emmons,3295
Foster,3216
Golden Valley,1769
Grand Forks,70770
Grant,2374
Griggs,2232
Hettinger,2514
Kidder,2450
Lamoure,4062
Logan,1903
McHenry,5816
McIntosh,2585
McKenzie,13632
McLean,9541
Mercer,8267
Morton,31095
Mountrail,10218
Nelson,2869
Oliver,1952
Pembina,6947
Pierce,4081
Ramsey,11481
Ransom,5237
Renville,2374
Richland,16239
Rolette,14301
Sargent,3870
Sheridan,1349
Sioux,4358
Slope,763
Stark,30997
Steele,1903
Stutsman,20917
Towner,2192
Traill,8037
Walsh,10667
Ward,67744
Wells,3957
Williams,35350
