Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Skane	3121.0	250.0	0.0	2871.0	N/A	N/A	N/A	N/A	83333.3333333	38461.5384615	25000.0	N/A	N/A	N/A
Vastmanland	2329.0	170.0	0.0	2159.0	N/A	N/A	N/A	N/A	56666.6666667	26153.8461538	17000.0	N/A	N/A	N/A
Sormland	2235.0	244.0	0.0	1991.0	N/A	N/A	N/A	N/A	81333.3333333	37538.4615385	24400.0	N/A	N/A	N/A
Varmland	975.0	69.0	0.0	906.0	N/A	N/A	N/A	N/A	23000.0	10615.3846154	6900.0	N/A	N/A	N/A
Uppsala	3354.0	226.0	0.0	3128.0	N/A	N/A	N/A	N/A	75333.3333333	34769.2307692	22600.0	N/A	N/A	N/A
Ostergotland	3306.0	224.0	0.0	3082.0	N/A	N/A	N/A	N/A	74666.6666667	34461.5384615	22400.0	N/A	N/A	N/A
Vastra Gotaland	15759.0	762.0	0.0	14997.0	N/A	N/A	N/A	N/A	254000.0	117230.769231	76200.0	N/A	N/A	N/A
Vasternorrland	1428.0	117.0	0.0	1311.0	N/A	N/A	N/A	N/A	39000.0	18000.0	11700.0	N/A	N/A	N/A
Kronoberg	1072.0	97.0	0.0	975.0	N/A	N/A	N/A	N/A	32333.3333333	14923.0769231	9700.0	N/A	N/A	N/A
Orebro	2385.0	164.0	0.0	2221.0	N/A	N/A	N/A	N/A	54666.6666667	25230.7692308	16400.0	N/A	N/A	N/A
Dalarna	1739.0	157.0	0.0	1582.0	N/A	N/A	N/A	N/A	52333.3333333	24153.8461538	15700.0	N/A	N/A	N/A
Blekinge	452.0	14.0	0.0	438.0	N/A	N/A	N/A	N/A	4666.66666667	2153.84615385	1400.0	N/A	N/A	N/A
Gotland	162.0	6.0	0.0	156.0	N/A	N/A	N/A	N/A	2000.0	923.076923077	600.0	N/A	N/A	N/A
Halland	1574.0	72.0	0.0	1502.0	N/A	N/A	N/A	N/A	24000.0	11076.9230769	7200.0	N/A	N/A	N/A
Stockholm	20933.0	2337.0	0.0	18596.0	N/A	N/A	N/A	N/A	779000.0	359538.461538	233700.0	N/A	N/A	N/A
Gavleborg	2559.0	133.0	0.0	2426.0	N/A	N/A	N/A	N/A	44333.3333333	20461.5384615	13300.0	N/A	N/A	N/A
Jamtland Harjedalen	1059.0	54.0	0.0	1005.0	N/A	N/A	N/A	N/A	18000.0	8307.69230769	5400.0	N/A	N/A	N/A
Norrbotten	1358.0	67.0	0.0	1291.0	N/A	N/A	N/A	N/A	22333.3333333	10307.6923077	6700.0	N/A	N/A	N/A
Kalmar	691.0	57.0	0.0	634.0	N/A	N/A	N/A	N/A	19000.0	8769.23076923	5700.0	N/A	N/A	N/A
Jonkoping	4201.0	169.0	0.0	4032.0	N/A	N/A	N/A	N/A	56333.3333333	26000.0	16900.0	N/A	N/A	N/A
Vasterbotten	727.0	31.0	0.0	696.0	N/A	N/A	N/A	N/A	10333.3333333	4769.23076923	3100.0	N/A	N/A	N/A
