Adams,19759
Asotin,22610
Benton,201877
Chelan,77036
Clallam,76737
Clark,481857
Columbia,4059
Cowlitz,108987
Douglas,42907
Ferry,7649
Franklin,94347
Garfield,2247
Grant,97331
Grays Harbor,73901
Island,84460
Jefferson,31729
King,2233163
Kitsap,269805
Kittitas,47364
Klickitat,22107
Lewis,79604
Lincoln,10740
Mason,65507
Okanogan,42132
Pacific,22036
Pend Oreille,13602
Pierce,891299
San Juan,17128
Skagit,128206
Skamania,11924
Snohomish,814901
Spokane,514631
Stevens,45260
Thurston,286419
Wahkiakum,4426
Walla Walla,60922
Whatcom,225685
Whitman,49791
Yakima,251446
