Name	Confirmed	Deaths	Recovered	Active
San Juan	1	0	0	0
Pend Oreille	0	0	0	0
Snohomish	634	16	0	0
Grant	27	1	0	0
Pierce	155	2	0	0
Douglas	2	0	0	0
Kittitas	18	0	0	0
Jefferson	9	0	0	0
Whatcom	64	2	0	0
Wahkiakum	0	0	0	0
Cowlitz	3	0	0	0
Columbia	1	0	0	0
Thurston	14	0	0	0
Yakima	47	1	0	0
Island	38	1	0	0
Okanogan	0	0	0	0
Kitsap	20	0	0	0
Clallam	4	0	0	0
King	1359	101	0	0
Lincoln	1	0	0	0
Spokane	33	0	0	0
Adams	1	0	0	0
Grays Harbor	1	0	0	0
Klickitat	6	0	0	0
Benton	12	3	0	0
Franklin	7	0	0	0
Ferry	0	0	0	0
Mason	2	0	0	0
Whitman	2	0	0	0
Skagit	48	1	0	0
Skamania	0	0	0	0
Clark	16	4	0	0
Stevens	1	0	0	0
Lewis	2	0	0	0
Walla Walla	2	0	0	0
Pacific	0	0	0	0
Garfield	0	0	0	0
Unassigned	51	0	0	0
Chelan	10	1	0	0
Asotin	0	0	0	0
