Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Lewis	0.0	0.329	0.0	4.13e-06
Skagit	0.473	31.324	3.69e-06	0.00024433
Walla Walla	0.452	23.148	7.43e-06	0.00037996
Pacific	0.0	0.0	0.0	0.0
Pierce	0.0	191.72	0.0	0.0002151
Lincoln	0.007	0.344	6.4e-07	3.205e-05
Pend Oreille	0.256	13.685	1.88e-05	0.0010061
Clallam	0.117	5.851	1.52e-06	7.625e-05
Asotin	0.0	0.0	0.0	0.0
Stevens	0.041	2.065	9.1e-07	4.563e-05
Wahkiakum	0.511	27.37	0.00011556	0.00618392
Jefferson	0.309	15.488	9.72e-06	0.00048814
Kitsap	0.0	10.502	0.0	3.893e-05
Douglas	0.167	9.735	3.9e-06	0.00022688
San Juan	0.24	12.046	1.401e-05	0.00070331
Benton	3.641	182.76	1.803e-05	0.00090531
Columbia	0.309	15.488	7.601e-05	0.00381576
Okanogan	0.273	14.597	6.47e-06	0.00034647
Whitman	0.0	0.0	0.0	0.0
Chelan	1.076	54.036	1.397e-05	0.00070144
Unassigned	9.875	505.283	N/A	N/A
Mason	0.0	1.731	0.0	2.642e-05
Adams	0.0	3.64	0.0	0.00018422
Klickitat	0.11	5.507	4.96e-06	0.0002491
Yakima	8.232	421.194	3.274e-05	0.00167509
Whatcom	0.0	2.931	0.0	1.299e-05
Franklin	2.29	114.957	2.427e-05	0.00121844
Ferry	0.256	13.685	3.343e-05	0.00178913
Grays Harbor	0.192	9.637	2.6e-06	0.00013041
Spokane	2.12	108.469	4.12e-06	0.00021077
Clark	3.174	159.356	6.59e-06	0.00033071
Kittitas	0.178	8.949	3.76e-06	0.00018893
Island	1.207	60.576	1.429e-05	0.00071721
Cowlitz	0.247	12.391	2.26e-06	0.00011369
Skamania	0.029	1.668	2.47e-06	0.00013986
King	56.898	2856.361	2.548e-05	0.00127907
Thurston	0.0	2.006	0.0	7e-06
Grant	1.172	58.855	1.205e-05	0.00060469
Snohomish	3.417	372.129	4.19e-06	0.00045666
