Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Canada	89479.683	0.00241453	28723548.965	0.77507921	536.878	1.449e-05	172341.294	0.00465048
East Timor	9278.867	0.00731788	884290.865	0.69740567	55.673	4.391e-05	5305.745	0.00418443
Sao Tome and Principe	2006.777	0.00950953	136761.968	0.64807499	12.041	5.706e-05	820.572	0.00388845
Guernsey	440.863	0.00657495	47669.08	0.71092704	2.645	3.945e-05	286.014	0.00426556
United States of America	729189.472	0.0022288	254309866.926	0.77730801	4375.137	1.337e-05	1525859.202	0.00466385
Vatican	4.969	0.00620348	574.422	0.71713052	0.03	3.722e-05	3.447	0.00430278
Lithuania	13159.952	0.00471762	2059316.35	0.73822979	78.96	2.831e-05	12355.898	0.00442938
Cambodia	39235.609	0.00241453	12594880.655	0.77507921	235.414	1.449e-05	75569.284	0.00465048
Saint Kitts and Nevis	424.665	0.00809796	35785.657	0.68239845	2.548	4.859e-05	214.714	0.00409439
Ethiopia	718145.822	0.00657495	77650691.881	0.71092704	4308.875	3.945e-05	465904.151	0.00426556
Aruba	695.925	0.00657495	75248.072	0.71092704	4.176	3.945e-05	451.488	0.00426556
Sri Lanka	52322.844	0.00241453	16795966.558	0.77507921	313.937	1.449e-05	100775.799	0.00465048
Swaziland	7470.397	0.00657495	807748.899	0.71092704	44.822	3.945e-05	4846.493	0.00426556
Argentina	226436.268	0.00508908	32637258.624	0.73351217	1358.618	3.053e-05	195823.552	0.00440107
Bolivia	70429.015	0.00620348	8141684.595	0.71713052	422.574	3.722e-05	48850.108	0.00430278
Cameroon	137694.529	0.00546055	18368089.115	0.72842308	826.167	3.276e-05	110208.535	0.00437054
Burkina Faso	122528.296	0.00620348	14164428.511	0.71713052	735.17	3.722e-05	84986.571	0.00430278
Bahrain	6821.021	0.00434615	1165427.638	0.74257594	40.926	2.608e-05	6992.566	0.00445546
Saudi Arabia	171501.869	0.00508908	24719321.184	0.73351217	1029.011	3.053e-05	148315.927	0.00440107
Japan	282007.553	0.0022288	98352082.876	0.77730801	1692.045	1.337e-05	590112.497	0.00466385
Slovenia	11288.989	0.00546055	1505921.487	0.72842308	67.734	3.276e-05	9035.529	0.00437054
Guatemala	113403.438	0.00657495	12261932.291	0.71092704	680.421	3.945e-05	73571.594	0.00426556
Bosnia and Herzegovina	18150.481	0.00546055	2421226.612	0.72842308	108.903	3.276e-05	14527.36	0.00437054
Guinea	81623.498	0.00657495	8825674.288	0.71092704	489.741	3.945e-05	52954.046	0.00426556
Jordan	50666.979	0.00508908	7302855.213	0.73351217	304.002	3.053e-05	43817.131	0.00440107
Spain	130172.132	0.002786	35980296.793	0.77006442	781.033	1.672e-05	215881.781	0.00462039
Liberia	33474.61	0.00694641	3394256.506	0.70435209	200.848	4.168e-05	20365.539	0.00422611
West Bank And Gaza	55162.701	0.01103254	3089931.206	0.61798624	330.976	6.62e-05	18539.587	0.00370792
Jamaica	18206.321	0.00620348	2104674.084	0.71713052	109.238	3.722e-05	12628.045	0.00430278
Oman	20989.668	0.00434615	3586257.871	0.74257594	125.938	2.608e-05	21517.547	0.00445546
Monaco	182.487	0.00471762	28556.205	0.73822979	1.095	2.831e-05	171.337	0.00442938
New Zealand	23047.924	0.00471762	3606621.62	0.73822979	138.288	2.831e-05	21639.73	0.00442938
Yemen	285829.92	0.01002958	18198277.111	0.63856546	1714.98	6.018e-05	109189.663	0.00383139
Jersey	641.629	0.00657495	69377.237	0.71092704	3.85	3.945e-05	416.263	0.00426556
Pakistan	922318.825	0.00434615	157585775.044	0.74257594	5533.913	2.608e-05	945514.65	0.00445546
Albania	16716.751	0.00583202	2072282.455	0.72296253	100.301	3.499e-05	12433.695	0.00433778
United Arab Emirates	25043.017	0.00260026	7441501.898	0.77266468	150.258	1.56e-05	44649.011	0.00463599
Uruguay	22678.962	0.00657495	2452199.911	0.71092704	136.074	3.945e-05	14713.199	0.00426556
India	3517159.457	0.00260026	1045119641.079	0.77266468	21102.957	1.56e-05	6270717.846	0.00463599
Azerbaijan	50597.375	0.00508908	7292822.967	0.73351217	303.584	3.053e-05	43756.938	0.00440107
Saint Vincent and the Grenadines	724.625	0.00657495	78351.269	0.71092704	4.348	3.945e-05	470.108	0.00426556
Republic of Serbia	38126.02	0.00546055	5085911.158	0.72842308	228.756	3.276e-05	30515.467	0.00437054
Kenya	337906.38	0.00657495	36536680.22	0.71092704	2027.438	3.945e-05	219220.081	0.00426556
South Korea	115084.453	0.0022288	40136498.066	0.77730801	690.507	1.337e-05	240818.988	0.00466385
Belarus	44748.43	0.00471762	7002394.479	0.73822979	268.491	2.831e-05	42014.367	0.00442938
Turkey	510668.945	0.00620348	59033986.253	0.71713052	3064.014	3.722e-05	354203.918	0.00430278
Afghanistan	161556.848	0.00434615	27603319.416	0.74257594	969.341	2.608e-05	165619.916	0.00445546
Czech Republic	54075.057	0.00508908	7794076.575	0.73351217	324.45	3.053e-05	46764.459	0.00440107
Mauritania	28951.594	0.00657495	3130438.521	0.71092704	173.71	3.945e-05	18782.631	0.00426556
Saint Lucia	1195.911	0.00657495	129309.807	0.71092704	7.175	3.945e-05	775.859	0.00426556
San Marino	159.385	0.00471762	24941.093	0.73822979	0.956	2.831e-05	149.647	0.00442938
Mongolia	19666.329	0.00620348	2273452.903	0.71713052	117.998	3.722e-05	13640.717	0.00430278
France	149300.902	0.0022288	52069721.302	0.77730801	895.805	1.337e-05	312418.328	0.00466385
Rwanda	80884.612	0.00657495	8745781.018	0.71092704	485.308	3.945e-05	52474.686	0.00426556
Slovakia	29743.677	0.00546055	3967728.55	0.72842308	178.462	3.276e-05	23806.371	0.00437054
Peru	174678.939	0.00546055	23301712.501	0.72842308	1048.074	3.276e-05	139810.275	0.00437054
Laos	54298.372	0.00768935	4873059.776	0.69008779	325.79	4.614e-05	29238.359	0.00414053
Brazil	910385.607	0.00434615	155546886.518	0.74257594	5462.314	2.608e-05	933281.319	0.00445546
Seychelles	636.205	0.00657495	68790.722	0.71092704	3.817	3.945e-05	412.744	0.00426556
Norway	23096.913	0.00434615	3946298.042	0.74257594	138.581	2.608e-05	23677.788	0.00445546
Malawi	156359.293	0.00861801	12079034.776	0.66575677	938.156	5.171e-05	72474.209	0.00399454
Benin	79779.901	0.00694641	8089517.526	0.70435209	478.679	4.168e-05	48537.105	0.00422611
Libya	51353.814	0.00768935	4608797.557	0.69008779	308.123	4.614e-05	27652.785	0.00414053
Singapore	12567.459	0.0022288	4382988.018	0.77730801	75.405	1.337e-05	26297.928	0.00466385
Montenegro	4323.066	0.00694641	438349.999	0.70435209	25.938	4.168e-05	2630.1	0.00422611
