Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Canada	108164.876	0.00291873	556023.878	0.01500381	648.989	1.751e-05	3336.143	9.002e-05
East Timor	70.651	5.572e-05	179.356	0.00014145	0.424	3.3e-07	1.076	8.5e-07
Sao Tome and Principe	0.451	2.14e-06	0.846	4.01e-06	0.003	1e-08	0.005	2e-08
Guernsey	6.227	9.287e-05	20.693	0.00030861	0.037	5.6e-07	0.124	1.85e-06
United States of America	1174643.219	0.00359034	6083399.859	0.01859415	7047.859	2.154e-05	36500.399	0.00011156
Vatican	0.089	0.00011144	0.336	0.00042005	0.001	6.7e-07	0.002	2.52e-06
Lithuania	621.73	0.00022288	3109.47	0.00111469	3.73	1.34e-06	18.657	6.69e-06
Cambodia	47428.809	0.00291873	243808.813	0.01500381	284.573	1.751e-05	1462.853	9.002e-05
Saint Kitts and Nevis	1.169	2.229e-05	2.548	4.858e-05	0.007	1.3e-07	0.015	2.9e-07
Ethiopia	10143.303	9.287e-05	33707.873	0.00030861	60.86	5.6e-07	202.247	1.85e-06
Aruba	9.829	9.287e-05	32.665	0.00030861	0.059	5.6e-07	0.196	1.85e-06
Sri Lanka	63248.927	0.00291873	325132.471	0.01500381	379.494	1.751e-05	1950.795	9.002e-05
Swaziland	105.514	9.287e-05	350.641	0.00030861	0.633	5.6e-07	2.104	1.85e-06
Argentina	8264.097	0.00018573	39680.747	0.00089181	49.585	1.11e-06	238.084	5.35e-06
Bolivia	1265.192	0.00011144	4768.894	0.00042005	7.591	6.7e-07	28.613	2.52e-06
Cameroon	3934.129	0.00015602	17804.665	0.00070608	23.605	9.4e-07	106.828	4.24e-06
Burkina Faso	2201.107	0.00011144	8296.643	0.00042005	13.207	6.7e-07	49.78	2.52e-06
Bahrain	419.755	0.00026746	2169.196	0.00138215	2.519	1.6e-06	13.015	8.29e-06
Saudi Arabia	6259.192	0.00018573	30054.03	0.00089181	37.555	1.11e-06	180.324	5.35e-06
Japan	454282.835	0.00359034	2352700.878	0.01859415	2725.697	2.154e-05	14116.205	0.00011156
Slovenia	322.543	0.00015602	1459.729	0.00070608	1.935	9.4e-07	8.758	4.24e-06
Guatemala	1601.743	9.287e-05	5322.859	0.00030861	9.61	5.6e-07	31.937	1.85e-06
Bosnia and Herzegovina	518.585	0.00015602	2346.958	0.00070608	3.112	9.4e-07	14.082	4.24e-06
Guinea	1152.874	9.287e-05	3831.192	0.00030861	6.917	5.6e-07	22.987	1.85e-06
Jordan	1849.16	0.00018573	8878.894	0.00089181	11.095	1.11e-06	53.273	5.35e-06
Spain	90217.966	0.00193088	454239.265	0.00972181	541.308	1.159e-05	2725.436	5.833e-05
Liberia	358.017	7.429e-05	1039.667	0.00021574	2.148	4.5e-07	6.238	1.29e-06
