Date	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-01-27	2.661	2.7e-07	2.661	2.7e-07	0.0	0.0	0.0	0.0
2020-01-28	5.321	5.3e-07	7.982	8e-07	0.0	0.0	0.0	0.0
2020-01-29	10.643	1.07e-06	18.625	1.87e-06	0.0	0.0	0.0	0.0
2020-01-30	21.285	2.14e-06	39.91	4.01e-06	0.0	0.0	0.0	0.0
2020-01-31	36.983	3.71e-06	76.893	7.72e-06	0.0	0.0	0.0	0.0
2020-02-01	73.966	7.43e-06	150.86	1.515e-05	0.0	0.0	0.0	0.0
2020-02-02	110.95	1.114e-05	261.809	2.63e-05	0.0	0.0	0.0	0.0
2020-02-03	221.899	2.229e-05	483.708	4.858e-05	0.0	0.0	0.0	0.0
2020-02-04	369.832	3.715e-05	853.54	8.573e-05	0.0	0.0	0.0	0.0
2020-02-05	554.748	5.572e-05	1408.288	0.00014145	0.0	0.0	0.0	0.0
2020-02-06	739.664	7.429e-05	2147.952	0.00021574	0.016	0.0	0.016	0.0
2020-02-07	924.58	9.287e-05	3072.532	0.00030861	0.032	0.0	0.048	0.0
2020-02-08	1109.496	0.00011144	4182.028	0.00042005	0.064	1e-08	0.112	1e-08
2020-02-09	1294.412	0.00013001	5476.44	0.00055006	0.128	1e-08	0.239	2e-08
2020-02-10	1553.294	0.00015602	7029.734	0.00070608	0.222	2e-08	0.461	5e-08
2020-02-11	1849.16	0.00018573	8878.894	0.00089181	0.444	4e-08	0.905	9e-08
2020-02-12	2218.992	0.00022288	11097.886	0.00111469	0.666	7e-08	1.571	1.6e-07
2020-02-13	2662.79	0.00026746	13760.676	0.00138215	1.331	1.3e-07	2.902	2.9e-07
2020-02-14	3439.437	0.00034546	17200.113	0.00172761	2.219	2.2e-07	5.121	5.1e-07
2020-02-15	4844.799	0.00048662	22044.912	0.00221423	3.328	3.3e-07	8.45	8.5e-07
2020-02-16	6989.824	0.00070207	29034.736	0.0029163	4.438	4.5e-07	12.888	1.29e-06
2020-02-17	8622.016	0.00086601	37656.751	0.00378231	5.547	5.6e-07	18.435	1.85e-06
2020-02-18	10794.162	0.00108419	48450.914	0.0048665	6.657	6.7e-07	25.092	2.52e-06
2020-02-19	13143.828	0.00132019	61594.741	0.00618669	7.766	7.8e-07	32.859	3.3e-06
2020-02-20	15971.81	0.00160424	77566.551	0.00779093	9.32	9.4e-07	42.178	4.24e-06
2020-02-21	19223.865	0.00193088	96790.416	0.00972181	11.095	1.11e-06	53.273	5.35e-06
2020-02-22	23528.709	0.00236327	120319.126	0.01208507	13.314	1.34e-06	66.587	6.69e-06
2020-02-23	29058.93	0.00291873	149378.055	0.01500381	15.977	1.6e-06	82.564	8.29e-06
2020-02-24	35745.492	0.00359034	185123.547	0.01859415	20.637	2.07e-06	103.201	1.037e-05
2020-02-25	43041.044	0.00432312	228164.591	0.02291727	29.069	2.92e-06	132.269	1.329e-05
2020-02-26	51603.886	0.00518319	279768.477	0.02810046	41.939	4.21e-06	174.208	1.75e-05
2020-02-27	60610.527	0.00608783	340379.004	0.03418829	51.732	5.2e-06	225.941	2.269e-05
2020-02-28	70470.247	0.00707816	410849.251	0.04126645	64.765	6.51e-06	290.705	2.92e-05
2020-02-29	81476.446	0.00818364	492325.698	0.0494501	78.863	7.92e-06	369.568	3.712e-05
2020-03-01	93998.957	0.00944143	586324.654	0.05889152	95.831	9.63e-06	465.399	4.675e-05
2020-03-02	106117.117	0.0106586	692441.771	0.06955012	115.343	1.159e-05	580.742	5.833e-05
2020-03-03	116240.651	0.01167542	808682.422	0.08122555	141.172	1.418e-05	721.915	7.251e-05
2020-03-04	125479.053	0.01260335	934161.475	0.09382889	174.354	1.751e-05	896.268	9.002e-05
2020-03-05	136233.766	0.01368357	1070395.242	0.10751246	214.473	2.154e-05	1110.741	0.00011156
2020-03-06	150181.362	0.01508449	1220576.604	0.12259695	258.246	2.594e-05	1368.988	0.0001375
2020-03-07	166887.905	0.01676253	1387464.509	0.13935948	309.623	3.11e-05	1678.611	0.0001686
2020-03-08	184104.815	0.01849183	1571569.324	0.1578513	363.663	3.653e-05	2042.274	0.00020513
2020-03-09	192312.619	0.01931623	1763881.944	0.17716754	422.821	4.247e-05	2465.096	0.0002476
2020-03-10	199709.259	0.02005916	1963591.202	0.1972267	488.859	4.91e-05	2953.954	0.0002967
2020-03-11	203407.578	0.02043063	2166998.78	0.21765733	563.994	5.665e-05	3517.948	0.00035335
2020-03-12	207105.898	0.0208021	2374104.678	0.23845943	636.703	6.395e-05	4154.651	0.0004173
2020-03-13	207105.898	0.0208021	2581210.576	0.25926152	697.444	7.005e-05	4852.095	0.00048735
2020-03-14	205256.738	0.02061636	2786467.314	0.27987789	752.874	7.562e-05	5604.969	0.00056297
2020-03-15	203407.578	0.02043063	2989874.892	0.30030852	817.403	8.21e-05	6422.371	0.00064507
2020-03-16	201558.418	0.0202449	3191433.31	0.32055341	901.088	9.051e-05	7323.46	0.00073558
2020-03-17	197860.099	0.01987343	3389293.409	0.34042684	1001.327	0.00010058	8324.787	0.00083616
2020-03-18	194161.779	0.01950197	3583455.188	0.35992881	1104.629	0.00011095	9429.416	0.00094711
2020-03-19	190463.46	0.0191305	3773918.648	0.37905931	1153.876	0.0001159	10583.292	0.00106301
2020-03-20	184915.98	0.0185733	3958834.628	0.39763261	1198.256	0.00012035	11781.547	0.00118336
2020-03-21	179368.501	0.0180161	4138203.129	0.41564871	1220.445	0.00012258	13001.993	0.00130594
2020-03-22	173821.021	0.0174589	4312024.15	0.43310761	1242.635	0.00012481	14244.628	0.00143076
2020-03-23	170122.702	0.01708744	4482146.852	0.45019505	1242.635	0.00012481	15487.263	0.00155557
2020-03-24	166424.382	0.01671597	4648571.234	0.46691102	1231.54	0.0001237	16718.804	0.00167927
2020-03-25	162726.063	0.0163445	4811297.296	0.48325552	1220.445	0.00012258	17939.249	0.00180185
2020-03-26	159027.743	0.01597304	4970325.039	0.49922856	1209.351	0.00012147	19148.6	0.00192332
