Date	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-03-02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-04	56.009	1.55e-06	56.009	1.55e-06	0.0	0.0	0.0	0.0
2020-03-05	56.009	1.55e-06	112.017	3.11e-06	0.0	0.0	0.0	0.0
2020-03-06	56.009	1.55e-06	168.026	4.66e-06	0.0	0.0	0.0	0.0
2020-03-07	112.017	3.11e-06	280.044	7.77e-06	0.0	0.0	0.0	0.0
2020-03-08	280.044	7.77e-06	560.087	1.555e-05	0.0	0.0	0.0	0.0
2020-03-09	448.07	1.244e-05	1008.157	2.798e-05	0.0	0.0	0.0	0.0
2020-03-10	616.096	1.71e-05	1624.253	4.508e-05	0.0	0.0	0.0	0.0
2020-03-11	840.131	2.332e-05	2464.384	6.84e-05	0.0	0.0	0.0	0.0
2020-03-12	1344.209	3.731e-05	3808.593	0.00010571	0.0	0.0	0.0	0.0
2020-03-13	2016.314	5.596e-05	5824.908	0.00016167	0.0	0.0	0.0	0.0
2020-03-14	2800.436	7.773e-05	8625.344	0.0002394	0.336	1e-08	0.336	1e-08
2020-03-15	3416.532	9.483e-05	12041.876	0.00033423	0.336	1e-08	0.672	2e-08
2020-03-16	3864.602	0.00010726	15906.478	0.00044149	0.336	1e-08	1.008	3e-08
2020-03-17	4144.646	0.00011504	20051.124	0.00055653	0.672	2e-08	1.68	5e-08
2020-03-18	4368.681	0.00012125	24419.805	0.00067778	1.68	5e-08	3.361	9e-08
2020-03-19	4424.689	0.00012281	28844.494	0.00080059	2.688	7e-08	6.049	1.7e-07
2020-03-20	4480.698	0.00012436	33325.192	0.00092495	3.697	1e-07	9.746	2.7e-07
2020-03-21	4536.707	0.00012592	37861.899	0.00105087	5.041	1.4e-07	14.786	4.1e-07
2020-03-22	4480.698	0.00012436	42342.597	0.00117523	8.065	2.2e-07	22.852	6.3e-07
2020-03-23	4424.689	0.00012281	46767.287	0.00129804	12.098	3.4e-07	34.949	9.7e-07
2020-03-24	4368.681	0.00012125	51135.967	0.00141929	16.803	4.7e-07	51.752	1.44e-06
2020-03-25	4088.637	0.00011348	55224.604	0.00153278	20.499	5.7e-07	72.251	2.01e-06
2020-03-26	3976.62	0.00011037	59201.224	0.00164315	23.188	6.4e-07	95.439	2.65e-06
2020-03-27	3752.585	0.00010415	62953.809	0.0017473	24.868	6.9e-07	120.307	3.34e-06
2020-03-28	3248.506	9.016e-05	66202.315	0.00183747	26.212	7.3e-07	146.519	4.07e-06
2020-03-29	2800.436	7.773e-05	69002.751	0.00191519	26.548	7.4e-07	173.067	4.8e-06
2020-03-30	2408.375	6.685e-05	71411.126	0.00198204	26.884	7.5e-07	199.951	5.55e-06
2020-03-31	2072.323	5.752e-05	73483.449	0.00203956	27.22	7.6e-07	227.171	6.31e-06
2020-04-01	1736.271	4.819e-05	75219.72	0.00208775	26.884	7.5e-07	254.056	7.05e-06
2020-04-02	1400.218	3.886e-05	76619.938	0.00212661	26.548	7.4e-07	280.604	7.79e-06
2020-04-03	1120.175	3.109e-05	77740.112	0.0021577	26.212	7.3e-07	306.816	8.52e-06
2020-04-04	952.148	2.643e-05	78692.261	0.00218413	24.532	6.8e-07	331.348	9.2e-06
2020-04-05	840.131	2.332e-05	79532.392	0.00220745	23.86	6.6e-07	355.207	9.86e-06
2020-04-06	728.113	2.021e-05	80260.505	0.00222766	22.516	6.2e-07	377.723	1.048e-05
2020-04-07	616.096	1.71e-05	80876.601	0.00224476	19.491	5.4e-07	397.214	1.102e-05
2020-04-08	504.079	1.399e-05	81380.68	0.00225875	16.803	4.7e-07	414.017	1.149e-05
2020-04-09	392.061	1.088e-05	81772.741	0.00226963	14.45	4e-07	428.467	1.189e-05
2020-04-10	280.044	7.77e-06	82052.784	0.0022774	12.434	3.5e-07	440.901	1.224e-05
2020-04-11	224.035	6.22e-06	82276.819	0.00228362	10.418	2.9e-07	451.318	1.253e-05
2020-04-12	168.026	4.66e-06	82444.845	0.00228828	8.401	2.3e-07	459.72	1.276e-05
2020-04-13	112.017	3.11e-06	82556.863	0.00229139	6.721	1.9e-07	466.441	1.295e-05
2020-04-14	56.009	1.55e-06	82612.871	0.00229295	5.713	1.6e-07	472.154	1.31e-05
2020-04-15	0.0	0.0	82612.871	0.00229295	5.041	1.4e-07	477.194	1.324e-05
2020-04-16	0.0	0.0	82612.871	0.00229295	4.369	1.2e-07	481.563	1.337e-05
2020-04-17	0.0	0.0	82612.871	0.00229295	3.697	1e-07	485.26	1.347e-05
2020-04-18	0.0	0.0	82612.871	0.00229295	3.024	8e-08	488.284	1.355e-05
2020-04-19	0.0	0.0	82612.871	0.00229295	2.352	7e-08	490.636	1.362e-05
2020-04-20	0.0	0.0	82612.871	0.00229295	1.68	5e-08	492.317	1.366e-05
2020-04-21	0.0	0.0	82612.871	0.00229295	1.344	4e-08	493.661	1.37e-05
2020-04-22	0.0	0.0	82612.871	0.00229295	1.008	3e-08	494.669	1.373e-05
2020-04-23	0.0	0.0	82612.871	0.00229295	0.672	2e-08	495.341	1.375e-05
2020-04-24	0.0	0.0	82612.871	0.00229295	0.336	1e-08	495.677	1.376e-05
