Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita	Confirmed_daily	Deaths_daily
Turkey	9217	131	105	8981	0.00011197	1.59e-06	43666.6666667	20153.8461538	13100	0.00053	0.000244615384615	0.000159	65446	7.87e-4	1815	23
Italy	97689	10779	13030	73880	0.00161653	0.00017837	3593000	1658307.69231	1077900	0.0594566666667	0.0274415384615	0.017837	NA	NA	5217	756
Czech Republic	2817	16	11	2790	0.00026511	1.51e-06	5333.33333333	2461.53846154	1600	0.000503333333333	0.000232307692308	0.000151	43498	0.004084	186	5
Monaco	46	1	1	44	0.00118918	2.585e-05	333.333333333	153.846153846	100	0.00861666666667	0.00397692307692	0.002585	NA	NA	4	1
Lithuania	460	7	1	452	0.0001649	2.51e-06	2333.33333333	1076.92307692	700	0.000836666666667	0.000386153846154	0.000251	NA	NA	66	0
Luxembourg	1950	21	40	1889	0.00320867	3.455e-05	7000	3230.76923077	2100	0.0115166666667	0.00531538461538	0.003455	NA	NA	119	3
France	40708	2611	7226	30871	0.0006077	3.898e-05	870333.333333	401692.307692	261100	0.0129933333333	0.00599692307692	0.003898	NA	NA	2603	294
Andorra	334	6	1	327	0.00433732	7.792e-05	2000	923.076923077	600	0.0259733333333	0.0119876923077	0.007792	NA	NA	26	3
Switzerland	14829	300	1595	12934	0.0017412	3.523e-05	100000	46153.8461538	30000	0.0117433333333	0.00542	0.003523	111000	0.012952	753	36
Georgia	91	0	18	73	2.439e-05	0.0	455	182	113.75	0.00012195	4.878e-05	3.04875e-05	NA	NA	1	0
Slovakia	314	0	2	312	5.765e-05	0.0	1570	628	392.5	0.00028825	0.0001153	7.20625e-05	7532	0.001382	22	0
Ireland	2615	46	5	2564	0.00053879	9.48e-06	15333.3333333	7076.92307692	4600	0.00316	0.00145846153846	0.000948	NA	NA	200	10
Norway	4284	25	7	4252	0.00080612	4.7e-06	8333.33333333	3846.15384615	2500	0.00156666666667	0.000723076923077	0.00047	85136	0.015861	269	2
Israel	4247	15	132	4100	0.00047806	1.69e-06	5000	2307.69230769	1500	0.000563333333333	0.00026	0.000169	NA	NA	628	3
Belarus	94	0	32	62	9.91e-06	0.0	470	188	117.5	4.955e-05	1.982e-05	1.23875e-05	NA	NA	0	0
Iceland	1020	2	135	883	0.00288483	5.66e-06	666.666666667	307.692307692	200	0.00188666666667	0.000870769230769	0.000566	NA	NA	57	0
Montenegro	85	1	0	84	0.00013658	1.61e-06	333.333333333	153.846153846	100	0.000536666666667	0.000247692307692	0.000161	NA	NA	1	0
Slovenia	730	11	10	709	0.00035311	5.32e-06	3666.66666667	1692.30769231	1100	0.00177333333333	0.000818461538462	0.000532	NA	NA	46	2
Germany	62095	533	9211	52351	0.00074878	6.43e-06	177666.666667	82000	53300	0.00214333333333	0.000989230769231	0.000643	918460	0.011046	4400	100
Bosnia and Herzegovina	323	6	8	309	9.717e-05	1.81e-06	2000	923.076923077	600	0.000603333333333	0.000278461538462	0.000181	2220	6.44e-4	65	1
Armenia	424	3	30	391	0.00014364	1.02e-06	1000	461.538461538	300	0.00034	0.000156923076923	0.000102	NA	NA	17	2
