Name	Predicted_New_Cases	Total_Predicted_New_Cases
New York	3878.162	77454.644
Wayne	4.065	56.977
Fulton	9.087	59.903
Seneca	0.3	7.434
Lewis	14.574	134.259
Montgomery	18.174	115.806
Schenectady	7.178	148.988
Tioga	0.0	0.0
Washington	0.038	10.282
Rockland	590.111	10041.965
Chenango	6.615	97.139
Cayuga	15.46	102.315
Erie	76.376	1545.342
Ulster	19.306	397.831
Jefferson	4.371	87.746
Broome	5.178	103.734
Nassau	1133.947	21746.704
Monroe	71.823	997.266
Chautauqua	10.307	68.21
Chemung	0.045	22.285
Niagara	3.662	82.093
Delaware	1.457	28.915
Livingston	0.0	0.0
Steuben	37.281	377.441
Saint Lawrence	92.759	613.888
Columbia	8.808	120.117
Madison	4.371	83.746
Ontario	0.687	13.755
Dutchess	440.919	4828.095
Schuyler	0.0	0.0
Cortland	0.0	0.0
Unassigned	0.0	0.0
Essex	0.0	0.0
Wyoming	31.805	203.662
Saratoga	2.854	66.496
Putnam	49.933	777.258
Onondaga	12.128	247.842
Franklin	0.0	0.0
Tompkins	1.766	54.748
Greene	0.678	9.162
Orleans	0.805	18.214
Albany	9.163	197.412
Cattaraugus	0.55	12.844
Yates	0.0	0.0
Otsego	1.553	29.62
Allegany	13.631	87.855
Warren	13.631	87.855
Westchester	260.554	7618.937
Sullivan	14.571	329.152
Clinton	1.749	35.298
Suffolk	1419.621	25236.389
Schoharie	0.0	0.0
Oswego	10.652	109.27
Rensselaer	1.733	33.549
Oneida	21.16	260.245
Genesee	1.363	26.597
Orange	422.8	7547.551
