Date	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-02-03	4.518	2.7e-07	4.518	2.7e-07	0.0	0.0	0.0	0.0
2020-02-04	9.036	5.3e-07	13.554	8e-07	0.0	0.0	0.0	0.0
2020-02-05	18.072	1.07e-06	31.626	1.87e-06	0.0	0.0	0.0	0.0
2020-02-06	36.145	2.14e-06	67.771	4.01e-06	0.0	0.0	0.0	0.0
2020-02-07	62.801	3.71e-06	130.572	7.72e-06	0.0	0.0	0.0	0.0
2020-02-08	125.602	7.43e-06	256.174	1.515e-05	0.0	0.0	0.0	0.0
2020-02-09	188.403	1.114e-05	444.578	2.63e-05	0.0	0.0	0.0	0.0
2020-02-10	376.807	2.229e-05	821.384	4.858e-05	0.0	0.0	0.0	0.0
2020-02-11	628.011	3.715e-05	1449.395	8.573e-05	0.0	0.0	0.0	0.0
2020-02-12	942.016	5.572e-05	2391.411	0.00014145	0.0	0.0	0.0	0.0
2020-02-13	1256.022	7.429e-05	3647.433	0.00021574	0.027	0.0	0.027	0.0
2020-02-14	1570.027	9.287e-05	5217.461	0.00030861	0.054	0.0	0.081	0.0
2020-02-15	1884.033	0.00011144	7101.493	0.00042005	0.108	1e-08	0.19	1e-08
2020-02-16	2198.038	0.00013001	9299.532	0.00055006	0.217	1e-08	0.407	2e-08
2020-02-17	2637.646	0.00015602	11937.178	0.00070608	0.377	2e-08	0.783	5e-08
2020-02-18	3140.055	0.00018573	15077.232	0.00089181	0.754	4e-08	1.537	9e-08
2020-02-19	3768.066	0.00022288	18845.298	0.00111469	1.13	7e-08	2.667	1.6e-07
2020-02-20	4521.679	0.00026746	23366.977	0.00138215	2.261	1.3e-07	4.928	2.9e-07
2020-02-21	5840.502	0.00034546	29207.478	0.00172761	3.768	2.2e-07	8.696	5.1e-07
2020-02-22	8226.943	0.00048662	37434.422	0.00221423	5.652	3.3e-07	14.348	8.5e-07
2020-02-23	11869.407	0.00070207	49303.828	0.0029163	7.536	4.5e-07	21.885	1.29e-06
2020-02-24	14641.028	0.00086601	63944.857	0.00378231	9.42	5.6e-07	31.305	1.85e-06
2020-02-25	18329.546	0.00108419	82274.402	0.0048665	11.304	6.7e-07	42.609	2.52e-06
2020-02-26	22319.509	0.00132019	104593.911	0.00618669	13.188	7.8e-07	55.797	3.3e-06
2020-02-27	27121.699	0.00160424	131715.61	0.00779093	15.826	9.4e-07	71.623	4.24e-06
2020-02-28	32644.008	0.00193088	164359.618	0.00972181	18.84	1.11e-06	90.463	5.35e-06
2020-02-29	39954.056	0.00236327	204313.674	0.01208507	22.608	1.34e-06	113.072	6.69e-06
2020-03-01	49344.913	0.00291873	253658.587	0.01500381	27.13	1.6e-06	140.202	8.29e-06
2020-03-02	60699.35	0.00359034	314357.937	0.01859415	35.043	2.07e-06	175.245	1.037e-05
2020-03-03	73087.913	0.00432312	387445.85	0.02291727	49.362	2.92e-06	224.607	1.329e-05
2020-03-04	87628.459	0.00518319	475074.309	0.02810046	71.216	4.21e-06	295.823	1.75e-05
2020-03-05	102922.619	0.00608783	577996.928	0.03418829	87.846	5.2e-06	383.669	2.269e-05
2020-03-06	119665.39	0.00707816	697662.318	0.04126645	109.977	6.51e-06	493.646	2.92e-05
2020-03-07	138354.996	0.00818364	836017.314	0.0494501	133.917	7.92e-06	627.563	3.712e-05
2020-03-08	159619.446	0.00944143	995636.76	0.05889152	162.73	9.63e-06	790.294	4.675e-05
2020-03-09	180197.271	0.0106586	1175834.031	0.06955012	195.864	1.159e-05	986.158	5.833e-05
2020-03-10	197388.024	0.01167542	1373222.055	0.08122555	239.724	1.418e-05	1225.882	7.251e-05
2020-03-11	213075.737	0.01260335	1586297.792	0.09382889	296.069	1.751e-05	1521.952	9.002e-05
2020-03-12	231338.295	0.01368357	1817636.087	0.10751246	364.196	2.154e-05	1886.148	0.00011156
2020-03-13	255022.681	0.01508449	2072658.768	0.12259695	438.527	2.594e-05	2324.675	0.0001375
2020-03-14	283392.028	0.01676253	2356050.796	0.13935948	525.771	3.11e-05	2850.446	0.0001686
2020-03-15	312628.031	0.01849183	2668678.826	0.1578513	617.536	3.653e-05	3467.982	0.00020513
2020-03-16	326565.687	0.01931623	2995244.513	0.17716754	717.992	4.247e-05	4185.974	0.0002476
2020-03-17	339125.905	0.02005916	3334370.418	0.1972267	830.13	4.91e-05	5016.104	0.0002967
2020-03-18	345406.015	0.02043063	3679776.433	0.21765733	957.717	5.665e-05	5973.821	0.00035335
2020-03-19	351686.124	0.0208021	4031462.557	0.23845943	1081.184	6.395e-05	7055.004	0.0004173
2020-03-20	351686.124	0.0208021	4383148.681	0.25926152	1184.328	7.005e-05	8239.332	0.00048735
2020-03-21	348546.069	0.02061636	4731694.75	0.27987789	1278.454	7.562e-05	9517.787	0.00056297
2020-03-22	345406.015	0.02043063	5077100.764	0.30030852	1388.03	8.21e-05	10905.817	0.00064507
2020-03-23	342265.96	0.0202449	5419366.724	0.32055341	1530.136	9.051e-05	12435.953	0.00073558
2020-03-24	335985.851	0.01987343	5755352.575	0.34042684	1700.352	0.00010058	14136.305	0.00083616
