Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Magallanes	1363.0	15.0	0.0	1348.0	N/A	N/A	N/A	N/A	5000.0	2307.69230769	1500.0	N/A	N/A	N/A
Coquimbo	2485.0	17.0	0.0	2468.0	N/A	N/A	N/A	N/A	5666.66666667	2615.38461538	1700.0	N/A	N/A	N/A
Metropolitana	200861.0	3895.0	0.0	196966.0	N/A	N/A	N/A	N/A	1298333.33333	599230.769231	389500.0	N/A	N/A	N/A
Arica y Parinacota	1443.0	12.0	0.0	1431.0	N/A	N/A	N/A	N/A	4000.0	1846.15384615	1200.0	N/A	N/A	N/A
Biobio	5328.0	35.0	0.0	5293.0	N/A	N/A	N/A	N/A	11666.6666667	5384.61538462	3500.0	N/A	N/A	N/A
Tarapaca	5442.0	80.0	0.0	5362.0	N/A	N/A	N/A	N/A	26666.6666667	12307.6923077	8000.0	N/A	N/A	N/A
Unknown	0.0	0.0	210570.0	-210570.0	N/A	N/A	N/A	N/A	0.0	0.0	0.0	N/A	N/A	N/A
Maule	4504.0	33.0	0.0	4471.0	N/A	N/A	N/A	N/A	11000.0	5076.92307692	3300.0	N/A	N/A	N/A
Valparaiso	9901.0	170.0	0.0	9731.0	N/A	N/A	N/A	N/A	56666.6666667	26153.8461538	17000.0	N/A	N/A	N/A
Los Lagos	1466.0	17.0	0.0	1449.0	N/A	N/A	N/A	N/A	5666.66666667	2615.38461538	1700.0	N/A	N/A	N/A
Atacama	747.0	2.0	0.0	745.0	N/A	N/A	N/A	N/A	666.666666667	307.692307692	200.0	N/A	N/A	N/A
Antofagasta	6991.0	100.0	0.0	6891.0	N/A	N/A	N/A	N/A	33333.3333333	15384.6153846	10000.0	N/A	N/A	N/A
Nuble	2195.0	28.0	0.0	2167.0	N/A	N/A	N/A	N/A	9333.33333333	4307.69230769	2800.0	N/A	N/A	N/A
Los Rios	625.0	10.0	0.0	615.0	N/A	N/A	N/A	N/A	3333.33333333	1538.46153846	1000.0	N/A	N/A	N/A
Araucania	3027.0	39.0	0.0	2988.0	N/A	N/A	N/A	N/A	13000.0	6000.0	3900.0	N/A	N/A	N/A
OHiggins	4361.0	52.0	0.0	4309.0	N/A	N/A	N/A	N/A	17333.3333333	8000.0	5200.0	N/A	N/A	N/A
Aysen	28.0	0.0	0.0	28.0	N/A	N/A	N/A	N/A	140.0	56.0	35.0	N/A	N/A	N/A
