Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita
Canada	6280	64	0	0	1.6946e-4	1.73e-6	21333.3333333	9846.15384615	6400	5.76666666667e-4	2.66153846154e-4	1.73e-4	210435	0.005553
Jamaica	32	1	2	29	1.09e-5	3.4e-7	333.333333333	153.846153846	100	1.13333333333e-4	5.23076923077e-5	3.4e-5	NA	NA
Honduras	110	3	3	104	1.147e-5	3.1e-7	1000	461.538461538	300	1.03333333333e-4	4.76923076923e-5	3.1e-5	NA	NA
Saint Lucia	9	0	1	8	4.948e-5	0	45	18	11.25	2.474e-4	9.896e-5	6.185e-5	NA	NA
Cuba	139	3	4	132	1.226e-5	2.6e-7	1000	461.538461538	300	8.66666666667e-5	4e-5	2.6e-5	NA	NA
El Salvador	24	0	0	24	3.74e-6	0	120	48	30	1.87e-5	7.48e-6	4.675e-6	NA	NA
The Bahamas	11	0	1	10	2.852e-5	0	55	22	13.75	1.426e-4	5.704e-5	3.565e-5	NA	NA
Panama	901	17	4	880	2.1571e-4	4.07e-6	5666.66666667	2615.38461538	1700	0.00135666666667	6.26153846154e-4	4.07e-4	NA	NA
Mexico	848	16	4	828	6.72e-6	1.3e-7	5333.33333333	2461.53846154	1600	4.33333333333e-5	2e-5	1.3e-5	NA	NA
United States of America	140909	2467	0	0	4.3069e-4	7.54e-6	822333.333333	379538.461538	246700	0.00251333333333	0.00116	7.54e-4	916995	0.002794
Costa Rica	314	2	3	309	6.281e-5	4e-7	666.666666667	307.692307692	200	1.33333333333e-4	6.15384615385e-5	4e-5	NA	NA
Saint Kitts and Nevis	2	0	0	2	3.814e-5	0	10	4	2.5	1.907e-4	7.628e-5	4.7675e-5	NA	NA
Trinidad and Tobago	78	3	1	74	5.612e-5	2.16e-6	1000	461.538461538	300	7.2e-4	3.32307692308e-4	2.16e-4	NA	NA
Guatemala	34	1	10	23	1.97e-6	6e-8	333.333333333	153.846153846	100	2e-5	9.23076923077e-6	6e-6	NA	NA
Antigua and Barbuda	7	0	0	7	7.27e-5	0	35	14	8.75	3.635e-4	1.454e-4	9.0875e-5	NA	NA
Paraguay	59	3	1	55	8.48e-6	4.3e-7	1000	461.538461538	300	1.43333333333e-4	6.61538461538e-5	4.3e-5	NA	NA
Saint Vincent and the Grenadines	1	0	1	0	9.07e-6	0	5	2	1.25	4.535e-5	1.814e-5	1.13375e-5	NA	NA
Dominican Republic	859	39	3	817	8.083e-5	3.67e-6	13000	6000	3900	0.00122333333333	5.64615384615e-4	3.67e-4	NA	NA
Nicaragua	4	1	0	3	6.2e-7	1.5e-7	333.333333333	153.846153846	100	5e-5	2.30769230769e-5	1.5e-5	NA	NA
Haiti	15	0	1	14	1.35e-6	0	75	30	18.75	6.75e-6	2.7e-6	1.6875e-6	NA	NA
Dominica	11	0	0	11	1.5358e-4	0	55	22	13.75	7.679e-4	3.0716e-4	1.91975e-4	NA	NA
