Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change	Tests	Tests_per_capita
Canada	12978	218	0	0	3.502e-4	5.88e-6	72666.6666667	33538.4615385	21800	0.00196	9.04615384615e-4	5.88e-4	541	39	-53.1	-2.5	317972	0.008425
Jamaica	53	3	7	43	1.806e-5	1.02e-6	1000	461.538461538	300	3.4e-4	1.56923076923e-4	1.02e-4	6	0	100	100	540	1.82e-4
Honduras	264	15	3	246	2.754e-5	1.56e-6	5000	2307.69230769	1500	5.2e-4	2.4e-4	1.56e-4	42	0	1300	-100	0	0
Saint Lucia	14	0	1	13	7.697e-5	0	70	28	17.5	3.8485e-4	1.5394e-4	9.62125e-5	1	0	100	100	0	0
Cuba	288	6	15	267	2.54e-5	5.3e-7	2000	923.076923077	600	1.76666666667e-4	8.15384615385e-5	5.3e-5	19	0	-47.2	100	3342	2.95e-4
El Salvador	56	3	2	51	8.72e-6	4.7e-7	1000	461.538461538	300	1.56666666667e-4	7.23076923077e-5	4.7e-5	10	1	100	100	0	0
The Bahamas	28	4	0	24	7.261e-5	1.037e-5	1333.33333333	615.384615385	400	0.00345666666667	0.00159538461538	0.001037	4	3	100	100	NA	NA
Panama	1673	41	13	1619	4.0054e-4	9.8200000000000008e-006	13666.6666667	6307.69230769	4100	0.00327333333333	0.00151076923077	9.82e-4	198	4	25.3	-20	7333	0.0017
Mexico	1688	60	633	995	1.338e-5	4.8e-7	20000	9230.76923077	6000	1.6e-4	7.38461538462e-5	4.8e-5	178	10	34.8	-23.1	15668	1.22e-4
United States of America	308848	8407	0	0	9.4401e-4	2.57e-5	2802333.33333	1293384.61538	840700	0.00856666666667	0.00395384615385	0.00257	33264	1320	3.5	13.7	1626287	0.004913
Costa Rica	435	2	13	420	8.701e-5	4e-7	666.666666667	307.692307692	200	1.33333333333e-4	6.15384615385e-5	4e-5	19	0	-5	100	4654	9.14e-4
Saint Kitts and Nevis	9	0	0	9	1.7162e-4	0	45	18	11.25	8.581e-4	3.4324e-4	2.14525e-4	0	0	100	100	113	0.002124
Trinidad and Tobago	103	6	1	96	7.411e-5	4.32e-6	2000	923.076923077	600	0.00144	6.64615384615e-4	4.32e-4	5	0	25	-100	736	5.26e-4
Guatemala	61	2	15	44	3.54e-6	1.2e-7	666.666666667	307.692307692	200	4e-5	1.84615384615e-5	1.2e-5	11	1	266.7	100	0	0
Antigua and Barbuda	15	0	0	15	1.5579e-4	0	75	30	18.75	7.7895e-4	3.1158e-4	1.947375e-4	0	0	-100	100	40	4.08e-4
Paraguay	96	3	12	81	1.38e-5	4.3e-7	1000	461.538461538	300	1.43333333333e-4	6.61538461538e-5	4.3e-5	4	0	-73.3	100	1289	1.81e-4
Saint Vincent and the Grenadines	7	0	1	6	6.352e-5	0	35	14	8.75	3.176e-4	1.2704e-4	7.94e-5	4	0	300	100	NA	NA
Dominican Republic	1488	68	16	1404	1.4002e-4	6.4e-6	22666.6666667	10461.5384615	6800	0.00213333333333	9.84615384615e-4	6.4e-4	0	0	-100	-100	4200	3.87e-4
Nicaragua	5	1	0	4	7.7e-7	1.5e-7	333.333333333	153.846153846	100	5e-5	2.30769230769e-5	1.5e-5	0	0	100	100	0	0
Haiti	20	0	1	19	1.8e-6	0	100	40	25	9e-6	3.6e-6	2.25e-6	2	0	0	100	200	1.8e-5
Dominica	14	0	0	14	1.9546e-4	0	70	28	17.5	9.773e-4	3.9092e-4	2.44325e-4	2	0	100	100	255	0.003542
