Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Date
Indonesia	117	5	8	N/A	4.4e-7	2e-8	1666.66666667	769.230769231	500	6.66666666667e-6	3.07692307692e-6	2e-6	NA	NA	2020-03-15
Indonesia	134	5	8	N/A	5e-7	2e-8	1666.66666667	769.230769231	500	6.66666666667e-6	3.07692307692e-6	2e-6	17	0	NA	NA	2020-03-16
Indonesia	172	5	8	N/A	6.4e-7	2e-8	1666.66666667	769.230769231	500	6.66666666667e-6	3.07692307692e-6	2e-6	38	0	123.5	0	NA	NA	2020-03-17
Indonesia	227	19	11	N/A	8.5e-7	7e-8	6333.33333333	2923.07692308	1900	2.33333333333e-5	1.07692307692e-5	7e-6	55	14	44.7	0	NA	NA	2020-03-18
Indonesia	311	25	11	N/A	1.16e-6	9e-8	8333.33333333	3846.15384615	2500	3e-5	1.38461538462e-5	9e-6	84	6	0	0	1651	6.05e-6	2020-03-19
Indonesia	369	32	15	N/A	1.38e-6	1.2e-7	10666.6666667	4923.07692308	3200	4e-5	1.84615384615e-5	1.2e-5	58	7	-31	0	1939	7.1e-6	2020-03-20
Indonesia	450	38	15	N/A	1.68e-6	1.4e-7	12666.6666667	5846.15384615	3800	4.66666666667e-5	2.15384615385e-5	1.4e-5	81	6	39.7	-14.3	NA	NA	2020-03-21
Indonesia	514	48	29	437	1.92e-6	1.8e-7	16000	7384.61538462	4800	6e-5	2.76923076923e-5	1.8e-5	64	10	0	0	2409	9e-6	2020-03-22
Indonesia	579	49	30	500	2.16e-6	1.8e-7	16333.3333333	7538.46153846	4900	6e-5	2.76923076923e-5	1.8e-5	65	1	0	0	NA	NA	2020-03-23
Indonesia	686	55	30	601	2.56e-6	2.1e-7	18333.3333333	8461.53846154	5500	7e-5	3.23076923077e-5	2.1e-5	107	6	0	0	2863	1.07e-5	2020-03-24
Indonesia	790	58	31	701	2.95e-6	2.2e-7	19333.3333333	8923.07692308	5800	7.33333333333e-5	3.38461538462e-5	2.2e-5	104	3	0	0	3332	1.24e-5	2020-03-25
Indonesia	893	78	35	780	3.34e-6	2.9e-7	26000	12000	7800	9.66666666667e-5	4.46153846154e-5	2.9e-5	103	20	0	0	3925	1.47e-5	2020-03-26
Indonesia	1046	87	46	913	3.91e-6	3.3e-7	29000	13384.6153846	8700	1.1e-4	5.07692307692e-5	3.3e-5	153	9	0	0	NA	NA	2020-03-27
Indonesia	1155	102	59	994	4.32e-6	3.8e-7	34000	15692.3076923	10200	1.26666666667e-4	5.84615384615e-5	3.8e-5	109	15	0	0	5884	2.2e-5	2020-03-28
Indonesia	1285	114	64	1107	4.8e-6	4.3e-7	38000	17538.4615385	11400	1.43333333333e-4	6.61538461538e-5	4.3e-5	130	12	0	0	NA	NA	2020-03-29
Indonesia	1414	122	75	1217	5.28e-6	4.6e-7	40666.6666667	18769.2307692	12200	1.53333333333e-4	7.07692307692e-5	4.6e-5	129	8	0	0	6534	2.4e-5	2020-03-30
Indonesia	1528	136	81	1311	5.71e-6	5.1e-7	45333.3333333	20923.0769231	13600	1.7e-4	7.84615384615e-5	5.1e-5	114	14	0	0	6663	2.5e-5	2020-03-31
Indonesia	1677	157	103	1417	6.27e-6	5.9e-7	52333.3333333	24153.8461538	15700	1.96666666667e-4	9.07692307692e-5	5.9e-5	149	21	0	0	NA	NA	2020-04-01
Indonesia	1790	170	112	1508	6.69e-6	6.4e-7	56666.6666667	26153.8461538	17000	2.13333333333e-4	9.84615384615e-5	6.4e-5	113	13	0	0	7193	2.7e-5	2020-04-02
Indonesia	1986	181	134	1671	7.42e-6	6.8e-7	60333.3333333	27846.1538462	18100	2.26666666667e-4	1.04615384615e-4	6.8e-5	196	11	0	0	NA	NA	2020-04-03
Indonesia	2092.0	191.0	150.0	1751.0	7.82e-06	7.1e-07	63666.6666667	29384.6153846	19100.0	0.000236666666667	0.000109230769231	7.1e-05	2020-04-04
Indonesia	2273.0	198.0	164.0	1911.0	8.49e-06	7.4e-07	66000.0	30461.5384615	19800.0	0.000246666666667	0.000113846153846	7.4e-05	2020-04-05
