Name	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Guernsey	0.013	2e-07	0.157	2.34e-06	0.0	0.0	0.001	1e-08
Vatican	0.0	1.5e-07	0.002	3.03e-06	0.0	0.0	0.0	2e-08
Lithuania	0.064	2e-08	10.394	3.73e-06	0.0	0.0	0.062	2e-08
Slovenia	0.133	6e-08	7.253	3.51e-06	0.001	0.0	0.044	2e-08
Bosnia and Herzegovina	0.213	6e-08	11.661	3.51e-06	0.001	0.0	0.07	2e-08
Netherlands	0.309	2e-08	64.514	3.74e-06	0.002	0.0	0.387	2e-08
Monaco	0.001	3e-08	0.143	3.7e-06	0.0	0.0	0.001	2e-08
Jersey	0.02	2e-07	0.228	2.34e-06	0.0	0.0	0.001	1e-08
Albania	0.368	1.3e-07	9.056	3.16e-06	0.002	0.0	0.054	2e-08
Azerbaijan	0.331	3e-08	36.536	3.67e-06	0.002	0.0	0.219	2e-08
Republic of Serbia	0.555	8e-08	24.046	3.44e-06	0.003	0.0	0.144	2e-08
Belarus	0.219	2e-08	35.344	3.73e-06	0.001	0.0	0.212	2e-08
Turkey	14.144	1.7e-07	237.279	2.88e-06	0.085	0.0	1.424	2e-08
Czech Republic	0.354	3e-08	39.047	3.67e-06	0.002	0.0	0.234	2e-08
San Marino	0.001	2e-08	0.126	3.74e-06	0.0	0.0	0.001	2e-08
Slovakia	0.433	8e-08	18.76	3.44e-06	0.003	0.0	0.113	2e-08
Norway	0.068	1e-08	19.965	3.76e-06	0.0	0.0	0.12	2e-08
Montenegro	0.129	2.1e-07	1.079	1.73e-06	0.001	0.0	0.006	1e-08
Armenia	0.098	3e-08	10.847	3.67e-06	0.001	0.0	0.065	2e-08
Ukraine	1.945	4e-08	160.775	3.6e-06	0.012	0.0	0.965	2e-08
Bulgaria	0.775	1.1e-07	22.967	3.27e-06	0.005	0.0	0.138	2e-08
Romania	0.25	1e-08	73.161	3.76e-06	0.001	0.0	0.439	2e-08
Portugal	0.396	4e-08	37.441	3.64e-06	0.002	0.0	0.225	2e-08
Cyprus	0.15	1.3e-07	3.696	3.16e-06	0.001	0.0	0.022	2e-08
Liechtenstein	0.002	5e-08	0.135	3.56e-06	0.0	0.0	0.001	2e-08
Hungary	0.501	5e-08	34.771	3.56e-06	0.003	0.0	0.209	2e-08
Luxembourg	0.017	3e-08	2.25	3.7e-06	0.0	0.0	0.014	2e-08
Andorra	0.003	4e-08	0.28	3.64e-06	0.0	0.0	0.002	2e-08
Georgia	0.048	1e-08	14.017	3.76e-06	0.0	0.0	0.084	2e-08
Denmark	0.104	2e-08	21.706	3.74e-06	0.001	0.0	0.13	2e-08
Poland	1.948	5e-08	135.181	3.56e-06	0.012	0.0	0.811	2e-08
Moldova	0.391	1.1e-07	11.594	3.27e-06	0.002	0.0	0.07	2e-08
Croatia	0.042	1e-08	15.405	3.77e-06	0.0	0.0	0.092	2e-08
Switzerland	0.087	1e-08	32.083	3.77e-06	0.001	0.0	0.192	2e-08
Estonia	0.024	2e-08	4.945	3.74e-06	0.0	0.0	0.03	2e-08
Kosovo	0.374	2e-07	3.951	2.14e-06	0.002	0.0	0.024	1e-08
Malta	0.046	9e-08	1.627	3.36e-06	0.0	0.0	0.01	2e-08
Israel	33.603	3.78e-06	67.206	7.57e-06	0.202	2e-08	0.403	5e-08
Ireland	0.137	3e-08	17.973	3.7e-06	0.001	0.0	0.108	2e-08
Austria	0.091	1e-08	33.328	3.77e-06	0.001	0.0	0.2	2e-08
Greece	0.138	1e-08	40.302	3.76e-06	0.001	0.0	0.242	2e-08
Macedonia	0.027	1e-08	7.825	3.76e-06	0.0	0.0	0.047	2e-08
Latvia	0.074	4e-08	7.015	3.64e-06	0.0	0.0	0.042	2e-08
United Kingdom	9.889	1.5e-07	201.538	3.03e-06	0.059	0.0	1.209	2e-08
Iceland	0.008	2e-08	1.317	3.73e-06	0.0	0.0	0.008	2e-08
