Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Tests	Tests_per_capita
East Timor	1	0	0	1	7.9e-7	0	5	2	1.25	3.95e-6	1.58e-6	9.875e-7	0	0	NA	NA
Afghanistan	74	1	1	72	1.99e-6	3e-8	333.333333333	153.846153846	100	1e-5	4.61538461538e-6	3e-6	34	0	NA	NA
Qatar	526	0	41	485	1.8909e-4	0	2630	1052	657.5	9.4545e-4	3.7818e-4	2.363625e-4	25	0	NA	NA
Bangladesh	39	4	5	30	2.4e-7	2e-8	1333.33333333	615.384615385	400	6.66666666667e-6	3.07692307692e-6	2e-6	6	1	NA	NA
Bhutan	2	0	0	2	2.65e-6	0	10	4	2.5	1.325e-5	5.3e-6	3.3125e-6	0	0	NA	NA
Kuwait	191	0	39	152	4.617e-5	0	955	382	238.75	2.3085e-4	9.234e-5	5.77125e-5	2	0	NA	NA
Nepal	2	0	1	1	7e-8	0	10	4	2.5	3.5e-7	1.4e-7	8.75e-8	0	0	NA	NA
Cambodia	91	0	4	87	5.6e-6	0	455	182	113.75	2.8e-5	1.12e-5	7e-6	4	0	NA	NA
Laos	2	0	0	2	2.8e-7	0	10	4	2.5	1.4e-6	5.6e-7	3.5e-7	NA	NA	NA	NA
Thailand	827	4	52	771	1.191e-5	6e-8	1333.33333333	615.384615385	400	2e-5	9.23076923077e-6	6e-6	106	3	11855	1.71e-4
Bahrain	392	3	177	212	2.4977e-4	1.91e-6	1000	461.538461538	300	6.36666666667e-4	2.93846153846e-4	1.91e-4	15	1	NA	NA
Brunei	104	0	2	102	2.4245e-4	0	520	208	130	0.00121225	4.849e-4	3.030625e-4	13	0	NA	NA
Saudi Arabia	767	1	28	738	2.276e-5	3e-8	333.333333333	153.846153846	100	1e-5	4.61538461538e-6	3e-6	205	1	NA	NA
Iran	24811	1934	8913	13964	3.0331e-4	2.364e-5	644666.666667	297538.461538	193400	0.00788	0.00363692307692	0.002364	1762	122	NA	NA
Singapore	558	2	156	400	9.896e-5	3.5e-7	666.666666667	307.692307692	200	1.16666666667e-4	5.38461538462e-5	3.5e-5	49	0	NA	NA
Jordan	154	0	1	153	1.547e-5	0	770	308	192.5	7.735e-5	3.094e-5	1.93375e-5	27	0	NA	NA
China	81591	3281	73280	5030	5.858e-5	2.36e-6	1093666.66667	504769.230769	328100	7.86666666667e-4	3.63076923077e-4	2.36e-4	95	7	NA	NA
Iraq	316	27	75	214	8.22e-6	7e-7	9000	4153.84615385	2700	2.33333333333e-4	1.07692307692e-4	7e-5	50	4	NA	NA
Kazakhstan	72	0	0	72	3.94e-6	0	360	144	90	1.97e-5	7.88e-6	4.925e-6	10	0	NA	NA
Kyrgyzstan	42	0	0	42	6.65e-6	0	210	84	52.5	3.325e-5	1.33e-5	8.3125e-6	26	0	NA	NA
Maldives	13	0	5	8	2.521e-5	0	65	26	16.25	1.2605e-4	5.042e-5	3.15125e-5	0	0	NA	NA
Oman	84	0	17	67	1.739e-5	0	420	168	105	8.695e-5	3.478e-5	2.17375e-5	18	0	NA	NA
Philippines	552	35	20	497	5.18e-6	3.3e-7	11666.6666667	5384.61538462	3500	1.1e-4	5.07692307692e-5	3.3e-5	90	2	NA	NA
Indonesia	686	55	30	601	2.56e-6	2.1e-7	18333.3333333	8461.53846154	5500	7e-5	3.23076923077e-5	2.1e-5	107	6	2863	1.07e-5
Vietnam	134	0	17	117	1.4e-6	0	670	268	167.5	7e-6	2.8e-6	1.75e-6	11	0	24311	2.5e-4
Mongolia	10	0	0	10	3.15e-6	0	50	20	12.5	1.575e-5	6.3e-6	3.9375e-6	0	0	NA	NA
Japan	1193	43	285	865	9.43e-6	3.4e-7	14333.3333333	6615.38461538	4300	1.13333333333e-4	5.23076923077e-5	3.4e-5	65	1	24430	1.94e-4
Syria	1	0	0	1	6e-8	0	5	2	1.25	3e-7	1.2e-7	7.5e-8	0	0	NA	NA
Taiwan	215	2	29	184	9.04e-6	8e-8	666.666666667	307.692307692	200	2.66666666667e-5	1.23076923077e-5	8e-6	20	0	NA	NA
Pakistan	972	7	18	947	4.58e-6	3e-8	2333.33333333	1076.92307692	700	1e-5	4.61538461538e-6	3e-6	97	1	5857	2.8e-5
United Arab Emirates	248	2	45	201	2.575e-5	2.1e-7	666.666666667	307.692307692	200	7e-5	3.23076923077e-5	2.1e-5	50	0	NA	NA
India	536	10	40	486	4e-7	1e-8	3333.33333333	1538.46153846	1000	3.33333333333e-6	1.53846153846e-6	1e-6	37	0	20864	1.5e-5
Uzbekistan	50	0	0	50	1.52e-6	0	250	100	62.5	7.6e-6	3.04e-6	1.9e-6	4	0	NA	NA
Malaysia	1624	16	183	1425	5.136e-5	5.1e-7	5333.33333333	2461.53846154	1600	1.7e-4	7.84615384615e-5	5.1e-5	106	2	NA	NA
Sri Lanka	102	0	2	100	4.71e-6	0	510	204	127.5	2.355e-5	9.42e-6	5.8875e-6	5	0	NA	NA
Lebanon	318	4	8	306	4.643e-5	5.8e-7	1333.33333333	615.384615385	400	1.93333333333e-4	8.92307692308e-5	5.8e-5	51	0	NA	NA
South Korea	9037	120	3507	5410	1.7502e-4	2.32e-6	40000	18461.5384615	12000	0.00077333333333300005	3.56923076923e-4	2.32e-4	76	9	348582	0.006741
