Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita
East Timor	2	0	1	1	1.58e-6	0	10	4	2.5	7.9e-6	3.16e-6	1.975e-6	NA	NA
Afghanistan	521	15	32	474	1.402e-5	4e-7	5000	2307.69230769	1500	1.33333333333e-4	6.15384615385e-5	4e-5	NA	NA
Qatar	2512	6	227	2279	9.0305e-4	2.16e-6	2000	923.076923077	600	7.2e-4	3.32307692308e-4	2.16e-4	45339	0.015737
Bangladesh	424	27	33	364	2.63e-6	1.7e-7	9000	4153.84615385	2700	5.66666666667e-5	2.61538461538e-5	1.7e-5	7359	4.5e-5
Bhutan	5	0	2	3	6.63e-6	0	25	10	6.25	3.315e-5	1.326e-5	8.2875e-6	1166	0.001511
Kuwait	993	1	123	869	2.4001e-4	2.4e-7	333.333333333	153.846153846	100	8e-5	3.69230769231e-5	2.4e-5	NA	NA
Nepal	9	0	1	8	3.2e-7	0	45	18	11.25	1.6e-6	6.4e-7	4e-7	3524	1.21e-4
Cambodia	119	0	72	47	7.32e-6	0	595	238	148.75	3.66e-5	1.464e-5	9.15e-6	5768	3.45e-4
Laos	16	0	0	16	2.27e-6	0	80	32	20	1.135e-5	4.54e-6	2.8375e-6	1035	1.42e-4
Bahrain	925	6	539	380	5.8938e-4	3.82e-6	2000	923.076923077	600	0.00127333333333	5.87692307692e-4	3.82e-4	57681	0.033899
Brunei	136	1	99	36	3.1704e-4	2.33e-6	333.333333333	153.846153846	100	7.76666666667e-4	3.58461538462e-4	2.33e-4	9342	0.021354
Saudi Arabia	3651	47	685	2919	1.0834e-4	1.39e-6	15666.6666667	7230.76923077	4700	4.63333333333e-4	2.13846153846e-4	1.39e-4	115585	0.00332
Iran	68192	4232	35465	28495	8.3364e-4	5.174e-5	1410666.66667	651076.923077	423200	0.0172466666667	0.00796	0.005174	242568	0.002888
Singapore	2108	7	492	1609	3.7385e-4	1.24e-6	2333.33333333	1076.92307692	700	4.13333333333e-4	1.90769230769e-4	1.24e-4	72680	0.012423
Jordan	372	7	170	195	3.736e-5	7e-7	2333.33333333	1076.92307692	700	2.33333333333e-4	1.07692307692e-4	7e-5	17000	0.001666
Lebanon	609	20	76	513	8.892e-5	2.92e-6	6666.66666667	3076.92307692	2000	9.73333333333e-4	4.49230769231e-4	2.92e-4	13530	0.001982
China	82941	3340	77791	1810	5.955e-5	2.4e-6	1113333.33333	513846.153846	334000	8e-4	3.69230769231e-4	2.4e-4	NA	NA
Iraq	1279	70	550	659	3.328e-5	1.82e-6	23333.3333333	10769.2307692	7000	6.06666666667e-4	2.8e-4	1.82e-4	32158	8e-4
Kazakhstan	812	10	64	738	4.443e-5	5.5e-7	3333.33333333	1538.46153846	1000	1.83333333333e-4	8.46153846154e-5	5.5e-5	61955	0.0033
Kyrgyzstan	298	5	35	258	4.718e-5	7.9e-7	1666.66666667	769.230769231	500	2.63333333333e-4	1.21538461538e-4	7.9e-5	9618	0.001474
Maldives	19	0	13	6	3.684e-5	0	95	38	23.75	1.842e-4	7.368e-5	4.605e-5	NA	NA
Oman	484	3	109	372	1.0022e-4	6.2e-7	1000	461.538461538	300	2.06666666667e-4	9.53846153846e-5	6.2e-5	NA	NA
Philippines	4195	221	140	3834	3.933e-5	2.07e-6	73666.6666667	34000	22100	6.9e-4	3.18461538462e-4	2.07e-4	24500	2.24e-4
Indonesia	3512	306	282	2924	1.312e-5	1.14e-6	102000	47076.9230769	30600	3.8e-4	1.75384615385e-4	1.14e-4	17679	6.5e-5
Vietnam	257	0	144	113	2.69e-6	0	1285	514	321.25	1.345e-5	5.38e-6	3.3625e-6	118807	0.001221
Mongolia	16	0	4	12	5.05e-6	0	80	32	20	2.525e-5	1.01e-5	6.3125e-6	NA	NA
Thailand	2473	33	1013	1427	3.562e-5	4.8e-7	11000	5076.92307692	3300	1.6e-4	7.38461538462e-5	4.8e-5	71860	0.00103
Syria	19	2	4	13	1.12e-6	1.2e-7	666.666666667	307.692307692	200	4e-5	1.84615384615e-5	1.2e-5	NA	NA
Yemen	1	0	0	1	4e-8	0	5	2	1.25	2e-7	8e-8	5e-8	NA	NA
Taiwan	382	6	91	285	1.606e-5	2.5e-7	2000	923.076923077	600	8.33333333333e-5	3.84615384615e-5	2.5e-5	43886	0.001843
Pakistan	4695	66	727	3902	2.212e-5	3.1e-7	22000	10153.8461538	6600	1.03333333333e-4	4.76923076923e-5	3.1e-5	54706	2.48e-4
Myanmar	27	3	2	22	5e-7	6e-8	1000	461.538461538	300	2e-5	9.23076923077e-6	6e-6	1406	2.6e-5
United Arab Emirates	3360	16	418	2926	3.4887e-4	1.66e-6	5333.33333333	2461.53846154	1600	5.53333333333e-4	2.55384615385e-4	1.66e-4	593095	0.059967
India	7598	246	774	6578	5.62e-6	1.8e-7	82000	37846.1538462	24600	6e-5	2.76923076923e-5	1.8e-5	189111	1.37e-4
Uzbekistan	624	3	42	579	1.893e-5	9e-8	1000	461.538461538	300	3e-5	1.38461538462e-5	9e-6	70000	0.002091
Malaysia	4346	70	1830	2446	1.3744e-4	2.21e-6	23333.3333333	10769.2307692	7000	7.36666666667e-4	3.4e-4	2.21e-4	69675	0.002153
Sri Lanka	190	7	54	129	8.77e-6	3.2e-7	2333.33333333	1076.92307692	700	1.06666666667e-4	4.92307692308e-5	3.2e-5	3248	1.52e-4
Japan	5530	99	685	4746	4.371e-5	7.8e-7	33000	15230.7692308	9900	2.6e-4	1.2e-4	7.8e-5	64387	5.09e-4
South Korea	10450	208	7117	3125	2.0238e-4	4.03e-6	69333.3333333	32000	20800	0.00134333333333	6.2e-4	4.03e-4	503051	0.009812
