Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita
Canada	17872	375	0	0	4.8226e-4	1.012e-5	125000	57692.3076923	37500	0.00337333333333	0.00155692307692	0.001012	346507	0.009181
Jamaica	63	3	8	52	2.147e-5	1.02e-6	1000	461.538461538	300	3.4e-4	1.56923076923e-4	1.02e-4	540	1.82e-4
Honduras	305	22	6	277	3.181e-5	2.29e-6	7333.33333333	3384.61538462	2200	7.63333333333e-4	3.52307692308e-4	2.29e-4	NA	NA
Saint Lucia	14	0	1	13	7.697e-5	0	70	28	17.5	3.8485e-4	1.5394e-4	9.62125e-5	NA	NA
Cuba	396	11	27	358	3.493e-5	9.7e-7	3666.66666667	1692.30769231	1100	3.23333333333e-4	1.49230769231e-4	9.7e-5	7054	6.23e-4
El Salvador	78	4	5	69	1.215e-5	6.2e-7	1333.33333333	615.384615385	400	2.06666666667e-4	9.53846153846e-5	6.2e-5	NA	NA
The Bahamas	33	6	5	22	8.557e-5	1.556e-5	2000	923.076923077	600	0.00518666666667	0.00239384615385	0.001556	NA	NA
Panama	2100	55	14	2031	5.0277e-4	1.317e-5	18333.3333333	8461.53846154	5500	0.00439	0.00202615384615	0.001317	10297	0.002386
Mexico	2439	125	633	1681	1.933e-5	9.9e-7	41666.6666667	19230.7692308	12500	3.3e-4	1.52307692308e-4	9.9e-5	20475	1.59e-4
United States of America	396221	12721	0	0	0.00121106	3.888e-5	4240333.33333	1957076.92308	1272100	0.01296	0.00598153846154	0.003888	2065073	0.006239
Costa Rica	483	2	24	457	9.661e-5	4e-7	666.666666667	307.692307692	200	1.33333333333e-4	6.15384615385e-5	4e-5	5525	0.001085
Saint Kitts and Nevis	11	0	0	11	2.0976e-4	0	55	22	13.75	0.0010488	4.1952e-4	2.622e-4	183	0.00344
Trinidad and Tobago	107	8	1	98	7.699e-5	5.76e-6	2666.66666667	1230.76923077	800	0.00192	8.86153846154e-4	5.76e-4	878	6.27e-4
Guatemala	77	3	17	57	4.46e-6	1.7e-7	1000	461.538461538	300	5.66666666667e-5	2.61538461538e-5	1.7e-5	1134	6.3e-5
Antigua and Barbuda	19	1	0	18	1.9733e-4	1.039e-5	333.333333333	153.846153846	100	0.00346333333333	0.00159846153846	0.001039	40	4.08e-4
Paraguay	115	5	15	95	1.653e-5	7.2e-7	1666.66666667	769.230769231	500	2.4e-4	1.10769230769e-4	7.2e-5	2039	2.86e-4
Saint Vincent and the Grenadines	8	0	1	7	7.259e-5	0	40	16	10	3.6295e-4	1.4518e-4	9.07375e-5	NA	NA
Dominican Republic	1956	98	36	1822	1.8406e-4	9.22e-6	32666.6666667	15076.9230769	9800	0.00307333333333	0.00141846153846	9.22e-4	4542	4.19e-4
Nicaragua	6	1	0	5	9.3e-7	1.5e-7	333.333333333	153.846153846	100	5e-5	2.30769230769e-5	1.5e-5	NA	NA
Haiti	25	1	0	24	2.25e-6	9e-8	333.333333333	153.846153846	100	3e-5	1.38461538462e-5	9e-6	257	2.3e-5
Dominica	15	0	1	14	2.0942e-4	0	75	30	18.75	0.0010471	4.1884e-4	2.61775e-4	293	0.00407
