Name	Predicted_New_Cases	Total_Predicted_New_Cases
Logan	0.0	0.0
Choctaw	0.0	0.0
Wagoner	0.011	278.168
Sequoyah	0.0	0.0
McClain	1.985	906.188
Beckham	0.0	0.0
Noble	0.0	0.0
Love	0.0	0.0
Pawnee	0.993	453.09
Oklahoma	0.007	439.65
McIntosh	0.0	0.0
Custer	0.0	0.0
Cotton	0.0	0.0
Le Flore	0.0	0.0
Caddo	0.419	298.484
Carter	0.0	0.0
Grady	2.978	1360.284
Major	0.0	0.0
Washita	0.0	0.0
Pontotoc	0.0	1.0
Seminole	0.639	455.156
Mayes	4.666	2270.131
Okmulgee	0.374	325.107
Muskogee	0.0	21.779
Latimer	0.0	0.0
Craig	0.816	454.969
Pittsburg	1.514	910.442
Texas	1.278	910.318
Canadian	0.047	113.904
Tillman	0.0	0.0
McCurtain	0.0	0.0
Tulsa	0.158	1030.829
Cleveland	0.432	748.984
Garvin	0.993	454.09
Grant	0.0	0.0
Adair	0.169	341.095
Jackson	0.0	0.0
