Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Date
Nova Scotia	5	0	0	N/A	5.15e-06	0.0	25	10	6.25	2.575e-05	1.03e-05	6.4375e-06	NA	NA	NA	NA	2020-03-16
Nova Scotia	7	0	0	N/A	7.21e-06	0.0	35	14	8.75	3.605e-05	1.442e-05	9.0125e-06	2	0	100	100	NA	NA	2020-03-17
Nova Scotia	12	0	0	N/A	1.235e-05	0.0	60	24	15	6.175e-05	2.47e-05	1.54375e-05	5	0	150	100	NA	NA	2020-03-18
Nova Scotia	14	0	0	N/A	1.441e-05	0.0	70	28	17.5	7.205e-05	2.882e-05	1.80125e-05	2	0	-60	100	NA	NA	2020-03-19
Nova Scotia	15	0	0	N/A	1.544e-05	0.0	75	30	18.75	7.72e-05	3.088e-05	1.93e-05	1	0	-50	100	1551	0.001587	2020-03-20
Nova Scotia	21	0	0	N/A	2.162e-05	0.0	105	42	26.25	0.0001081	4.324e-05	2.7025e-05	6	0	500	100	NA	NA	2020-03-21
Nova Scotia	28	0	0	0	2.882e-05	0.0	140	56	35	0.0001441	5.764e-05	3.6025e-05	7	0	16.7	100	NA	NA	2020-03-22
Nova Scotia	41	0	0	0	4.221e-05	0.0	205	82	51.25	0.00021105	8.442e-05	5.27625e-05	13	0	85.7	100	2349	0.002403	2020-03-23
Nova Scotia	41	0	0	0	4.221e-05	0.0	205	82	51.25	0.00021105	8.442e-05	5.27625e-05	13	0	85.7	100	2349	0.002403	2020-03-23
Nova Scotia	51	0	0	0	5.25e-05	0.0	255	102	63.75	0.0002625	0.000105	6.5625e-05	10	0	-23.1	100	NA	NA	2020-03-24
Nova Scotia	68	0	0	0	7e-05	0.0	340	136	85	0.00035	0.00014	8.75e-05	17	0	70	0	NA	NA	2020-03-25
Nova Scotia	73	0	0	0	7.515e-05	0.0	365	146	91.25	0.00037575	0.0001503	9.39375e-05	5	0	-70.6	100	NA	NA	2020-03-26
Nova Scotia	90	0	0	0	9.265e-05	0.0	450	180	112.5	0.00046325	0.0001853	0.0001158125	17	0	240	100	3739	0.003825	2020-03-27
Nova Scotia	110	0	0	0	0.00011324	0.0	550	220	137.5	0.0005662	0.00022648	0.00014155	20	0	17.6	100	NA	NA	2020-03-28
Nova Scotia	122	0	0	0	0.00012559	0.0	610	244	152.5	0.00062795	0.00025118	0.0001569875	12	0	-40	100	4853	0.004965	2020-03-29
Nova Scotia	127	0	0	0	0.00013074	0.0	635	254	158.75	0.0006537	0.00026148	0.000163425	5	0	-58.3	100	5172	0.005291	2020-03-30
Nova Scotia	127	0	0	0	0.00013074	0.0	635	254	158.75	0.0006537	0.00026148	0.000163425	5	0	-58.3	100	5172	0.005291	2020-03-30
Nova Scotia	147	0	0	0	0.00015133	0.0	735	294	183.75	0.00075665	0.00030266	0.0001891625	20	0	300	100	NA	NA	2020-03-31
Nova Scotia	173	0	0	0	0.00017809	0.0	865	346	216.25	0.00089045	0.00035618	0.0002226125	26	0	30	100	NA	NA	2020-04-01
Nova Scotia	193	0	0	0	0.00019868	0.0	965	386	241.25	0.0009934	0.00039736	0.00024835	20	0	-23.1	100	NA	NA	2020-04-02
Nova Scotia	207	0	0	0	0.0002131	0.0	1035	414	258.75	0.0010655	0.0004262	0.000266375	14	0	-30	100	NA	NA	2020-04-03
Nova Scotia	236	0	0	0	0.00024295	0.0	1180	472	295	0.00121475	0.0004859	0.0003036875	29	0	107.1	100	2020-04-04
Nova Scotia	262	0	0	0	0.00026972	0.0	1310	524	327.5	0.0013486	0.00053944	0.00033715	26	0	-10.3	100	2020-04-05
