Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change	Tests	Tests_per_capita
Brazil	10360	445	127	9788	4.946e-5	2.12e-6	148333.333333	68461.5384615	44500	7.06666666667e-4	3.26153846154e-4	2.12e-4	1304	86	28.9	145.7	54824	2.58e-4
Belize	4	0	0	4	1.044e-5	0	20	8	5	5.22e-5	2.088e-5	1.305e-5	0	0	-100	100	25	6.3e-5
Colombia	1406	32	85	1289	2.832e-5	6.4e-7	10666.6666667	4923.07692308	3200	2.13333333333e-4	9.84615384615e-5	6.4e-5	139	7	31.1	16.7	23706	4.66e-4
Suriname	10	1	0	9	1.736e-5	1.74e-6	333.333333333	153.846153846	100	5.8e-4	2.67692307692e-4	1.74e-4	0	0	100	-100	0	0
Uruguay	400	5	93	302	1.1597e-4	1.45e-6	1666.66666667	769.230769231	500	4.83333333333e-4	2.23076923077e-4	1.45e-4	31	1	63.2	100	4786	0.001378
Peru	1746	73	914	759	5.458e-5	2.28e-6	24333.3333333	11230.7692308	7300	7.6e-4	3.50769230769e-4	2.28e-4	151	12	-16.6	100	17841	5.41e-4
Ecuador	3465	172	100	3193	2.0282e-4	1.007e-5	57333.3333333	26461.5384615	17200	0.00335666666667	0.00154923076923	0.001007	97	27	-52.7	8	10317	5.85e-4
Chile	4161	27	528	3606	2.2217e-4	1.44e-6	9000	4153.84615385	2700	4.8e-4	2.21538461538e-4	1.44e-4	424	5	27.3	25	48613	0.002543
Guyana	23	4	0	19	2.952e-5	5.13e-6	1333.33333333	615.384615385	400	0.00171	7.89230769231e-4	5.13e-4	0	0	-100	100	83	1.06e-4
Grenada	12	0	0	12	1.0767e-4	0	60	24	15	5.3835e-4	2.1534e-4	1.345875e-4	0	0	-100	100	45	4e-4
Argentina	1451	43	279	1129	3.261e-5	9.7e-7	14333.3333333	6615.38461538	4300	3.23333333333e-4	1.49230769231e-4	9.7e-5	186	4	40.9	33.3	8488	1.88e-4
Bolivia	139	10	1	128	1.224e-5	8.8e-7	3333.33333333	1538.46153846	1000	2.93333333333e-4	1.35384615385e-4	8.8e-5	7	1	-22.2	0	591	5.1e-5
Venezuela	155	7	52	96	5.37e-6	2.4e-7	2333.33333333	1076.92307692	700	8e-5	3.69230769231e-5	2.4e-5	2	0	-71.4	-100	1779	6.3e-5
Barbados	52	0	0	52	1.8141e-4	0	260	104	65	9.0705e-4	3.6282e-4	2.267625e-4	1	0	-80	100	382	0.001329
