Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita
Mississippi	10	0	0	N/A	3.36e-06	0.0	50	20	12.5	1.68e-05	6.72e-06	4.2e-06	NA	NA
Grand Princess	21	0	0	N/A	N/A	N/A	105	42	26.25	N/A	N/A	N/A	NA	NA
Oklahoma	7	0	0	N/A	1.77e-06	0.0	35	14	8.75	8.85e-06	3.54e-06	2.2125e-06	NA	NA
Delaware	7	0	0	N/A	7.19e-06	0.0	35	14	8.75	3.595e-05	1.438e-05	8.9875e-06	NA	NA
Minnesota	35	0	0	N/A	6.21e-06	0.0	175	70	43.75	3.105e-05	1.242e-05	7.7625e-06	NA	NA
Alaska	1	0	0	N/A	1.37e-06	0.0	5	2	1.25	6.85e-06	2.74e-06	1.7125e-06	NA	NA
Illinois	93	0	2	N/A	7.34e-06	0.0	465	186	116.25	3.67e-05	1.468e-05	9.175e-06	NA	NA
Diamond Princess	46	0	0	N/A	N/A	N/A	230	92	57.5	N/A	N/A	N/A	NA	NA
Arkansas	16	0	0	N/A	5.3e-06	0.0	80	32	20	2.65e-05	1.06e-05	6.625e-06	NA	NA
New Mexico	13	0	0	N/A	6.2e-06	0.0	65	26	16.25	3.1e-05	1.24e-05	7.75e-06	NA	NA
Indiana	20	0	0	N/A	2.97e-06	0.0	100	40	25	1.485e-05	5.94e-06	3.7125e-06	NA	NA
Maryland	32	0	0	N/A	5.29e-06	0.0	160	64	40	2.645e-05	1.058e-05	6.6125e-06	NA	NA
Louisiana	91	2	0	N/A	1.957e-05	4.3e-07	666.666666667	307.692307692	200	0.000143333333333	6.61538461538e-05	4.3e-05	NA	NA
Texas	72	0	0	N/A	2.48e-06	0.0	360	144	90	1.24e-05	4.96e-06	3.1e-06	NA	NA
Wyoming	3	0	0	N/A	5.18e-06	0.0	15	6	3.75	2.59e-05	1.036e-05	6.475e-06	NA	NA
Iowa	18	0	0	N/A	5.71e-06	0.0	90	36	22.5	2.855e-05	1.142e-05	7.1375e-06	NA	NA
Wisconsin	32	0	1	N/A	5.5e-06	0.0	160	64	40	2.75e-05	1.1e-05	6.875e-06	NA	NA
Arizona	13	0	1	N/A	1.79e-06	0.0	65	26	16.25	8.95e-06	3.58e-06	2.2375e-06	NA	NA
Guam	3	0	0	N/A	1.827e-05	0.0	15	6	3.75	9.135e-05	3.654e-05	2.28375e-05	NA	NA
Michigan	33	0	0	N/A	3.3e-06	0.0	165	66	41.25	1.65e-05	6.6e-06	4.125e-06	NA	NA
Kansas	8	1	0	N/A	2.75e-06	3.4e-07	333.333333333	153.846153846	100	0.000113333333333	5.23076923077e-05	3.4e-05	NA	NA
Utah	28	0	0	N/A	8.73e-06	0.0	140	56	35	4.365e-05	1.746e-05	1.09125e-05	NA	NA
Virginia	45	1	0	N/A	5.27e-06	1.2e-07	333.333333333	153.846153846	100	4e-05	1.84615384615e-05	1.2e-05	NA	NA
Oregon	36	1	0	N/A	8.54e-06	2.4e-07	333.333333333	153.846153846	100	8e-05	3.69230769231e-05	2.4e-05	NA	NA
Connecticut	24	0	0	N/A	6.73e-06	0.0	120	48	30	3.365e-05	1.346e-05	8.4125e-06	NA	NA
New York	732	3	0	N/A	3.763e-05	1.5e-07	1000	461.538461538	300	5e-05	2.30769230769e-05	1.5e-05	NA	NA
California	426	6	6	N/A	1.078e-05	1.5e-07	2000	923.076923077	600	5e-05	2.30769230769e-05	1.5e-05	NA	NA
Massachusetts	164	0	1	N/A	2.379e-05	0.0	820	328	205	0.00011895	4.758e-05	2.97375e-05	NA	NA
Puerto Rico	5	0	0	N/A	1.57e-06	0.0	25	10	6.25	7.85e-06	3.14e-06	1.9625e-06	NA	NA
South Carolina	28	0	0	N/A	5.44e-06	0.0	140	56	35	2.72e-05	1.088e-05	6.8e-06	NA	NA
New Hampshire	13	0	0	N/A	9.56e-06	0.0	65	26	16.25	4.78e-05	1.912e-05	1.195e-05	NA	NA
Vermont	8	0	0	N/A	1.282e-05	0.0	40	16	10	6.41e-05	2.564e-05	1.6025e-05	NA	NA
Georgia	99	1	0	N/A	9.32e-06	9e-08	333.333333333	153.846153846	100	3e-05	1.38461538462e-05	9e-06	NA	NA
North Dakota	1	0	0	N/A	1.31e-06	0.0	5	2	1.25	6.55e-06	2.62e-06	1.6375e-06	NA	NA
